Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Lean Back,TERROR SQUAD,2004-06-26,52,1,31
Slow Motion,JUVENILE featuring SOULJA SLIM,2004-05-01,70,1,28
Sunshine,LIL FLIP,2004-06-19,78,2,23
Turn Me On,KEVIN LYTTLE,2004-05-22,94,4,25
Dip It Low,CHRISTINA MILIAN,2004-04-24,87,5,30
Goodies,CIARA &amp; PETEY PABLO,2004-06-26,94,1,38
Confessions Part II,USHER,2004-05-01,48,1,25
Move Ya Body,NINA SKY featuring JABBA,2004-05-01,73,4,26
My Place,NELLY,2004-07-24,69,4,20
If I Ain't Got You,ALICIA KEYS,2004-03-06,64,4,40
The Reason,HOOBASTANK,2004-03-20,62,2,38
I Like That,HOUSTON,2004-06-19,75,11,20
Pieces Of Me,ASHLEE SIMPSON,2004-07-03,61,5,21
Everytime,BRITNEY SPEARS,2004-05-22,61,11,23
Leave,JOJO,2004-04-10,99,12,29
Heaven,LOS LONELY BOYS,2004-05-15,67,16,30
Diary,ALICIA KEYS,2004-06-19,58,8,28
Burn,USHER,2004-03-13,65,1,30
This Love,MAROON 5,2004-02-14,66,5,43
She Will Be Loved,MAROON5,2004-07-24,50,5,41
On Fire,LLOYD BANKS,2004-05-15,65,8,20
Meant To Live,SWITCHFOOT,2004-04-03,75,18,28
Why,JADAKISS,2004-07-17,61,11,20
Yeah,USHER feat LUDACRIS &amp; LIL JON,2004-01-10,53,1,45
So Sexy,TWISTA,2004-06-26,75,25,17
Southside,LLOYD,2004-05-22,73,24,21
U Should've Known Better,MONICA,2004-06-05,67,19,20
Locked Up,AKON,2004-06-12,97,8,27
Headsprung,LL COOL J,2004-07-10,89,16,20
Live Like You Were Dying,TIM McGRAW,2004-06-12,73,30,20
Freek-A-Leek,PETEY PABLO,2004-01-03,99,7,39
How Come,D12,2004-07-03,70,27,12
I Go Back,KENNY CHESNEY,2004-06-12,66,32,20
My Happy Ending,AVRIL LAVIGNE,2004-07-31,70,9,25
Breaking The Habit,LINKIN PARK,2004-07-24,74,20,20
Let Me In,YOUNG BUCK,2004-07-24,73,34,12
One Thing,FINGER ELEVEN,2004-07-24,67,16,29
I Don't Wanna Know,MARIO WINANS with P. DIDDY &amp; ENYA,2004-02-21,72,2,30
Accidentally In Love,COUNTING CROWS,2004-06-26,61,39,20
Let's Get It Started,BLACK EYED PEAS,2004-08-07,52,21,20
Whiskey Lullaby,BRAD PAISLEY &amp; ALISON KRAUSS,2004-06-19,71,41,18
Days Go By,KEITH URBAN,2004-07-24,72,31,20
Jesus Walks,KANYE WEST,2004-05-08,68,15,20
Let's Get Away,T.I.,2004-07-10,88,35,18
Girls Lie Too,TERRI CLARK,2004-07-10,73,36,15
I Want To Live,JOSH GRACIN,2004-07-03,76,45,14
Naughty Girl,BEYONCE,2004-03-27,68,3,22
What's Happenin',YING YANG TWINS,2004-05-08,99,30,20
Feelin' Way Too Damn Good,NICKELBACK,2004-07-03,73,48,16
No Problem,LIL SCRAPPY,2004-07-17,88,29,20
I Got A Feelin',BILLY CURRINGTON,2004-06-26,73,50,16
On The Way Down,RYAN CABRERA,2004-07-31,99,15,27
Here For The Party,GRETCHEN WILSON,2004-08-07,69,39,17
She Thinks She Needs Me,ANDY GRIGGS,2004-07-31,76,43,16
Suds In The Bucket,SARA EVANS,2004-08-07,75,33,20
Just Like You,THREE DAYS GRACE,2004-07-31,79,55,20
Too Much Of A Good Thing,ALAN JACKSON,2004-08-07,66,46,13
Somebody,REBA McENTIRE,2004-06-12,78,35,17
Save A Horse (Ride A Cowboy),BIG &amp; RICH,2004-07-31,75,56,9
Selfish,SLUM VILLAGE,2004-05-22,99,55,17
I Hate Everything,GEORGE STRAIT,2004-08-14,69,35,20
Love Song,311,2004-05-01,72,59,20
Slither,VELVET REVOLVER,2004-05-15,64,56,20
Redneck Woman,GRETCHEN WILSON,2004-04-10,76,22,20
Away From The Sun,3 DOORS DOWN,2004-07-03,66,62,15
I Believe,FANTASIA,2004-07-10,1,1,10
Culo,PITBULL,2004-04-24,84,32,20
U Saved Me,R. KELLY,2004-07-31,77,52,12
Float On,MODEST MOUSE,2004-05-29,97,68,20
How Far,MARTINA McBRIDE,2004-07-10,72,68,8
Take Me Out,FRANZ FERDINAND,2004-07-03,100,66,19
If Nobody Believed In You,JOE NICHOLS,2004-08-21,72,68,14
Feels Like Today,RASCAL FLATTS,2004-08-21,73,56,13
You're My Everything,ANITA BAKER,2004-08-21,74,74,20
Call My Name,PRINCE,2004-08-21,75,75,16
Hey Mama,BLACK EYED PEAS,2004-04-10,67,23,20
American Idiot,GREEN DAY,2004-08-21,77,61,20
Shake That Shit,SHAWNNA,2004-07-31,94,63,14
Got It Twisted,MOBB DEEP,2004-04-17,99,64,20
Ocean Avenue,YELLOWCARD,2004-05-15,74,37,20
Outrageous,BRITNEY SPEARS,2004-08-14,85,79,4
If You Ever Stop Loving Me,MONTGOMERY GENTRY,2004-04-17,74,30,20
Scandalous,MIS-TEEQ,2004-05-22,82,35,16
Break Down Here,JULIE ROBERTS,2004-07-17,96,81,12
Whiskey Town,TOBY KEITH,2004-05-01,68,31,20
Happy People,R. KELLY,2004-04-10,80,19,20
Hey Good Lookin',JIMMY BUFFETT &amp; FRIENDS,2004-06-19,68,63,11
So Fly,NB RIDAZ &amp; GEMINI,2004-06-26,93,87,10
Still In Love,TEENA MARIE,2004-05-29,70,70,20
Freaks,PLAY-N-SKILLZ,2004-07-10,69,69,10
Welcome Back,MASE,2004-06-05,52,32,12
Loco,DAVID LEE MURPHY,2004-05-08,74,44,18
Let's Be Us Again,LONESTAR,2004-04-10,71,38,20
Cold,CROSSFADE,2004-08-07,95,92,9
Just For You,LIONEL RICHIE,2004-07-24,98,95,6
Jook Gal,ELEPHANT MAN,2004-04-24,99,57,18
Lying For You,LINKIN PARK,2004-08-14,98,97,2
Knuck If You Buck,CRIME MOB,2004-08-21,98,76,20
Hot2Nite,NEW EDITION,2004-08-14,100,89,8
New Day,PATTI LABELLE,2004-08-07,98,93,4
