TestData,R2_score,RMSE
"Complete (80% Training, 20% Test)",0.6589,0.1121
"Peak Chart [1, 25] and Endurance Score [0, 0.65]",0.6163,0.0842
"Peak Chart [75, 100] and Endurance Score [0.8, 1.0]",0.6295,0.1035
"Chart Entry Days [1, 21] and Endurance Score [0, 0.65]",0.605,0.0821
"Chart Entry Days [45, 150] and Endurance Score [0.80, 1.0]",0.5625,0.094
