Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100,Entry_Year,days_before_charting,Age_Percentage_15_30
Lonely Street,ANDY WILLIAMS,0.617797946,0.729809378,111,5,17,0.285,0.155,9.0,-13.249,0.0307,0.925,0.0285,0.258,0.256,99.93700000000001,162067.0,3.0,0,0,0,1,4,68.0,0,3,16,1959,0,19.6
An Open Letter To My Teenage Son,VICTOR LUNDBERG,0.424313939,0.389675363,84,10,6,0.5589999999999999,0.359,0.0,-16.771,0.505,0.88,0.0,0.152,0.713,92.63600000000001,263893.0,3.0,0,0,0,0,1,3.0,0,1,0,1967,0,22.5
When Will I Be Loved,EVERLY BROTHERS,0.609495266,0.567007953,96,8,13,0.716,0.163,9.0,-15.363,0.053,0.841,0.0,0.129,0.511,109.821,99067.0,4.0,0,0,1,0,4,63.0,1,4,7,1960,0,19.6
Tom Cat,THE ROOFTOP SINGERS,0.457409135,0.533828943,96,20,10,0.675,0.5589999999999999,8.0,-10.136000000000001,0.0434,0.759,0.00227,0.0721,0.924,142.763,129000.0,4.0,0,0,0,0,0,29.0,1,0,2,1963,82,20.8
Midnight Mary,JOEY POWERS,0.45852809200000005,0.454162455,102,10,14,0.585,0.359,4.0,-11.057,0.0304,0.8320000000000001,0.0,0.218,0.6459999999999999,121.555,143333.0,4.0,0,0,0,0,0,4.0,0,1,0,1963,0,20.8
Yellow Bird,ARTHUR LYMAN GROUP,0.647539085,0.39416790700000004,71,4,12,0.561,0.0335,2.0,-29.467,0.0513,0.9540000000000001,0.86,0.0949,0.703,119.319,164920.0,4.0,0,0,0,0,0,57.77835159,0,1,0,1961,0,19.9
Sweet Dreams (Are Made Of This),THE EURYTHMICS,0.43018304399999996,0.775495832,90,1,26,0.757,0.506,0.0,-13.202,0.0324,0.536,0.000775,0.161,0.706,128.034,286370.0,4.0,0,0,0,0,0,42.0,1,0,1,1983,0,26.8
Hopeless,ANDY WILLIAMS,0.5232631529999999,0.6788643659999999,113,13,12,0.311,0.317,0.0,-11.22,0.0309,0.8759999999999999,0.0,0.47200000000000003,0.428,83.461,157840.0,4.0,0,0,0,1,4,68.0,0,3,16,1963,0,20.8
Up In A Puff Of Smoke,POLLY BROWN,0.333685317,0.480878579,110,16,14,0.5539999999999999,0.517,5.0,-14.267999999999999,0.0618,0.0355,3.62e-06,0.24,0.512,138.514,191653.0,4.0,0,0,0,0,0,5.0,0,0,1,1974,0,26.2
Let A Man Come In And Do The Popcorn,JAMES BROWN,0.555782703,0.61379033,78,21,8,0.637,0.7020000000000001,1.0,-3.2760000000000002,0.0632,0.284,0.00043,0.0638,0.9179999999999999,98.711,430120.0,4.0,0,0,1,0,4,59.0,0,3,47,1969,0,23.5
Hi-Heel Sneakers,JOSE FELICIANO,0.370861657,0.651658837,125,25,9,0.589,0.44799999999999995,10.0,-11.832,0.0552,0.725,0.0,0.17600000000000002,0.6809999999999999,88.631,220827.0,4.0,0,0,0,7,16,66.0,0,0,6,1968,0,23.1
Fairytale,THE POINTER SISTERS,0.508178379,0.777790543,108,13,18,0.39399999999999996,0.5379999999999999,8.0,-5.577000000000001,0.0281,0.451,3.06e-05,0.0758,0.7070000000000001,128.991,182467.0,4.0,0,0,0,0,0,67.0,0,0,6,1974,83,26.2
Don't Play That Song,ARETHA FRANKLIN,0.551829941,0.695321082,59,11,10,0.56,0.7070000000000001,0.0,-7.553,0.0418,0.085,0.000155,0.19899999999999998,0.6659999999999999,109.189,176480.0,4.0,0,0,1,18,44,75.0,0,12,28,1970,0,24.0
I've Had It,BELL NOTES,0.6196703729999999,0.612609897,88,6,16,0.542,0.7809999999999999,4.0,-12.592,0.109,0.816,0.0283,0.263,0.935,147.183,162560.0,4.0,0,0,0,0,0,21.0,0,1,0,1959,0,19.6
Poor Jenny,EVERLY BROTHERS,0.566692656,0.617240189,69,22,12,0.631,0.498,10.0,-14.539000000000001,0.0423,0.526,1.21e-06,0.0971,0.8759999999999999,143.292,134133.0,4.0,0,0,1,0,4,63.0,1,4,7,1959,0,19.6
The Rockford Files,MIKE POST,0.621364326,0.6778198040000001,93,10,16,0.489,0.562,2.0,-11.494000000000002,0.0301,0.0671,0.92,0.191,0.23,111.921,186600.0,4.0,0,0,0,5,10,57.77835159,0,1,0,1975,0,26.7
I Know A Heartache When I See One,JENNIFER WARNES,0.628549105,0.758686207,89,19,22,0.6779999999999999,0.409,11.0,-11.645999999999999,0.0272,0.52,0.0,0.0835,0.774,96.902,208733.0,4.0,0,0,0,2,2,65.0,0,1,5,1979,0,27.4
Slow Twistin',CHUBBY CHECKER with DEE DEE SHARP,0.483672347,0.693320387,60,3,14,0.589,0.586,9.0,-9.62,0.0293,0.000334,0.0,0.381,0.657,116.03399999999999,292027.0,4.0,0,0,0,1,1,56.0,0,1,0,1962,0,20.2
Smokey Places,"THE CORSAIRS featuring JAY ""BIRD"" UZZELL",0.509154961,0.611432737,117,12,16,0.6579999999999999,0.654,6.0,-6.388,0.0576,0.0533,0.000493,0.0927,0.8009999999999999,166.752,198333.0,4.0,0,0,0,0,0,57.77835159,0,0,1,1961,0,19.9
Try It Baby,MARVIN GAYE,0.578085846,0.6798213879999999,100,15,11,0.664,0.40399999999999997,10.0,-12.005,0.0358,0.764,8.66e-05,0.105,0.741,108.66,170533.0,4.0,0,0,1,2,12,78.0,2,9,17,1964,0,21.2
Wade In The Water,RAMSEY LEWIS,0.6258944129999999,0.686299957,100,19,13,0.655,0.634,0.0,-12.475,0.0277,0.20800000000000002,0.263,0.0568,0.8320000000000001,134.80200000000002,230333.0,4.0,1,0,0,3,4,44.0,0,1,7,1966,0,22.1
Tiger,FABIAN,0.33905092600000003,0.5668112710000001,115,3,14,0.425,0.379,7.0,-13.892000000000001,0.0942,0.941,0.0185,0.39299999999999996,0.903,159.188,132366.0,4.0,0,0,0,0,0,23.0,0,2,5,1959,0,19.6
Help Is On The Way,THE LITTLE RIVER BAND,0.31560711199999997,0.7335388509999999,84,14,22,0.547,0.6609999999999999,11.0,-10.044,0.0271,0.00396,0.0614,0.14,0.47200000000000003,108.065,247302.0,4.0,0,0,0,0,0,57.77835159,0,3,5,1977,0,27.3
"Run, Run Away",SLADE,0.332015607,0.75574213,67,20,17,0.327,0.373,2.0,-6.294,0.033,0.6729999999999999,0.0,0.302,0.22399999999999998,119.37899999999999,353909.0,4.0,0,0,0,0,0,57.77835159,0,0,2,1984,85,26.6
Jimmy's Girl,JOHNNY TILLOTSON,0.524742214,0.566826379,95,25,11,0.586,0.348,1.0,-11.100999999999999,0.0275,0.858,0.0,0.13,0.526,108.566,164960.0,4.0,0,0,0,0,1,49.0,0,3,16,1961,0,19.9
C'est Si Bon (It's So Good),CONWAY TWITTY,0.5394115270000001,0.5776774060000001,114,22,12,0.597,0.627,0.0,-8.57,0.0475,0.718,0.0,0.379,0.851,120.991,134013.0,4.0,0,0,0,1,7,57.77835159,0,2,9,1960,0,19.6
Finally Got Myself Together,IMPRESSIONS,0.645586229,0.70913335,99,17,18,0.40399999999999997,0.632,8.0,-8.504,0.0343,0.152,0.0,0.266,0.7170000000000001,171.82299999999998,188627.0,4.0,0,0,0,0,1,55.0,0,1,8,1974,0,26.2
I'm A Midnight Mover,WILSON PICKETT,0.53719266,0.5071509710000001,95,24,7,0.782,0.6579999999999999,9.0,-11.777999999999999,0.0426,0.265,0.0,0.11800000000000001,0.892,116.60799999999999,146053.0,4.0,0,0,0,0,5,57.77835159,0,1,21,1968,0,23.1
Sunshine Girl,THE PARADE,0.512061113,0.44999859200000003,127,20,9,0.45399999999999996,0.405,7.0,-12.189,0.0389,0.14400000000000002,0.00513,0.0728,0.452,139.185,166213.0,4.0,0,0,0,0,0,6.0,0,0,1,1967,0,22.5
"Get Down, Get Down (Get On The Floor)",JOE SIMON,0.434548372,0.7051682909999999,108,8,18,0.6890000000000001,0.5589999999999999,8.0,-9.203,0.0377,0.196,0.0,0.14800000000000002,0.789,113.801,176920.0,4.0,0,0,0,0,7,57.77835159,0,2,22,1975,0,26.7
Love Me With All Your Heart,RAY CHARLES SINGERS,0.575651932,0.6866950620000001,99,3,15,0.307,0.522,9.0,-10.226,0.0374,0.809,0.0,0.0765,0.654,200.59599999999998,140480.0,3.0,0,0,1,17,37,41.0,0,1,2,1964,0,21.2
Do It Again A Little Bit Slower,JON AND ROBIN AND THE ON CROWD,0.23245205600000002,0.603563594,133,18,13,0.5489999999999999,0.409,9.0,-9.777000000000001,0.0383,0.5329999999999999,0.0,0.136,0.7190000000000001,147.16899999999998,155640.0,4.0,0,0,0,0,0,57.77835159,0,0,1,1967,0,22.5
Tennessee Birdwalk,JACK BLANCHARD &amp; MISTY MORGAN,0.5365178039999999,0.46479341799999996,98,23,13,0.7090000000000001,0.813,0.0,-7.1610000000000005,0.0328,0.0815,4.16e-05,0.11199999999999999,0.872,130.24,171893.0,4.0,0,0,0,0,1,11.0,0,0,2,1970,0,24.0
"You, I",THE RUGBYS,0.612667675,0.535223095,126,24,13,0.535,0.586,7.0,-11.214,0.0891,0.455,0.0005769999999999999,0.157,0.804,161.786,176853.0,4.0,0,0,0,0,0,21.0,0,0,2,1969,0,23.5
Angel In Your Arms,HOT,0.595579371,0.704463208,90,6,27,0.622,0.38799999999999996,6.0,-14.040999999999999,0.0873,0.647,0.0,0.545,0.746,81.115,175547.0,4.0,0,0,0,0,0,32.0,0,1,0,1977,0,27.3
