Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Wake Me Up Before You Go Go,WHAM!,1984-09-08,80,1,24
Out Of Touch,DARYL HALL &amp; JOHN OATES,1984-09-29,48,1,23
I Feel For You,CHAKA KHAN,1984-09-08,73,3,26
Purple Rain,PRINCE,1984-10-06,28,2,16
Better Be Good To Me,TINA TURNER,1984-09-15,63,5,21
All Through The Night,CYNDI LAUPER,1984-10-06,49,5,19
Wild Boys,DURAN DURAN,1984-11-03,38,2,18
Penny Lover,LIONEL RICHIE,1984-10-06,54,8,18
Strut,SHEENA EASTON,1984-08-25,75,7,25
No More Lonely Nights,PAUL McCARTNEY,1984-10-13,48,6,18
Sea Of Love,HONEYDRIPPERS,1984-10-13,62,3,20
Caribbean Queen,BILLY OCEAN,1984-08-11,85,1,26
Cool It Now,NEW EDITION,1984-09-22,84,4,25
We Belong,PAT BENATAR,1984-10-27,45,5,20
I Can't Hold Back,SURVIVOR,1984-09-15,85,13,23
I Just Called To Say I Love You,STEVIE WONDER,1984-08-18,58,1,26
It Ain't Enough,COREY HART,1984-09-29,65,17,19
Valotte,JULIAN LENNON,1984-10-20,64,9,19
Walking On A Thin Line,HUEY LEWIS AND THE NEWS,1984-10-20,53,18,15
Desert Moon,DENNIS DeYOUNG,1984-09-08,61,10,22
Like A Virgin,MADONNA,1984-11-17,48,1,19
Blue Jean,DAVID BOWIE,1984-09-15,54,8,18
Hard Habit To Break,CHICAGO,1984-08-04,61,3,25
All I Need,JACK WAGNER,1984-10-20,88,2,22
Do What You Do,JERMAINE JACKSON,1984-10-27,64,13,20
Hello Again,THE CARS,1984-10-27,60,20,15
Born In The U.S.A.,BRUCE SPRINGSTEEN,1984-11-10,52,9,17
We Are Young,DAN HARTMANN,1984-10-06,81,25,17
Run To You,BRYAN ADAMS,1984-11-03,59,6,19
The War Song,CULTURE CLUB,1984-10-06,56,17,13
I Do' Wanna Know,REO SPEEDWAGON,1984-10-27,62,29,13
Centipede,REBBIE JACKSON,1984-10-06,88,24,19
What About Me,KENNY ROGERS &amp; KIM CARNES,1984-09-15,60,15,19
Misunderstanding,BOB SEGER,1984-11-10,54,17,15
Stranger In Town,TOTO,1984-10-27,70,30,15
You're The Inspiration,CHICAGO,1984-11-17,61,3,22
Tears,JOHN WAITE,1984-10-20,61,37,13
I Can't Drive 55,SAMMY HAGAR,1984-09-29,77,26,16
Pride (In The Name Of Love),U2,1984-10-27,85,33,15
Jamie,RAY PARKER JNR.,1984-11-17,65,14,17
Hands Tied,SCANDAL,1984-10-20,69,41,13
The Boys Of Summer,DON HENLEY,1984-11-10,63,5,22
The Belle Of St. Mark,SHEILA E,1984-10-27,89,34,15
I Need You Tonight,PETER WOLF,1984-10-13,68,36,13
Easy Lover,PHILIP BAILEY,1984-11-24,63,2,23
Tender Years,JOHN CAFFERTY &amp; THE BEAVER BROWN BAND,1984-11-17,72,31,14
Two Tribes,FRANKIE GOES TO HOLLYWOOD,1984-10-20,79,43,15
Don't Stop,JEFFREY OSBOURNE,1984-10-13,90,44,15
Teacher Teacher,38 SPECIAL,1984-09-29,71,25,11
Had A Dream (Sleeping With The Enemy),ROGER HODGSON,1984-10-13,85,48,15
