Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Blue Velvet,BOBBY VINTON,1963-08-10,78,1,15
My Boyfriend's Back,THE ANGELS,1963-08-03,75,1,14
If I Had A Hammer,TRINI LOPEZ,1963-07-27,76,3,14
Heat Wave,MARTHA AND THE VANDELLAS,1963-08-03,82,4,14
"Sally, Go 'Round The Roses",THE JAYNETTS,1963-08-24,126,2,13
Then He Kissed Me,THE CRYSTALS,1963-08-10,111,6,13
Surfer Girl,THE BEACH BOYS,1963-07-27,118,7,15
Mickey's Monkey,THE MIRACLES,1963-08-17,88,8,12
"Hello Muddah, Hello Fadouh (A Letter From Camp)",ALLAN SHERMAN,1963-07-27,102,2,11
Cry Baby,GARNET MIMMS AND THE ENCHANTERS,1963-08-17,100,4,14
Wonderful Wonderful,THE TYMES,1963-08-17,89,7,11
Be My Baby,THE RONETTES,1963-08-31,90,2,13
The Monkey Time,MAJOR LANCE,1963-07-06,126,8,16
A Walkin' Miracle,THE ESSEX featuring ANITA HUMES,1963-08-24,90,12,10
"Painted, Tainted Rose",AL MARTINO,1963-07-20,118,15,13
"Hey, Girl",FREDDIE SCOTT,1963-07-20,112,10,13
Mockingbird,INEZ FOXX with CHARLIE FOXX,1963-06-08,122,7,20
You Can Never Stop Me Loving You,JOHNNY TILLOTSON,1963-08-03,118,18,11
Martain Hop,THE RAN-DELLS,1963-07-20,115,16,15
Frankie And Johnny,SAM COOKE,1963-07-27,89,14,11
The Kind Of Boy You Can't Forget,THE RAINDROPS,1963-08-03,128,17,12
Little Deuce Coupe,THE BEACH BOYS,1963-08-10,126,15,12
Busted,RAY CHARLES,1963-09-07,66,4,12
Candy Girl,THE FOUR SEASONS,1963-07-06,78,3,13
Denise,RANDY AND THE RAINDROPS,1963-05-25,129,10,20
Part Time Love,LITTLE JOHNNY TAYLOR,1963-08-17,86,19,13
Honolulu Lulu,JAN AND DEAN,1963-09-07,93,11,10
Blowin' In The Wind,"PETER, PAUL AND MARY",1963-06-29,86,2,15
Hey There Lonely Boy,RUBY AND THE ROMANTICS,1963-08-10,79,27,9
I Want To Stay Here,STEVE AND EYDIE,1963-07-20,99,28,11
Wham,LONNIE MACK,1963-08-24,95,24,9
Fingertips (Part 2),LITTLE STEVIE WONDER,1963-06-22,85,1,15
More,KAI WINDING AND ORCHESTRA,1963-07-06,90,8,15
Only In America,JAY AND THE AMERICANS,1963-08-17,87,25,11
Danke schoen,WAYNE NEWTON,1963-07-06,109,13,13
Why Don't You Believe Me,THE DUPREES,1963-08-10,121,37,9
Make The World Go Away,TIMI YURO,1963-07-13,117,24,12
Desert Pete,THE KINGSTON TRIO,1963-08-03,70,33,8
I Can't Stay Mad At You,SKEETER DAVIS,1963-08-31,125,7,14
Bust Out,THE BUSTERS,1963-08-24,111,25,12
The Lonely Surfer,JACK NITSCHE,1963-07-27,119,39,10
Straighten Up Your Heart,BARBARA LEWIS,1963-08-10,112,43,8
Birthday Party,THE PIXIES THREE,1963-08-03,130,40,11
More,VIC DANA,1963-07-27,127,42,13
Treat My Baby Good,BOBBY DARIN,1963-08-24,94,43,9
"Que Sera, Sera (Whatever Will Be, Will Be)",THE HIGH KEYS,1963-07-20,128,47,10
"Hello Heartache, Goodbye Love",LITTLE PEGGY MARCH,1963-08-31,120,26,10
Wait Til' My Bobby Gets Home,DARLENE LOVE,1963-07-20,90,26,10
Mean Woman Blues,ROY ORBISON,1963-09-07,90,5,13
"Don't Think Twice, It's All Right","PETER, PAUL AND MARY",1963-09-14,67,9,10
Donna The Prima Donna,DION DI MUCI,1963-09-14,75,6,11
"That Sunday, That Summer",NAT KING COLE,1963-08-31,97,12,13
It's Too Late,WILSON PICKETT,1963-07-27,96,49,10
I'll Take You Home,THE DRIFTERS,1963-09-07,84,25,10
Two Tickets To Paradise,BROOK BENTON,1963-09-07,98,32,10
Talk To Me,SUNNY AND THE SUNGLOWS,1963-08-24,107,11,14
China Nights (Shina No Yoru),KYU SAKAMOTO,1963-08-17,129,58,7
What Does A Girl Do,THE SHIRELLES,1963-09-07,89,53,6
Betty In Bermudas,THE DOVELLS,1963-08-31,99,50,7
8 x 10,BILL ANDERSON,1963-08-24,83,53,6
Drowin' My Sorrows,CONNIE FRANCIS,1963-08-03,108,36,8
Wipe Out,THE SURFARIS,1963-06-15,127,2,17
Fools Rush In,RICK NELSON,1963-09-14,87,12,13
Sugar Shack,JIMMY GILMER AND THE FIREBALLS,1963-09-14,106,1,16
Lucky Lips,CLIFF RICHARD,1963-07-20,116,62,10
Surfer Joe,THE SURFARIS,1963-08-17,121,62,8
(I Cried At) Laura's Wedding,BARBARA LYNN,1963-08-10,97,68,8
Abilene,GEORGE HAMILTON IV,1963-06-15,108,15,15
Blue Bayou,ROY ORBISON,1963-09-07,116,29,11
Leave Me Alone,BABY WASHINGTON,1963-07-13,107,62,11
This Is My Prayer,THELMA KILGORE,1963-08-10,98,60,9
Tell Me The Truth,NANCY WILSON,1963-08-24,98,73,6
Deep Purple,NINO TEMPO &amp; APRIL STEVENS,1963-09-07,131,1,16
A Love So Fine,THE CHIFFONS,1963-09-07,100,40,9
(Native Girl) Elephant Walk,DONALD JENKINS AND THE DELIGHTERS,1963-09-07,120,64,9
"He's Mine (I Love Him, I Love Him, I Love Him)",ALICE WONDER LAND,1963-09-07,122,62,8
I'm Confessin' (That I Love You),FRANK IFIELD,1963-09-07,97,58,7
September Song,JIMMY DURANTE,1963-09-07,95,51,8
Teenage Cleopatra,TRACEY DEY,1963-09-14,82,75,5
Enamorado,KEITH COLLEY,1963-09-14,84,66,8
Red Sails In The Sunset,FATS DOMINO,1963-09-14,122,35,9
It's A Lonely Town (Lonely Without You),GENE McDANIELS,1963-08-10,90,64,7
Sooner Or Later,JOHNNY MATHIS,1963-08-24,103,84,5
Chinese Checkers,BOOKER T. AND THE MG'S,1963-07-27,90,78,9
Man's Temptation,GENE CHANDLER,1963-08-03,122,71,8
My Babe,THE RIGHTEOUS BROTHERS,1963-09-07,82,75,7
Cindy's Gonna Cry,JOHNNY CRAWFORD,1963-09-07,99,72,7
"Something Old, Something New",PAUL AND PAULA,1963-08-17,115,77,6
Baby Get It (And Don't Quit It),JACKIE WILSON,1963-09-21,90,61,5
Down The Aisle (Wedding Song),PATTI LaBELLE AND HER BLUE BELLES,1963-08-24,125,37,16
Cry To Me,BETTY HARRIS,1963-09-21,92,23,11
Lonely Drifter,THE O'JAYS,1963-09-07,119,93,8
That How It Goes,GEORGE MAHARIS,1963-09-07,129,88,5
Hear The Bells,THE TOKENS,1963-08-17,123,94,6
Mr. Wishing Well,NAT KING COLE,1963-09-14,99,92,4
Faded Love,PATSY CLINE,1963-08-31,98,96,7
Your Boyfriend's Back,BOBBY COMSTOCK AND THE COUNTS,1963-09-14,100,98,2
Maria Elena,LOS INDIOS TABARAJAS,1963-09-21,99,6,14
Washington Square,THE VILLAGE STOMPERS,1963-09-21,100,2,14
My Daddy Knows Best,THE MARVELETTES,1963-08-03,87,67,9
Happy Puppy,BENT FABRIC AND HIS PIANO,1963-09-21,102,102,1
Hootenanny Granny,JIM LOWE,1963-09-21,103,103,2
The Day The Saw-Mill Closed Down,DICKEY LEE,1963-09-21,104,104,2
I'm Not A Fool Anymore,T.K. HULIN,1963-08-17,94,92,7
Everybody Go Home,EYDIE GORME,1963-09-21,106,80,7
Jenny Brown,THE SMOTHER BROTHERS,1963-09-21,107,84,6
I'll Believe It When I See It,THE SIERRAS,1963-09-14,113,108,2
Lonely World,DION,1963-08-24,101,101,6
Night Life,RUSTY DRAPER,1963-09-14,119,57,10
Making Believe,RAY CHARLES,1963-09-07,106,102,3
Michael (Part 1),STEVE ALAIMO,1963-09-07,125,100,6
What'd I Say,KENNY BURRELL &amp; JIMMY SMITH,1963-09-21,113,113,1
Little Yellow Roses,JACKIE DeSHANNON,1963-09-14,110,110,2
The Sound Of Surf,PERCY FAITH AND HIS ORCHESTRA,1963-09-21,115,111,2
Sad Girl,JAY WIGGINS,1963-09-21,116,116,1
Not So Long Ago,MARTY ROBBINS,1963-09-21,117,115,4
I'm Coming Back To You,JULIE LONDON,1963-09-21,118,118,1
Cotton Fields,THE ANGELS,1963-09-21,119,119,1
Strange Feeling,BILLY STEWART,1963-09-21,120,70,7
P.S. I Love You,THE CLASSICS,1963-09-21,121,120,2
What's Easy For Two Is So Hard For One,MARY WELLS,1963-09-21,122,122,1
Reach Out For Me,LOU JOHNSON,1963-09-21,123,123,1
You Lost The Sweetest Boy,MARY WELLS,1963-09-21,124,22,10
Halfway,EDDIE HODGES,1963-09-21,125,118,2
Cut You A-Loose,RICKY ALLEN,1963-09-21,126,126,2
From One To One,CLYDE McPHATTER,1963-09-21,127,127,1
Little Eefin Annie,JOE PERKINS,1963-09-21,128,76,6
Mary-Mary,JIMMY REED,1963-09-21,129,119,2
