Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
E.T.,KATY PERRY featuring KANYE WEST,2011-03-05,28,1,29
Rolling In The Deep,ADELE,2011-01-29,97,1,64
Till The World Ends,BRITNEY SPEARS,2011-03-19,20,3,24
Just Can't Get Enough,THE BLACK EYED PEAS,2011-03-05,92,3,31
The Lazy Song,BRUNO MARS,2011-03-19,98,4,26
S&M,RIHANNA,2011-02-05,90,1,25
On The Floor,JENNIFER LOPEZ featuring PITBULL,2011-03-12,9,3,29
Blow,KE$HA,2011-02-12,96,7,25
Down On Me,JEREMIH featuring 50 CENT,2010-11-27,67,4,33
Look At Me Now,CHRIS BROWN featuring LIL WAYNE &amp; BUSTA RHYMES,2011-02-19,11,6,27
Fuck You!,CEE LO GREEN,2010-09-11,96,2,48
Written In The Stars,TINIE TEMPAH featuring ERIC TURNER,2011-03-05,91,12,20
Give Me Everything,"PITBULL featuring NE-YO, AFROJACK &amp; NAYER",2011-04-16,60,1,45
The Show Goes On,LUPE FIASCO,2011-01-29,92,9,31
Roll Up,WIZ KHALIFA,2011-02-26,48,13,22
Born This Way,LADY GAGA,2011-02-26,1,1,20
I Need A Doctor,DR. DRE featuring EMINEM &amp; SKYLAR GREY,2011-02-19,5,4,20
All Of The Lights,KANYE WEST,2011-01-22,88,18,24
Fuckin' Perfect,P!NK,2011-01-22,57,2,29
Judas,LADY GAGA,2011-04-30,10,10,6
Moment 4 Life,NICKI MINAJ featuring DRAKE,2011-01-01,82,13,23
I Feel Pretty / Unpretty,GLEE CAST,2011-05-14,22,22,2
Firework,KATY PERRY,2010-11-06,57,1,39
For The First Time,THE SCRIPT,2011-01-22,91,23,28
Price Tag,JESSIE J featuring B.O.B,2011-02-19,88,23,20
Backseat,NEW BOYZ featuring THE CATARACS &amp; DEV,2011-03-05,37,26,20
Grenade,BRUNO MARS,2010-10-16,81,1,36
Who Says,SELENA GOMEZ &amp; THE SCENE,2011-04-02,24,21,20
Honey Bee,BLAKE SHELTON,2011-04-23,13,13,20
Bow Chicka Wow Wow,MIKE POSNER featuring LIL WAYNE,2011-03-12,82,30,16
Coming Home,DIDDY - DIRTY MONEY featuring SKYLAR GREY,2010-12-11,61,11,24
What The Hell,AVRIL LAVIGNE,2011-01-29,13,11,20
Just The Way You Are,BRUNO MARS,2010-08-07,43,1,48
Tonight (I'm Lovin' You),ENRIQUE IGLESIAS featuring LUDACRIS &amp; DJ FRANK E,2010-12-11,18,4,25
6 Foot 7 Foot,LIL WAYNE feat CORY GUNZ,2011-01-01,9,9,21
Country Girl (Shake It For Me),LUKE BRYAN,2011-05-07,22,22,20
A Little Bit Stronger,SARA EVANS,2011-01-15,98,34,21
Party Rock Anthem,LMFAO featuring LAUREN BENNETT &amp; GOONROCK,2011-04-16,88,1,67
More,USHER,2011-01-01,88,15,21
Jar Of Hearts,CHRISTINA PERRI,2010-11-13,96,17,27
Hey Baby (Drop It To The Floor),PITBULL featuring T-PAIN,2010-10-16,51,7,31
Somewhere Only We Know,GLEE CAST,2011-05-14,42,42,1
Motivation,KELLY ROWLAND featuring LIL WAYNE,2011-04-30,55,17,25
Born This Way,GLEE CAST,2011-05-14,44,44,1
I Won't Let Go,RASCAL FLATTS,2011-02-19,93,31,19
Raise Your Glass,P!NK,2010-10-23,51,1,30
Old Alabama,BRAD PAISLEY featuring ALABAMA,2011-04-23,95,38,20
Run The World (Girls),BEYONCE,2011-05-07,33,29,13
Don't You Wanna Stay,JASON ALDEAN with KELLY CLARKSON,2010-11-20,93,31,26
Dirt Road Anthem,JASON ALDEAN,2011-04-23,68,7,27
