Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Papa Don't Preach,MADONNA,1986-06-28,42,1,18
Glory Of Love,PETER CETERA,1986-06-07,62,1,21
Mad About You,BELINDA CARLISLE,1986-05-17,86,3,21
Higher Love,STEVE WINWOOD,1986-06-14,77,1,22
We Don't Have To Take Our Clothes Off,JERMAINE STEWART,1986-05-17,90,5,22
Venus,BANANARAMA,1986-06-28,89,1,19
Dancing On The Ceiling,LIONEL RICHIE,1986-07-19,40,2,17
Rumours,TIMEX SOCIAL CLUB,1986-06-14,81,8,19
Take My Breath Away,BERLIN,1986-06-21,96,1,21
The Edge Of Heaven,WHAM!,1986-07-05,47,10,13
Love Touch,ROD STEWART,1986-05-31,54,6,18
Sweet Freedom,MICHAEL McDONALD,1986-06-14,76,7,20
Sledgehammer,PETER GABRIEL,1986-05-10,89,1,21
You Should Be Mine (The Woo Woo Song),JEFFREY OSBORNE,1986-05-24,84,13,19
Friends & Lovers,GLORIA LORING &amp; CARL ANDERSON,1986-07-05,77,2,21
Danger Zone,KENNY LOGGINS,1986-05-10,85,2,21
Suzanne,JOURNEY,1986-06-21,63,17,13
Baby Love,REGINA,1986-06-21,88,10,20
All The Love In The World,OUTFIELD,1986-06-07,76,19,16
Words Get In The Way,MIAMI SOUND MACHINE,1986-06-14,88,5,24
Invisible Touch,GENESIS,1986-05-31,45,1,17
One Step Closer To You,GAVIN CHRISTOPHER,1986-05-24,85,22,17
Yankee Rose,DAVID LEE ROTH,1986-07-05,72,16,15
Stuck With You,HUEY LEWIS AND THE NEWS,1986-08-02,42,1,19
"That Was Then, This Is Now",MONKEES,1986-07-05,88,20,14
Nasty,JANET JACKSON,1986-05-17,74,3,19
Man Size Love,KLYMAXX,1986-07-05,85,15,15
Rumbleseat,JOHN COUGAR MELLENCAMP,1986-06-28,78,28,13
Opportunities,PET SHOP BOYS,1986-05-31,65,10,16
Walk This Way,RUN DMC,1986-07-26,73,4,16
Don't Forget Me (When I'm Gone),GLASS TIGER,1986-07-12,86,2,24
Taken In,MIKE AND THE MECHANICS,1986-06-28,85,32,15
Love Zone,BILLY OCEAN,1986-07-26,65,10,16
The Captain Of Her Heart,DOUBLE,1986-06-28,95,16,18
Hanging On A Heart Attack,DEVICE,1986-06-14,93,35,14
Digging Your Scene,BLOW MONKEYS,1986-05-03,89,14,19
Modern Woman,BILLY JOEL,1986-06-07,54,10,15
Take It Easy,ANDY TAYLOR,1986-05-31,85,24,17
Dreamtime,DARYL HALL,1986-08-02,54,5,15
Two Of Hearts,STACEY Q,1986-07-12,89,3,22
Walk Like A Man,MARY JANE GIRLS,1986-07-12,74,41,10
Oh People,PATTI LaBELLE,1986-07-19,88,29,12
Velcro Fly,ZZ TOP,1986-07-26,72,35,12
Heaven In Your Eyes,LOVERBOY,1986-08-02,72,12,17
Holding Back The Years,SIMPLY RED,1986-04-05,88,1,23
When I Think Of You,JANET JACKSON,1986-08-09,60,1,19
Press,PAUL McCARTNEY,1986-08-02,66,21,11
Point Of No Return,NU SHOOZ,1986-07-05,97,28,22
All Cried Out,LISA LISA AND CULT JAM,1986-07-26,90,8,26
Somebody Like You,.38 SPECIAL,1986-07-19,89,48,12
Your Wildest Dreams,MOODY BLUES,1986-04-19,95,9,21
A Kind Of Magic,QUEEN,1986-06-21,85,42,11
Money's Too Tight To Mention,SIMPLY RED,1986-07-19,87,28,15
Throwing It All Away,GENESIS,1986-08-16,54,4,16
There'll Be Sad Songs (To Make You Cry),BILLY OCEAN,1986-04-19,61,1,21
Love Walks In,VAN HALEN,1986-08-09,67,22,15
Missionary Man,EURYTHMICS,1986-07-26,81,14,16
Love Of A Lifetime,CHAKA KHAN,1986-07-12,85,53,12
If Looks Could Kill,HEART,1986-07-19,81,54,9
Who's Johnny,EL DeBARGE,1986-04-26,75,3,19
A Matter Of Trust,BILLY JOEL,1986-08-09,71,10,18
What Does It Take,HONEYMOON SUITE,1986-07-12,94,52,16
Anotherloverholeinyohead,PRINCE,1986-07-19,86,63,10
Ruthless People,MICK JAGGER,1986-08-02,83,51,8
Twist And Shout,BEATLES,1986-08-09,89,23,15
Private Number,JETS,1986-08-09,76,47,11
Love Always,EL DeBARGE,1986-08-09,88,43,12
Nothing In Common,THOMPSON TWINS,1986-07-26,95,54,10
No One Is To Blame,HOWARD JONES,1986-04-12,72,4,23
So Far So Good,SHEENA EASTON,1986-08-02,84,43,12
Ain't Nothin' Goin' On But The Rent,GWEN GUTHRIE,1986-08-02,91,42,13
Wrap It Up,FABULOUS THUNDERBIRDS,1986-08-09,86,50,10
You Can Call Me Al,PAUL SIMON,1986-08-09,83,44,14
Sweet Love,ANITA BAKER,1986-08-16,74,8,22
Every Little Kiss,BRUCE HORNSBY AND THE RANGE,1986-07-26,93,72,9
When The Heart Rules The Mind,GTR,1986-05-10,74,14,16
Secret Separation,THE FIXX,1986-05-24,77,19,14
On My Own,PATTI LaBELLE &amp; MICHAEL McDONALD,1986-03-22,88,1,23
I Didn't Mean To Turn You On,ROBERT PALMER,1986-08-16,79,2,22
No Promises,ICEHOUSE,1986-07-05,95,79,9
Spirit In The Sky,DOCTOR AND THE MEDICS,1986-08-02,95,69,11
Tuff Enuff,FABULOUS THUNDERBIRDS,1986-04-19,94,10,19
With You All The Way,NEW EDITION,1986-06-14,84,51,11
Hyperactive,ROBERT PALMER,1986-06-07,80,33,12
It's You,BOB SEGER,1986-08-16,85,52,9
The Other Side Of Life,MOODY BLUES,1986-08-16,86,58,9
Crush On You,JETS,1986-04-12,73,3,20
Lonely Is The Night,AIR SUPPLY,1986-08-09,95,76,8
Before I Go,STARSHIP,1986-07-05,96,68,7
Am I Forgiven,ISLE OF MAN,1986-08-09,96,90,4
Like A Rock,BOB SEGER,1986-05-24,56,12,13
Take Me Home Tonight,EDDIE MONEY,1986-08-16,92,4,23
Paranoimia,ART OF NOISE with MAX HEADROOM,1986-08-16,93,34,12
Hot Water,LEVEL 42,1986-07-26,96,87,4
