Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Brandy (You're A Fine Girl),LOOKING GLASS,1972-06-17,68,1,16
Alone Again (Naturally),GILBERT O'SULLIVAN,1972-06-17,88,1,18
Long Cool Woman (In A Black Dress),THE HOLLIES,1972-06-24,75,2,15
I'm Still In Love With You,AL GREEN,1972-07-08,57,3,12
Hold Your Head Up,ARGENT,1972-06-17,82,5,15
(If Loving You Is Wrong) I Don't Want To Be Right,LUTHER INGRAM,1972-06-03,64,3,16
Goodbye To Love,THE CARPENTERS,1972-07-15,68,7,10
Coconut,NILSSON,1972-06-10,80,8,14
You Don't Mess Around With Jim,JIM CROCE,1972-07-01,60,8,13
Baby Don't Get Hooked On Me,MAC DAVIS,1972-07-01,77,1,18
The Happiest Girl In The Whole U.S.A.,DONNA FARGO,1972-05-27,82,11,16
Motorcycle Mama,SAILCAT,1972-06-10,98,12,15
The Guitar Man,BREAD,1972-07-29,62,11,10
Back Stabbers,THE O'JAYS,1972-07-22,77,3,15
Daddy Don't You Walk So Fast,WAYNE NEWTON,1972-04-22,100,4,20
Lookin' Through The Windows,JACKSON 5,1972-07-15,83,16,10
Rock And Roll (Part 2),GARY GLITTER,1972-07-22,84,7,11
Where Is The Love,ROBERTA FLACK &amp; DONNY HATHAWAY,1972-06-10,68,5,13
Sealed With A Kiss,BOBBY VINTON,1972-06-10,73,19,14
Saturday In The Park,CHICAGO,1972-08-05,60,3,12
School's Out,ALICE COOPER,1972-06-03,88,7,13
Join Together,THE WHO,1972-07-22,70,17,10
Black & White,THREE DOG NIGHT,1972-08-12,61,1,11
Beautiful Sunday,DANIEL BOONE,1972-06-03,100,15,20
Baby Let Me Take You (In My Arms),THE DETROIT EMERALDS,1972-05-27,92,24,17
How Do You Do,MOUTH AND MacNEAL,1972-04-29,97,8,19
Power Of Love,JOE SIMON,1972-07-08,94,11,15
Go All The Way,THE RASPBERRIES,1972-07-01,88,5,18
Small Beginnings,FLASH,1972-06-24,95,29,12
Too Late To Turn Back Now,CORNELIUS BROTHERS AND SISTER ROSE,1972-05-27,73,2,14
Lean On Me,BILL WITHERS,1972-04-22,83,1,19
When You Say Love,SONNY AND CHER,1972-07-08,99,32,10
Popcorn,HOT BUTTER,1972-07-08,89,9,18
Pop That Thang,THE ISLEY BROTHERS,1972-07-01,87,24,15
Gone,JOEY HEATHERTON,1972-05-27,97,24,15
You're Still A Young Man,THE TOWER OF POWER,1972-07-15,81,29,12
Run To Me,THE BEE GEES,1972-07-29,83,16,12
Sweet Inspiration / Where You Lead (Medley),BARBRA STREISAND,1972-06-24,81,37,12
This World,THE STAPLE SINGERS,1972-08-05,71,38,7
Honky Cat,ELTON JOHN,1972-08-12,63,8,10
Happy,THE ROLLING STONES,1972-07-15,69,22,8
Everybody Plays The Fool,THE MAIN INGREDIENT,1972-07-15,94,3,18
Hold Her Tight,THE OSMONDS,1972-07-01,76,14,9
Play Me,NEIL DIAMOND,1972-08-12,87,11,11
Breaking Up Is Hard To Do,THE PARTRIDGE FAMILY,1972-07-01,95,28,10
The City Of New Orleans,ARLO GUTHRIE,1972-07-29,86,18,16
Nights In White Satin,THE MOODY BLUES,1972-08-05,100,2,18
The Coldest Days Of My Life (Part 1),THE CHI-LITES,1972-07-15,88,47,9
Speak To The Sky,RICK SPRINGFIELD,1972-08-05,89,14,13
Starting All Over Again,MEL AND TIM,1972-07-08,83,19,20
Ben,MICHAEL JACKSON,1972-08-05,85,1,16
In The Ghetto,CANDI STATON,1972-06-24,86,48,11
Put It Where You Want It,THE CRUSADERS,1972-07-15,91,52,9
Easy Livin',URIAH HEEP,1972-07-29,82,39,12
Get On The Good Foot (Part 1),JAMES BROWN,1972-08-05,83,18,14
A Simple Man,LOBO,1972-07-08,90,56,9
We've Came Too Far To End It Now,SMOKEY ROBINSON AND THE MIRACLES,1972-06-24,88,46,10
"My Man, A Sweet Man",MILLIE JACKSON,1972-08-05,79,42,10
America,YES,1972-08-12,86,46,7
Rock Me On The Water,JACKSON BROWNE,1972-08-05,73,48,9
I'm Coming Home,STORIES,1972-06-17,83,42,12
Alabama Wild Man,JERRY REED,1972-07-15,89,62,8
My Ding-A-Ling,CHUCK BERRY,1972-08-05,99,1,17
I Miss You (Part 1),HAROLD MELVIN AND THE BLUE NOTES,1972-07-01,80,58,9
That's The Way God Planned It,BILLY PRESTON,1972-07-08,98,65,10
Zing Went The Strings Of My Heart,THE TRAMMPS,1972-07-08,92,64,11
Garden Party,RICK NELSON AND THE STONE CANYON BAND,1972-07-29,99,6,19
Burning Love / It's A Matter Of Time,ELVIS PRESLEY,1972-08-19,90,2,15
"Your Wonderful, Sweet Sweet Love",THE SUPREMES,1972-08-05,80,59,8
My Guy,PETULA CLARK,1972-06-10,100,70,13
If You Leave Me Tonight I'll Cry,JERRY WALLACE,1972-08-19,83,38,9
I Believe In Music,GALLERY,1972-08-12,97,22,16
In The Quiet Morning,JOAN BAEZ,1972-07-29,90,69,8
Jackie Wilson Said (I'm In Heaven When You Smile),VAN MORRISON,1972-08-19,87,61,6
In Time,ENGELBERT HUMPERDINCK,1972-08-05,86,69,8
If I Were A Carpenter,BOB SEGER,1972-07-01,94,76,9
Starman,DAVID BOWIE,1972-07-01,100,65,9
What A Wonderful Thing We Have,THE FABULOUS RHINESTONES,1972-08-05,84,78,4
Geronimo's Cadillac,MICHAEL (MARTIN) MURPHEY,1972-08-05,90,37,13
Use Me,BILL WITHERS,1972-08-26,80,2,12
Wholy Holy,ARETHA FRANKLIN with JAMES CLEVELAND &amp; THE SOUTHERN CALIFORN,1972-08-19,84,81,4
Tight Rope,LEON RUSSELL,1972-08-26,82,11,12
Beat Me Daddy Eight To The Bar,COMMANDER CODY AND HIS LOST PLANET AIRMEN,1972-07-22,91,81,7
Sweet Caroline (Good Times Never Seemed So Good) / Harry Hip,BOBBY WOMACK AND PEACE,1972-08-26,84,51,9
Why / Lonely Boy,DONNY OSMOND,1972-08-26,85,13,12
