Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Stuck On You,ELVIS PRESLEY,1960-04-04,84,1,16
Cathy's Clown,EVERLY BROTHERS,1960-04-11,109,1,18
Greenfields,BROTHERS FOUR,1960-02-22,95,2,29
Night,JACKIE WILSON,1960-03-21,90,4,17
Good Timin',JIMMY JONES,1960-04-18,67,3,15
Sixteen Reasons,CONNIE STEVENS,1960-02-01,89,3,24
Let The Little Girl Dance,BILLY BLAND,1959-12-14,107,7,29
Cradle Of Love,JOHNNY PRESTON,1960-03-14,111,7,17
Sink The Bismark,JOHNNY HORTON,1960-02-22,114,3,20
He'll Have To Stay,JEANNE BLACK,1960-04-25,113,4,12
The Old Lamplighter,THE BROWNS,1960-03-14,96,5,15
Paper Roses,ANITA BRYANT,1960-04-11,94,5,17
Stairway To Heaven,NEIL SEDAKA,1960-03-21,109,9,16
White Silver Sands,BILL BLACK'S COMBO,1960-02-29,101,9,15
Cherry Pie,SKIP &amp; FLIP,1960-03-21,108,11,17
Love You So,ROD HOLDEN,1960-04-04,85,7,19
Burning Bridges,JACK SCOTT,1960-04-18,97,3,17
Step By Step,CRESTS,1960-02-22,111,14,16
I Love The Way You Love,MARV JOHNSON,1960-02-15,109,9,16
Fame & Fortune,ELVIS PRESLEY,1960-04-11,71,17,10
Sweet Nothin's,BRENDA LEE,1959-12-21,99,4,24
Young Emotions,RICKY NELSON,1960-04-18,110,12,14
Madison,AL BROWN'S TUNETOPPERS,1960-03-28,101,23,13
Mr. Lucky,HENRY MANCINI,1960-03-07,115,21,17
Lonely Weekends,CHARLIE RICH,1960-03-14,99,22,21
Mountain Of Love,HAROLD DORMAN,1960-02-29,96,21,19
Footsteps,STEVE LAWRENCE,1960-03-07,84,7,13
Doggin' Around,JACKIE WILSON,1960-04-04,81,15,16
Barbara,TEMPTATIONS,1960-04-18,95,29,10
The Madison Time,RAY BRYANT COMBO,1960-04-11,99,30,9
When You Wish Upon A Star,DION AND THE BELMONTS,1960-04-18,113,30,10
Got A Girl,FOUR PREPS,1960-04-18,100,24,10
Ooh Poo Pah Doo,JESSIE HILL,1960-03-14,112,28,18
He'll Have To Go,JIM REEVES,1959-12-28,58,2,23
Theme From 'A Summer Place',PERCY FAITH,1960-01-04,101,1,22
Apple Green,JUNE VALLI,1960-02-29,111,29,14
Ding-A-Ling,BOBBY RYDELL,1960-04-25,114,18,13
What Am I Living For,CONWAY TWITTY,1960-03-28,93,26,11
Everybody's Somebody's Fool,CONNIE FRANCIS,1960-05-02,106,1,19
Puppy Love,PAUL ANKA,1960-02-15,101,2,15
Swingin' School,BOBBY RYDELL,1960-05-02,104,5,13
Money (That's What I Want),BARRETT STRONG,1960-02-01,95,23,17
For Love,LLOYD PRICE,1960-05-02,55,43,6
Mama,CONNIE FRANCIS,1960-02-22,63,8,13
Clementine,BOBBY DARIN,1960-03-21,86,21,9
The Ties That Bind,BROOK BENTON,1960-04-11,88,37,9
Angela Jones,JOHNNY FERGUSON,1960-02-22,92,27,15
Fannie Mae,BUSTER BROWN,1960-02-01,97,38,17
Nobody Loves Me Like You,FLAMINGOS,1960-04-11,113,30,11
The Way Of A Clown,TEDDY RANDAZZO,1960-04-11,102,44,10
Tell Me That You Love Me,FATS DOMINO,1960-04-11,108,51,9
Mack The Knife,ELLA FITZGERALD,1960-05-02,94,27,14
Think,JAMES BROWN,1960-05-02,97,33,7
Another Sleepless Night,JIMMY CLANTON,1960-04-25,95,22,13
Big Iron,MARTY ROBBINS,1960-03-07,111,26,11
Wonderful World,SAM COOKE,1960-05-09,97,12,15
Earth Angel,JOHNNY TILLOTSON,1960-04-11,74,57,7
Hither & Tither & Yon,BROOK BENTON,1960-04-18,92,58,6
You Don't Know Me,LENNY WELCH,1960-02-22,115,45,14
City Lights,DEBBIE REYNOLDS,1960-05-16,60,55,3
Don't Throw Away All Those Teardrops,FRANKIE AVALON,1960-03-07,113,22,11
All I Could Do Was Cry,ETTA JAMES,1960-05-02,80,33,15
Pledging My Love,JOHNNY TILLOTSON,1960-04-11,86,63,6
Wild One,BOBBY RYDELL,1960-02-01,72,2,16
Dutchman's Gold,WALTER BRENNAN,1960-04-25,100,30,12
Just One Time,DON GIBSON,1960-03-07,80,29,11
Jump Over,FREDDY CANNON,1960-04-18,109,28,13
Oh Little One,JACK SCOTT,1960-05-02,86,34,7
A Star Is Born (A Love Has Died),MARK DINNING,1960-04-18,98,68,6
Besame Mucho,COASTERS,1960-05-02,89,70,3
Always It's You,THE EVERLY BROTHERS,1960-05-16,71,56,6
Right By My Side,RICKY NELSON,1960-05-16,72,59,5
Happy-Go-Lucky-Me,PAUL EVANS,1960-04-18,112,10,16
Just A Little Closer Walk With Thee,JIMMIE RODGERS,1960-04-11,98,44,9
No If's And No's,LLOYD PRICE,1960-04-11,111,40,9
Theme For Young Lovers,PERCY FAITH,1960-05-02,108,35,11
Ebb Tide,THE PLATTERS featuring TONY WILLIAMS,1960-05-16,77,56,6
The Urge,FREDDY CANNON,1960-05-02,112,60,5
Is It Wrong (For Loving You),WEBB PIERCE,1960-05-02,75,69,3
National City,"JOINER, ARKANSAS JUNIOR HIGH SCHOOL BAND",1960-05-16,80,53,8
Finger Poppin' Time,HANK BALLARD AND THE MIDNIGHTERS,1960-05-09,107,7,27
Pink Chiffon,MITCHEL TOROK,1960-05-09,82,60,9
Wheel Of Fortune,LaVERN BAKER,1960-05-02,100,83,4
Before I Grow Too Old,FATS DOMINO,1960-05-09,93,84,2
Last Chance,COLLAY AND THE SATELLITES,1960-05-09,101,82,3
A Cottage For Sale,LITTLE WILLIE JOHN,1960-05-09,95,63,6
Hot Rod Lincoln,CHARLIE RYAN AND THE TIMBERLINE RIDERS,1960-05-09,94,78,5
Easy Lovin',WADE FLEMONS,1960-04-25,92,70,4
Beautiful Obsession,SIR CHAUNCEY &amp; HIS EXCITING STRINGERS,1960-05-09,92,89,3
Jenny Lou,SONNY JAMES,1960-04-11,91,67,6
Put Your Arms Around Me Honey,RAY SMITH,1960-05-09,91,91,2
La Montana (If She Should Come To You),FRANK DEVOL AND HIS RAINBOW STRINGS,1960-05-16,92,77,6
Baby What You Want Me To Do,JIMMY REED,1960-02-15,82,37,14
I'll Be Seeing You,FIVE SATINS,1960-05-02,109,79,7
"Theme From ""The Unforgiven""",DON COSTA,1960-05-02,74,27,13
Pennies From Heaven,SKYLINERS,1960-05-09,100,24,13
"Someone Loves You, Joe",THE SINGING BELLES,1960-05-16,97,97,1
Exclusively Yours,CARL DOBKINS JR.,1960-05-16,98,62,8
Clap Your Hands,THE BEAU-MARKS,1960-05-16,99,45,14
Mojo Workout,LARRY BRIGHT,1960-05-16,100,90,2
Shadows Of Love,LaVERN BAKER,1960-05-09,111,83,6
Please Don't Eat The Daisies,DORIS DAY,1960-05-02,110,102,3
My Home Town,PAUL ANKA,1960-05-16,103,8,14
Walking The Floor Over You,PAT BOONE,1960-05-16,104,44,9
John Henry (The Steel Driving Man),BUSTER BROWN,1960-05-02,114,105,4
I Really Don't Want To Know,TOMMY EDWARDS,1960-05-09,112,18,15
Comin' Down With Love,MEL GADSON,1960-05-16,107,69,7
Down To Isle,IKE CLANTON,1960-05-09,114,91,4
My Little Honey Dripper,JOE TURNER,1960-05-02,107,102,3
Holy One,FREDDIE FENDER,1960-05-09,115,107,3
Runaround,THE FLEETWOODS,1960-05-16,111,23,14
Biology,SUE RANEY,1960-05-09,109,109,2
Because They're Young,DUANE EDDY,1960-05-16,113,4,16
Biology,DANNY VALENTINO,1960-05-09,113,113,2
A Rockin' Good Way (To Mess Around And Fall In Love),DINAH WASHINGTON &amp; BROOK BENTON,1960-05-16,115,7,14
