Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
House Of The Rising Sun,THE ANIMALS,1964-08-08,60,1,11
Where Did Our Love Go,SUPREMES,1964-07-11,77,1,14
Because,DAVE CLARK FIVE,1964-08-01,60,3,10
Everybody Loves Somebody,DEAN MARTIN,1964-06-20,111,1,16
Bread & Butter,THE NEWBEATS,1964-08-01,115,2,14
C'mon & Swim,BOBBY FREEMAN,1964-06-27,108,5,14
G.T.O.,RONNY &amp; THE DAYTONAS,1964-07-25,118,4,14
A Hard Day's Night,BEATLES,1964-07-18,21,1,13
Remember (Walkin' In The Sand),SHANGRI-LAS,1964-08-15,106,5,12
Oh Pretty Woman,ROY ORBISON,1964-08-22,101,1,16
Selfish One,JACKIE ROSS,1964-07-25,131,11,11
And I Love Her,BEATLES,1964-07-25,80,12,9
Under The Boardwalk,DRIFTERS,1964-06-27,81,4,14
Maybe I Know,LESLEY GORE,1964-07-25,88,14,10
Maybelline,JOHNNY RIVERS,1964-08-15,70,12,9
Haunted House,GENE SIMMONS,1964-08-01,131,11,12
Clinging Vine,BOBBY VINTON,1964-08-08,88,17,8
How Do You Do It,GERRY AND THE PACEMAKERS,1964-07-11,85,9,11
In The Misty Moonlight,JERRY WALLACE,1964-07-04,130,19,14
You Nevr Can Tell,CHUCK BERRY,1964-07-25,123,14,10
It Hurts To Be In Love,GENE PITNEY,1964-07-18,93,7,16
Save It For Me,FOUR SEASONS,1964-08-22,102,10,9
We'll Sing In The Sunshine,GALE GARNETT,1964-08-01,116,4,18
Baby I Need Your Loving,FOUR TOPS,1964-08-15,90,11,12
Dancing In The Street,MARTHA AND THE VANDELLAS,1964-08-22,68,2,14
Walk Don't Run '64,VENTURES,1964-07-04,109,8,12
It's All Over Now,ROLLING STONES,1964-07-25,100,26,10
Funny,JOE HINTON,1964-08-15,84,13,12
I'm On The Outside (Looking In),LITTLE ANTHONY &amp; THE IMPERIALS,1964-08-15,133,15,11
Wishin' & Hopin',DUSTY SPRINGFIELD,1964-06-06,119,6,15
Do Wah Diddy Diddy,MANFRED MANN,1964-09-05,58,1,13
People Say,DIXIE CUPS,1964-07-18,72,12,9
Such A Night,ELVIS PRESLEY,1964-07-25,82,16,8
Just Be True,GENE CHANDLER,1964-07-04,129,19,11
Out Of Sight,JAMES BROWN,1964-08-08,108,24,11
I'll Cry Instead,BEATLES,1964-07-25,115,25,8
Ain't She Sweet,BEATLES,1964-07-18,90,19,9
Someday We're Gonna Love Again,THE SEARCHERS,1964-08-08,122,34,9
