Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
See You Again,WIZ KHALIFA featuring CHARLIE PUTH,2015-03-28,100,1,52
Bad Blood,TAYLOR SWIFT featuring KENDRICK LAMAR,2015-05-30,53,1,23
Trap Queen,FETTY WAP,2015-02-07,86,2,52
Shut Up And Dance,WALK THE MOON,2014-12-13,88,4,51
Uptown Funk!,MARK RONSON featuring BRUNO MARS,2014-11-29,65,1,55
Earned It (Fifty Shades Of Grey),THE WEEKND,2015-01-10,49,3,43
Want To Want Me,JASON DERULO,2015-03-28,45,5,35
Hey Mama,DAVID GUETTA featuring NICKI MINAJ &amp; AFROJACK,2015-04-11,70,8,24
Sugar,MAROON 5,2015-01-31,8,2,42
Nasty Freestyle,T-WAYNE,2015-05-02,43,9,20
"Honey, I'm Good.",ANDY GRAMMER,2015-03-21,87,9,30
Talking Body,TOVE LO,2015-02-14,95,12,30
Love Me Like You Do,ELLIE GOULDING,2015-01-24,45,3,34
Post To Be,OMARION featuring CHRIS BROWN &amp; JHENE AIKO,2015-01-24,98,13,37
You Know You Like It,DJ SNAKE &amp; ALUNAGEORGE,2015-04-11,99,13,21
Cheerleader,OMI,2015-05-09,95,1,35
Where Are U Now,SKRILLEX &amp; DIPLO featuring JUSTIN BIEBER,2015-03-21,97,8,45
Worth It,FIFTH HARMONY featuring KID INK,2015-03-21,92,12,34
Watch Me,SILENTO,2015-03-14,98,3,51
The Hills,THE WEEKND,2015-06-13,20,1,48
Dear Future Husband,MEGHAN TRAINOR,2015-04-04,47,14,15
Thinking Out Loud,ED SHEERAN,2014-10-25,69,2,58
Somebody,NATALIE LA ROSE featuring JEREMIH,2015-02-07,94,10,26
Lean On,MAJOR LAZER x DJ SNAKE featuring M0,2015-04-25,100,4,48
Girl Crush,LITTLE BIG TOWN,2015-03-14,84,18,23
Bitch Better Have My Money,RIHANNA,2015-04-11,23,15,23
Style,TAYLOR SWIFT,2015-01-10,84,6,30
G.D.F.R.,FLO RIDA featuring SAGE THE GEMINI &amp; LOOKAS,2014-12-20,97,8,32
Slow Motion,TREY SONGZ,2015-03-07,96,26,25
This Summer's Gonna Hurt Like A MotherF****r,MAROON 5,2015-05-30,67,23,13
Flex (Ooh Ooh Ooh),RICH HOMIE QUAN,2015-05-09,96,26,27
Budapest,GEORGE EZRA,2015-02-14,81,32,23
Chains,NICK JONAS,2015-02-14,92,13,20
Elastic Heart,SIA,2015-01-24,17,17,30
Blank Space,TAYLOR SWIFT,2014-11-15,18,1,36
Fight Song,RACHEL PLATTEN,2015-05-02,80,6,31
Take Your Time,SAM HUNT,2015-01-17,93,20,32
The Night Is Still Young,NICKI MINAJ,2015-05-23,93,31,15
Shake It Off,TAYLOR SWIFT,2014-09-06,1,1,50
Sangria,BLAKE SHELTON,2015-05-02,93,38,20
Kick The Dust Up,LUKE BRYAN,2015-06-06,26,26,20
Bright,ECHOSMITH,2015-04-11,93,40,19
Blessings,BIG SEAN featuring DRAKE,2015-02-21,54,28,20
Sippin' On Fire,FLORIDA GEORGIA LINE,2015-04-04,96,40,19
Pretty Girls,BRITNEY SPEARS &amp; IGGY AZALEA,2015-05-23,29,29,8
One Last Time,ARIANA GRANDE,2015-02-28,80,13,20
Time Of Our Lives,PITBULL &amp; NE-YO,2015-01-03,87,9,26
Smoke,A THOUSAND HORSES,2015-03-14,90,47,20
All About That Bass,MEGHAN TRAINOR,2014-07-26,84,1,47
Don't It,BILLY CURRINGTON,2015-03-21,91,44,20
Be Real,KID INK featuring DeJ LOAF,2015-05-02,96,43,20
Photograph,ED SHEERAN,2015-05-30,92,10,30
Fun,PITBULL featuring CHRIS BROWN,2015-05-30,77,40,15
Nasty,BANDIT GANG MARCO featuring DRO,2015-05-09,83,41,9
Commas,FUTURE,2015-04-18,98,55,20
Uma Thurman,FALL OUT BOY,2015-05-16,93,22,24
