Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
One More Night,MAROON 5,2012-07-07,42,1,42
Gangnam Style,PSY,2012-09-22,64,2,31
Live While We're Young,ONE DIRECTION,2012-10-20,3,3,16
Some Nights,FUN.,2012-03-10,62,3,56
We Are Never Ever Getting Back Together,TAYLOR SWIFT,2012-08-25,72,1,24
Red,TAYLOR SWIFT,2012-10-20,6,6,3
As Long As You Love Me,JUSTIN BIEBER featuring BIG SEAN,2012-07-14,87,6,28
Skyfall,ADELE,2012-10-20,8,8,17
Blow Me (One Last Kiss),P!NK,2012-07-21,58,5,27
Too Close,ALEX CLARE,2012-05-19,75,7,39
Good Time,OWL CITY &amp; CARLY RAE JEPSEN,2012-07-14,18,8,24
Whistle,FLO RIDA,2012-06-30,86,1,25
Everybody Talks,NEON TREES,2012-03-31,74,6,39
Die Young,KE$HA,2012-10-13,13,2,22
Lights,ELLIE GOULDING,2012-01-14,99,2,56
Don't Wake Me Up,CHRIS BROWN,2012-07-21,88,10,27
Let Me Love You (Until You Learn To Love Yourself),NE-YO,2012-08-18,99,6,28
Diamonds,RIHANNA,2012-10-13,16,1,26
Clique,KANYE WEST JAY-Z BIG SEAN,2012-09-22,55,12,22
Call Me Maybe,CARLY RAE JEPSEN,2012-03-10,38,1,50
Wide Awake,KATY PERRY,2012-06-09,35,2,26
Somebody That I Used To Know,GOTYE featuring KIMBRA,2012-01-21,91,1,59
Mercy,"KANYE WEST, BIG SEAN, PUSHA T, 2 CHAINZ",2012-04-21,38,13,32
Blown Away,CARRIE UNDERWOOD,2012-08-04,89,20,20
Home,PHILLIP PHILLIPS,2012-08-11,84,6,36
Pound The Alarm,NICKI MINAJ,2012-08-11,92,15,18
Adorn,MIGUEL,2012-08-18,82,17,33
50 Ways To Say Goodbye,TRAIN,2012-07-28,98,20,20
Payphone,MAROON 5 featuring WIZ KHALIFA,2012-05-05,3,2,31
Give Your Heart A Break,DEMI LOVATO,2012-04-21,70,16,32
Wanted,HUNTER HAYES,2012-05-12,99,16,46
I Will Wait,MUMFORD &amp; SONS,2012-08-25,23,12,39
Titanium,DAVID GUETTA featuring SIA,2012-05-05,79,7,32
Locked Out Of Heaven,BRUNO MARS,2012-10-20,34,1,36
I Won't Give Up,JASON MRAZ,2012-01-21,8,8,44
Finally Found You,ENRIQUE IGLESIAS featuring SAMMY ADAMS,2012-09-29,94,24,14
No Lie,2 CHAINZ featuring DRAKE,2012-05-26,45,24,26
Pop That,"FRENCH MONTANA featuring RICK ROSS, DRAKE, LIL WAYNE",2012-07-28,90,36,22
Take A Little Ride,JASON ALDEAN,2012-08-04,12,12,20
Ho Hey,THE LUMINEERS,2012-06-23,90,3,62
It's Time,IMAGINE DRAGONS,2012-06-23,93,15,47
Where Have You Been,RIHANNA,2012-05-12,78,5,25
Cruise,FLORIDA GEORGIA LINE,2012-09-01,99,16,26
What Makes You Beautiful,ONE DIRECTION,2012-03-03,28,4,34
The A Team,ED SHEERAN,2012-07-28,95,16,33
Cowboys And Angels,DUSTIN LYNCH,2012-06-02,100,40,22
Kiss Tomorrow Goodbye,LUKE BRYAN,2012-09-08,92,29,20
Girl On Fire,ALICIA KEYS featuring NICKI MINAJ,2012-09-22,37,11,30
We Are Young,FUN. featuring JANELLE MONAE,2012-01-21,88,1,40
2 Reasons,TREY SONGZ featuring T.I.,2012-07-21,97,43,20
Hard To Love,LEE BRICE,2012-06-30,96,27,23
Begin Again,TAYLOR SWIFT,2012-10-13,7,7,4
Thinkin Bout You,FRANK OCEAN,2012-07-28,85,32,28
Want U Back,CHER LLOYD,2012-06-30,75,12,20
Turn On The Light,FUTURE,2012-08-25,89,50,20
Birthday Song,2 CHAINZ featuring KANYE WEST,2012-09-01,100,47,19
