Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
"Love Theme From ""The Sandpiper"" (The Shadow Of Your Smile)",TONY BENNETT,1965-11-13,100,95,9
Love (Makes Me Do Foolish Things),MARTHA AND THE VANDELLAS,1965-10-16,114,70,15
Stay Away From My Baby,TED TAYLOR,1965-11-27,126,99,4
Jenny Take A Ride,MITCH RYDER AND THE DETROIT WHEELS,1965-12-11,100,10,12
We Can Work It Out,THE BEATLES,1965-12-11,101,1,13
Goodbye Babe,THE CASTAWAYS,1965-11-13,125,101,6
Day Tripper,THE BEATLES,1965-12-11,103,5,11
Pied Piper,CHANGIN' TIMES,1965-10-30,127,87,7
Don't Have To Shop Around,THE MAD LADS,1965-10-23,94,93,9
Good Things Come To Those Who Wait,CHUCK JACKSON,1965-12-04,112,105,7
Only Love,SOLOMON BURKE,1965-11-13,104,94,5
I Don't Know What You've Got But It's Got Me,LITTLE RICHARD,1965-11-27,92,92,3
Everybody Loves A Good Time,MAJOR LANCE,1965-11-13,134,109,5
Think,JIMMY McCRACKLIN,1965-10-09,114,95,10
What The New Breed Say,THE BARBARIANS,1965-11-20,135,102,6
Walk Hand In Hand,GERRY AND THE PACEMAKERS,1965-12-11,112,103,4
Broomstick Cowboy,BOBBY GOLDSBORO,1965-12-11,113,53,8
Private John Q,GLEN CAMPBELL,1965-12-04,117,114,3
The New Breed,JIMMY HOLIDAY,1965-11-27,129,115,3
For You,THE SPELLBINDERS,1965-11-20,130,93,10
The Last Thing On My Mind,THE VEJTABLES,1965-11-27,125,117,3
The Drinking Man's Diet,ALLAN SHERMAN,1965-11-27,122,98,5
Plastic,THE SERENDIPITY SINGERS,1965-12-04,120,118,4
The Three Bells (The Jimmy Brown Song),THE TOKENS,1965-11-13,129,120,5
What's Come Over This World,BILLY CARR,1965-11-27,133,116,5
Rising Sun,THE DEEP SIX,1965-11-27,123,122,3
Chills And Fever,PAUL KELLY,1965-12-11,123,123,1
My Generation,THE WHO,1965-12-11,124,124,1
Chills And Fever,TOM JONES,1965-12-11,125,125,1
I See The Light,FIVE AMERICANS,1965-12-11,126,26,14
No Time For Pity,BABY WASHINGTON,1965-11-27,130,125,4
Grab This Thing,THE MAR-KEYS,1965-12-04,130,111,3
Look At Me,THREE DIMENSIONS with THE THING,1965-12-04,134,113,8
Good Time Music,THE BEAU BRUMMELS,1965-12-11,130,97,6
Everything's Gonna Be Alright,WILLIE MITCHELL,1965-12-04,133,131,3
I Can't Go On,CHARLIE RICH,1965-12-11,132,132,1
Lightnin' Strikes,LOU CHRISTIE,1965-12-11,133,1,17
The Pain Gets A Little Deeper,DARROW FLETCHER,1965-12-11,134,89,10
Looking Back,NAT KING COLE,1965-12-11,135,123,5
