Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Me And Mrs. Jones,BILLY PAUL,1972-11-04,74,1,16
I Am Woman,HELEN REDDY,1972-09-16,87,1,19
If You Don't Know Me By Now,HAROLD MELVIN AND THE BLUE NOTES,1972-09-30,86,3,17
You Ought To Be With Me,AL GREEN,1972-10-21,91,3,15
It Never Rains In Southern California,ALBERT HAMMOND,1972-10-21,65,5,16
Papa Was A Rollin' Stone,THE TEMPTATIONS,1972-10-14,83,1,16
Clair,GILBERT O'SULLIVAN,1972-10-28,86,2,16
Ventura Highway,AMERICA,1972-10-21,63,8,12
I Can See Clearly Now,JOHNNY NASH,1972-09-09,84,1,20
I'm Stone In Love With You,THE STYLISTICS,1972-10-14,92,10,13
Rockin' Pneumonia - Boogie Woogie Flu,JOHNNY RIVERS,1972-10-07,80,6,19
Funny Face,DONNA FARGO,1972-09-30,95,5,20
Something's Wrong With Me,AUSTIN ROBERTS,1972-10-14,98,12,15
Crazy Horses,THE OSMONDS,1972-10-21,90,14,12
Superfly,CURTIS MAYFIELD,1972-11-18,83,8,15
Sweet Surrender,BREAD,1972-11-11,55,15,11
Keeper Of The Castle,THE FOUR TOPS,1972-11-11,71,10,12
Corner Of The Sky,JACKSON 5,1972-10-28,88,18,12
Summer Breeze,SEALS AND CROFTS,1972-09-09,88,6,18
Living In The Past,JETHRO TULL,1972-11-04,76,11,14
Walk On Water,NEIL DIAMOND,1972-11-11,85,17,12
Operator (That's Not The Way It Feels),JIM CROCE,1972-10-14,78,17,12
Sitting,CAT STEVENS,1972-11-18,89,16,11
Your Mama Don't Dance,KENNY LOGGINS &amp; JIM MESSINA,1972-11-11,89,4,16
Dialogue (Parts 1 And 2),CHICAGO,1972-10-28,72,24,10
Long Dark Road,THE HOLLIES,1972-11-04,89,26,11
Superstition,STEVIE WONDER,1972-11-18,82,1,16
Pieces Of April,THREE DOG NIGHT,1972-11-18,90,19,14
I'd Love You To Want Me,LOBO,1972-09-23,83,2,14
How Could I Let You Get Away / I'll Be Around,THE SPINNERS,1972-08-19,91,3,19
Been To Canaan,CAROLE KING,1972-11-25,88,24,10
I Wanna Be With You,THE RASPBERRIES,1972-11-25,77,16,11
If I Could Reach You,THE 5TH DIMENSION,1972-09-09,71,10,15
Alive,THE BEE GEES,1972-11-18,63,34,7
I Didn't Know I Loved You ('Till I Saw You Rock And Roll),GARY GLITTER,1972-11-04,71,35,9
Sunny Days,LIGHTHOUSE,1972-10-07,90,34,12
You're So Vain,CARLY SIMON,1972-12-02,99,1,17
Don't Let Me Be Lonely Tonight,JAMES TAYLOR,1972-12-02,60,14,11
What Am I Crying For,DENNIS YOST AND THE CLASSICS IV,1972-10-21,99,39,13
Angel,ROD STEWART,1972-11-18,80,40,7
"Theme From ""The Men""",ISAAC HAYES,1972-10-21,73,38,9
And You And I (Part 2),YES,1972-11-11,83,42,7
Rock'n'Roll Soul,GRAND FUNK RAILROAD,1972-09-23,85,29,13
I Got A Bag Of My Own,JAMES BROWN,1972-11-18,79,44,7
Why Can't We Live Together,TIMMY THOMAS,1972-11-25,94,3,15
Crocodile Rock,ELTON JOHN,1972-12-09,73,1,17
Separate Ways / Always On My Mind,ELVIS PRESLEY,1972-12-02,71,20,12
"Oh, Babe, What Would You Say",HURRICANE SMITH,1972-12-02,74,3,15
Smoke Gets In Your Eyes,BLUE HAZE,1972-11-11,98,27,14
No,BULLDOG,1972-10-14,91,44,15
"You Turn Me On, I'm A Radio",JONI MITCHELL,1972-11-11,99,25,16
In Heaven There Is No Beer,CLEAN LIVING,1972-11-04,77,49,12
