Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
The First Time Ever I Saw Your Face,ROBERTA FLACK,1972-03-04,77,1,18
A Horse With No Name,AMERICA,1972-02-19,84,1,14
I Gotcha / A Mother's Prayer,JOE TEX,1972-01-22,90,2,21
Rockin' Robin,MICHAEL JACKSON,1972-03-11,68,2,13
Heart Of Gold,NEIL YOUNG,1972-02-05,62,1,14
In The Rain,THE DRAMATICS,1972-02-26,64,5,13
Puppy Love,DONNY OSMOND,1972-02-26,60,3,12
"Betcha By Golly, Wow",THE STYLISTICS featuring RUSSELL THOMPKINS JR.,1972-02-26,79,3,16
Day Dreaming,ARETHA FRANKLIN,1972-03-18,58,5,12
A Cowboy's Work Is Never Done,SONNY AND CHER,1972-02-26,78,8,13
Mother And Child Reunion,PAUL SIMON,1972-02-05,85,4,13
The Lion Sleeps Tonight (Wimoweh),ROBERT JOHN,1972-01-01,89,3,17
Roundabout,YES,1972-02-12,88,13,13
Jungle Fever,THE CHAKACHAS,1972-01-15,91,8,15
The Family Of Man,THREE DOG NIGHT,1972-03-25,79,12,9
Doctor My Eyes,JACKSON BROWNE,1972-03-18,80,8,12
Look What You've Done For Me,AL GREEN,1972-04-01,44,4,12
Taurus,DENNIS COFFEY AND THE DETROIT GUITAR BAND,1972-02-19,89,18,12
Baby Blue,BADFINGER,1972-03-25,78,14,10
Vincent / Castles In The Air,DON McLEAN,1972-03-18,78,12,12
Give Ireland Back To The Irish,WINGS,1972-03-11,78,21,8
Crazy Mama,J.J. CALE,1972-01-29,91,22,14
The Day I Found Myself,THE HONEY CONE,1972-02-19,88,23,11
The Way Of Love,CHER,1972-01-29,82,7,13
Every Day Of My Life,BOBBY VINTON,1972-01-29,98,24,16
Suavecito,MALO,1972-03-04,76,18,12
Without You,NILSSON,1971-12-18,99,1,19
Rock And Roll Lullaby,B.J. THOMAS,1972-02-12,71,15,11
Everything I Own,BREAD,1972-01-29,60,5,13
Jump Into The Fire,NILSSON,1972-03-18,87,27,9
Back Off Boogaloo,RINGO STARR,1972-04-01,88,9,10
Down By The Lazy River,THE OSMONDS,1972-01-22,68,4,14
Slippin' Into Darkness,WAR,1972-01-22,99,16,22
Do Your Thing,ISAAC HAYES,1972-02-26,69,30,11
Oh Girl,THE CHI-LITES,1972-04-08,80,1,15
Help Me Make It Through The Night,GLADYS KNIGHT AND THE PIPS,1972-03-25,74,33,8
I'll Take You There,THE STAPLE SINGERS,1972-04-08,63,1,15
The Candy Man,SAMMY DAVIS JR. with THE MIKE CURB CONGREGATION,1972-03-11,97,1,21
Hot Rod Lincoln,COMMANDER CODY AND HIS LOST PLANET AIRMEN,1972-03-25,98,9,14
Run Run Run,JO JO GUNNE,1972-03-18,90,27,11
Take A Look Around,THE TEMPTATIONS,1972-03-04,62,30,8
King Heroin,JAMES BROWN,1972-03-04,68,40,7
Morning Has Broken,CAT STEVENS,1972-04-01,78,6,14
Chantilly Lace / Think About It Darlin',JERRY LEE LEWIS,1972-03-04,91,43,10
