Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Seasons In The Sun,TERRY JACKS,1974-01-12,99,1,21
Boogie Down,EDDIE KENDRICKS,1974-01-05,76,2,18
Dark Lady,CHER,1974-01-19,82,1,16
Sunshine On My Shoulders,JOHN DENVER,1974-01-26,90,1,18
The Way We Were,BARBRA STREISAND,1973-11-24,92,1,23
Mockingbird,CARLY SIMON &amp; JAMES TAYLOR,1974-02-02,80,5,16
Jungle Boogie,KOOL AND THE GANG,1973-12-08,100,4,22
Rock On,DAVID ESSEX,1973-11-10,93,5,25
Spiders And Snakes,JIM STAFFORD,1973-11-10,97,3,23
Jet,WINGS,1974-02-09,69,7,14
Eres Tu,MOCEDADES,1974-01-12,90,9,17
Bennie And The Jets,ELTON JOHN,1974-02-16,69,1,18
Come And Get Your Love (Hail),REDBONE,1974-01-12,85,5,23
Hooked On A Feeling,BLUE SUEDE,1974-02-16,87,1,17
Love's Theme,LOVE UNLIMITED ORCHESTRA,1973-12-01,89,1,22
Trying To Hold On To My Woman,LAMONT DOZIER,1973-12-22,98,15,18
Sexy Mama,MOMENTS,1974-01-12,100,17,13
My Sweet Lady,CLIFF DeYOUNG with BILL MUMY &amp; COREY FISCHER,1974-01-05,87,17,15
Until You Come Back To Me,ARETHA FRANKLIN,1973-11-24,98,3,21
The Lord's Prayer,SISTER JANET MEAD,1974-02-23,71,4,13
Mighty Love,SPINNERS,1974-01-26,83,20,15
Love Song,ANNE MURRAY,1973-12-15,94,12,17
There Won't Be Anymore,CHARLIE RICH,1974-01-26,87,18,15
Best Thing That Ever Happened To Me,GLADYS KNIGHT AND THE PIPS,1974-02-16,77,3,17
T.S.O.P. (The Sound Of Philadelphia),M.F.S.B. &amp; THREE DEGREES,1974-03-02,65,1,18
Rock & Roll Hoochie Koo,RICK DERRINGER,1974-01-19,100,23,14
Put Your Hands Together,O'JAYS,1973-12-22,71,10,16
I Love,TOM T. HALL,1973-12-08,97,12,16
A Very Special Love Song,CHARLIE RICH,1974-02-23,63,11,14
Lookin' For A Love,BOBBY WOMACK,1974-02-02,86,10,17
Star,STEALERS WHEEL,1974-01-05,92,29,14
I Like To Live The Love,B.B. KING,1973-12-08,99,28,16
Last Time I Saw Him,DIANA ROSS,1974-01-05,70,14,14
You're Sixteen,RINGO STARR,1973-12-15,75,1,15
Energy Crisis '74,DICKIE GOODMAN,1974-02-02,89,33,8
We're Getting Careless With Our Love,JOHNNIE TAYLOR,1974-01-26,98,34,10
Just Don't Want To Be Lonely,MAIN INGREDIENT,1974-02-02,96,10,20
I'll Have To Say I Love You In A Song,JIM CROCE,1974-03-02,73,9,14
Let Me Be There,OLIVIA NEWTON-JOHN,1973-11-17,87,6,19
W.O.L.D.,HARRY CHAPIN,1974-01-05,98,36,13
Touch A Hand Make A Friend,STAPLE SINGERS,1974-02-23,79,23,13
I've Got A Thing About You Baby,ELVIS PRESLEY,1974-02-09,90,39,12
I'll Be The Other Woman,SOUL CHILDREN,1974-02-16,94,36,9
Oh My My,RINGO STARR,1974-03-09,65,5,14
Let It Ride,BACHMAN-TURNER OVERDRIVE,1974-02-23,77,23,15
Tell Me A Lie,SAMI JO,1974-02-09,85,21,14
On A Night Like This,BOB DYLAN,1974-02-23,73,44,6
Thanks For Saving My Life,BILLY PAUL,1974-01-26,95,37,17
Americans,BYRON MacGREGOR,1974-01-05,65,4,12
Doo Doo Doo Doo Doo,ROLLING STONES,1974-01-12,83,15,11
Last Kiss,WEDNESDAY,1973-11-24,99,34,18
Hone Please Can't Ya See,BARRY WHITE,1974-02-23,100,44,7
Show & Tell,AL WILSON,1973-10-20,96,1,22
Abra-Ca-Dabra,THE DeFRANCO FAMILY featuring TONY DeFRANCO,1973-12-29,95,32,12
My Mistake,DIANA ROSS &amp; MARVIN GAYE,1974-02-23,84,19,16
Homely Girl,CHI-LITES,1974-02-09,98,54,8
Life Is A Song Worth Singing,JOHNNY MATHIS,1973-12-29,99,54,12
Keep On Singing,HELEN REDDY,1974-03-09,86,15,13
I Wish It Was Me,TYRONE DAVIS,1974-02-02,93,57,9
Tubular Bells,MIKE OLDFIELD,1974-02-23,99,7,16
Piano Man,BILLY JOEL,1974-02-23,94,25,14
Would You Lay With Me,TANYA TUCKER,1974-02-16,92,46,9
Jolene,DOLLY PARTON,1974-01-26,92,60,8
Your Cash Ain't Nothin' But Trash,STEVE MILLER BAND,1974-03-02,83,51,7
Outside Woman,BLOODSTONE,1974-02-23,91,34,14
She's Gone,DARYL HALL &amp; JOHN OATES,1974-02-09,96,60,8
Virginia (Touch Me Like You Do),BILL AMESBURY,1974-02-16,90,59,9
It's Been A Long Time,NEW BIRTH,1974-02-16,93,66,6
The Locomotion,GRAND FUNK,1974-03-09,82,1,20
Must Be Love,JAMES GANG,1974-02-02,100,54,11
Star Baby,GUESS WHO,1974-02-16,99,39,19
I Just Can't Get You Out Of My Mind,FOUR TOPS,1974-01-26,97,62,8
Midnight At The Oasis,MARIA MULDAUR,1974-02-23,97,6,24
I'm A Train,ALBERT HAMMOND,1974-03-02,94,31,12
Houston (I'm Comin' To See You),GLEN CAMPBELL,1974-02-09,84,68,6
Touch And Go,AL WILSON,1974-03-09,90,57,9
That's The Sound Lonely Makes,TAVARES,1974-02-02,94,70,7
Watching The River Run,LOGGINS &amp; MESSINA,1974-03-02,86,71,6
Dancing Machine,JACKSON FIVE,1974-03-16,79,2,22
I've Been Searchin' So Long,CHICAGO,1974-03-16,80,9,15
Unborn Child,SEALS AND CROFTS,1974-03-02,89,66,8
She,SOUTHCOTE,1974-03-09,89,80,4
Goin' Down Slow,BOBBY BLAND,1974-03-02,95,69,6
Skybird,NEIL DIAMOND,1974-03-16,84,75,4
Once You Understand,THINK,1974-03-09,100,53,8
Mighty Mighty,"EARTH, WIND AND FIRE",1974-03-09,95,29,15
Help Me,JONI MITCHELL,1974-03-16,87,7,19
Oh Very Young,CAT STEVENS,1974-03-16,88,10,17
Dance With The Devil,COZY POWELL,1974-03-16,89,49,9
The Show Must Go On,THREE DOG NIGHT,1974-03-16,90,4,19
Pepper Box,PEPPERS,1974-03-09,96,76,7
Beyond The Blue Horizon,LOU CHRISTIE,1974-02-16,97,80,10
Quick Fast In A Hurry,NEW YORK CITY,1974-02-02,98,79,7
Best Thing That Ever Happened To Me,PERSUADERS,1974-03-02,99,85,6
Mr. Natural,BEE GEES,1974-03-09,98,93,3
Heavenly,TEMPTATIONS,1974-03-16,96,43,9
Music Eyes,HEARTSFIELD,1974-03-02,100,95,5
There's Got To Be Rain In Your Life,DOROTHY NORWOOD,1974-02-23,95,88,4
Rock Around The Clock,BILL HALEY,1974-03-16,99,39,14
The Crude Oil Blues,JERRY REED,1974-02-16,98,91,5
