Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Are You Lonesome Tonight,ELVIS PRESLEY,1960-11-14,35,1,16
Last Date,FLOYD CRAMER,1960-10-10,99,2,20
Wonderland By Night,BERT KAEMPFERT,1960-11-14,50,1,17
North To Alaska,JOHNNY HORTON,1960-09-12,111,4,24
Sailor,LOLITA,1960-10-17,110,5,19
Exodus,FERRANTE AND TEICHER,1960-11-07,105,2,22
A Thousand Stars,KATHY YOUNG &amp; THE INNOCENTS,1960-10-24,67,3,17
Many Tears Ago,CONNIE FRANCIS,1960-11-07,79,7,13
You're Sixteen,JOHNNY BURNETTE,1960-10-31,94,8,15
He Will Break Your Heart,JERRY BUTLER,1960-10-24,110,7,16
Poetry In Motion,JOHNNY TILLOTSON,1960-10-10,76,2,15
Lonely Teenager,DION,1960-10-10,113,12,17
Stay,MAURICE WILLIAMS &amp; THE ZODIACS,1960-09-19,112,1,20
Sway,BOBBY RYDELL,1960-10-31,108,14,12
Rubber Ball,BOBBY VEE,1960-11-28,67,6,14
Blue Tango,BILL BLACK'S COMBO,1960-11-28,75,16,10
Perfidia,VENTURES,1960-10-31,78,15,13
New Orleans,GARY U.S. BONDS,1960-10-17,71,6,14
My Girl Josephine,FATS DOMINO,1960-10-24,77,14,15
Wonderland By Night,LOUIS PRIMA,1960-11-14,88,15,14
Alone At Last,JACKIE WILSON,1960-10-10,75,8,15
Will You Love Me Tomorrow,SHIRELLES,1960-11-21,87,1,19
Angel Baby,ROSIE AND THE ORIGINALS,1960-12-12,40,5,13
Last Date,LAWRENCE WELK,1960-11-21,94,21,10
Let's Go Let's Go Let's Go,HANK BALLARD,1960-09-19,87,6,16
Rockin' Around The Christmas Tree,BRENDA LEE,1960-12-12,64,14,4
Corinna Corinna,RAY PETERSON,1960-11-21,96,9,15
The Little Drummer Boy,HARRY SIMEON CHORALE,1960-12-12,53,24,4
Sad Mood,SAM COOKE,1960-12-05,69,29,8
I Gotta Know,ELVIS PRESLEY,1960-11-14,65,20,11
I'll Save The Last Dance For You,DAMITO JO,1960-10-24,90,22,12
White Christmas,BING CROSBY,1960-12-12,55,26,3
Fools Rush In,BROOK BENTON,1960-11-14,54,24,10
Ballad Of The Alamo,MARTY ROBBINS,1960-10-17,92,34,13
Save The Last Dance For Me,DRIFTERS,1960-09-05,78,1,18
Ruby,RAY CHARLES,1960-11-14,108,28,10
Like Strangers,EVERLY BROTHERS,1960-10-24,109,22,11
The Hucklebuck,CHUBBY CHECKER,1960-10-10,73,14,13
Am I Losing You,JIM REEVES,1960-10-17,112,31,12
Natural Born Lover,FATS DOMINO,1960-10-24,107,38,10
Doll House,DONNIE BROOKS,1960-11-28,86,31,10
Wings Of A Dove,FERLIN HUSKY,1960-11-28,79,12,18
The Hoochi Coochi Coo,HANK BALLARD,1960-12-05,84,23,11
Once In A While,CHIMES,1960-10-17,105,11,20
The Chipmunk Song,CHIPMUNKS,1960-12-12,66,45,3
Jingle Bell Rock,BOBBY HELMS,1960-12-05,111,36,4
Wonderland By Night,ANITA BRYANT,1960-11-21,102,18,12
Walk Slow,LITTLE WILLIE JOHN,1960-11-28,81,48,8
Georgia On My Mind,RAY CHARLES,1960-09-26,94,1,13
"Main Theme From ""Exodus""",MANTOVANI,1960-11-21,71,31,13
Gonzo,JAMES BOOKER,1960-10-10,106,43,15
I Want To Be Wanted,BRENDA LEE,1960-09-12,67,1,15
Am I The Man,JACKIE WILSON,1960-10-24,99,32,10
Gee Whiz,INNOCENTS,1960-11-07,113,28,13
Don't Go To Strangers,ETTA JONES,1960-11-07,99,36,7
Send Me The Pillow You Dream On,THE BROWNS featuring JIM EDWARD BROWN,1960-11-14,99,56,7
I'm Hurtin',ROY ORBISON,1960-12-12,84,27,8
Adeste Fideles (O Come All Ye Faithful),BING CROSBY,1960-12-12,79,45,3
Shop Around,MIRACLES,1960-12-12,71,2,16
The Magnificent Seven,AL CAIOLA,1960-11-28,111,35,13
Bumble Bee,LAVERN BAKER,1960-11-07,111,46,12
Rudolph The Red Nosed Reindeer,DAVID SEVILLE AND THE CHIPMUNKS,1960-12-12,106,21,3
Sleep,LITTLE WILLIE JOHN,1960-09-05,84,13,16
Silent Night,BING CROSBY,1960-12-12,102,54,3
Calcutta,LAWRENCE WELK,1960-12-05,114,1,18
Ol MacDonald,FRANK SINATRA,1960-11-07,92,25,9
Blue Angel,ROY ORBISON,1960-09-05,107,9,16
The Bells,JAMES BROWN,1960-11-07,109,68,7
Dance By The Light Of The Moon,OLYMPICS,1960-12-05,90,47,7
To Each His Own,PLATTERS,1960-10-03,111,21,12
I Missed Me,JIM REEVES,1960-11-14,89,44,6
Ramona,BLUE DIAMONDS,1960-11-28,87,72,5
Rambling,RAMBLERS,1960-12-05,88,73,4
Rudolph The Red Nosed Reindeer,THE MELODEERS,1960-12-12,115,71,3
A Perfect Love,FRANKIE AVALON,1960-12-12,88,47,6
Gloria's Theme,ADAM WADE,1960-11-21,100,74,6
I Count The Tears,DRIFTERS,1960-12-19,77,17,11
Twistin' Bells,SANTO AND JOHNNY,1960-12-12,109,49,4
My Last Date,SKEETER DAVIS,1960-12-12,98,26,8
