Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Here I Go Again,WHITESNAKE,1987-07-04,80,1,28
Lost In Emotion,LISA LISA AND THE CULT JAM,1987-08-01,76,1,20
Carrie,EUROPE,1987-08-01,72,3,19
I Heard A Rumour,BANANARAMA,1987-07-18,74,4,19
U Got The Look,THE ARTIST,1987-08-01,67,2,25
Didn't We Almost Have It All,WHITNEY HOUSTON,1987-08-01,50,1,17
Who Will You Run To,HEART,1987-08-15,64,7,22
Bad,MICHAEL JACKSON,1987-09-19,40,1,14
Paper In Fire,JOHN MELLENCAMP,1987-08-15,62,9,16
Casanova,LEVERT,1987-08-15,90,5,18
Causing A Commotion,MADONNA,1987-09-12,41,2,18
Let Me Be The One,EXPOSE,1987-08-15,77,7,22
Jump Start,NATALIE COLE,1987-07-25,87,13,18
One Heartbeat,SMOKEY ROBINSON,1987-07-18,86,10,19
I Think We're Alone Now,TIFFANY,1987-08-29,84,1,24
Little Lies,FLEETWOOD MAC,1987-08-29,66,4,21
Mony Mony,BILLY IDOL,1987-09-05,72,1,22
Breakout,SWING OUT SISTER,1987-08-15,92,6,23
You Are The Girl,THE CARS,1987-08-29,65,17,14
When Smokey Sings,ABC,1987-07-04,86,5,19
It's A Sin,PET SHOP BOYS,1987-09-05,70,9,19
In My Dreams,REO SPEEDWAGON,1987-07-18,82,19,30
I Just Can't Stop Loving You,MICHAEL JACKSON with SIEDAH GARRETT,1987-08-08,37,1,14
Where The Streets Have No Name,U2,1987-09-12,70,13,14
La Bamba,LOS LOBOS,1987-06-27,84,1,21
Wipeout,FAT BOYS,1987-07-11,72,12,19
Touch Of Grey,GRATEFUL DEAD,1987-07-25,77,9,15
Don't Make Me Wait For Love,KENNY G,1987-08-29,79,15,19
Something Real (Inside Me / Inside You),MR. MISTER,1987-08-22,73,29,11
Brilliant Disguise,BRUCE SPRINGSTEEN,1987-10-03,40,5,16
Can't We Try,DAN HILL &amp; VONDA SHEPARD,1987-06-06,91,6,24
Fake,ALEXANDER O'NEAL,1987-07-25,85,25,15
Victim Of Love,BRYAN ADAMS,1987-08-22,75,32,12
I've Been In Love Before,CUTTING CREW,1987-09-05,75,9,21
(I've Had) The Time Of My Life,BILL MEDLEY &amp; JENNIFER WARNES,1987-09-26,73,1,21
Holiday,THE OTHER ONES,1987-08-01,90,29,17
Only In My Dreams,DEBBIE GIBSON,1987-05-09,93,4,28
Doing It All For My Baby,HUEY LEWIS AND THE NEWS,1987-07-18,63,6,16
Notorious,LOVERBOY,1987-08-22,91,38,14
Heaven Is A Place On Earth,BELINDA CARLISLE,1987-09-26,72,1,21
Should've Known Better,RICHARD MARX,1987-09-26,64,3,21
I Won't Forget You,POISON,1987-09-05,87,13,21
The One I Love,R.E.M.,1987-09-19,84,9,20
Let's Work,MICK JAGGER,1987-09-12,75,39,9
Never Let Me Down,DAVID BOWIE,1987-08-08,75,27,11
I Need Love,LL COOL J,1987-08-01,52,14,13
Don't Look Down - The Sequel,GO WEST,1987-08-01,94,39,13
"Come On, Let's Go",LOS LOBOS,1987-09-12,92,21,14
Betcha Say That,GLORIA ESTEFAN &amp; MIAMI SOUND MACHINE,1987-09-05,92,36,11
No One In The World,ANITA BAKER,1987-08-22,95,44,17
Hourglass,SQUEEZE,1987-09-19,81,15,19
Silent Morning,NOEL,1987-08-22,82,47,22
Boys Night Out,TIMOTHY B. SCHMIT,1987-09-19,91,25,13
Dinner With Gershwin,DONNA SUMMER,1987-08-22,85,48,11
Rock Steady,THE WHISPERS,1987-06-06,84,7,23
Sugar Free,WA WA NEE,1987-09-12,91,35,13
Who Found Who,JELLYBEAN featuring ELISA FIORILLO,1987-07-11,73,16,15
That's What Love Is All About,MICHAEL BOLTON,1987-09-05,91,19,25
We'll Be Together,STING,1987-10-10,59,7,18
Misfit,CURIOSITY KILLED THE CAT,1987-08-01,93,42,13
Rock Me,GREAT WHITE,1987-08-22,96,60,14
Love Is Contagious,TAJA SEVELLE,1987-09-12,82,62,10
Don't Mean Nothing,RICHARD MARX,1987-06-13,78,3,21
Catch Me (I'm Falling),PRETTY POISON,1987-09-26,84,8,23
Love Will Find A Way,YES,1987-10-03,76,30,19
Beat Patrol,STARSHIP,1987-09-26,83,46,10
Who's That Girl,MADONNA,1987-07-11,43,1,16
Heart And Soul,T'PAU,1987-05-02,91,4,27
Waterfall,WENDY &amp; LISA,1987-09-19,80,56,10
Shake Your Love,DEBBIE GIBSON,1987-10-03,77,4,22
Don't You Want Me,JODY WATLEY,1987-10-03,80,6,23
One Lover At A Time,ATLANTIC STARR,1987-08-15,85,58,13
Satellite,HOOTERS,1987-10-03,78,61,8
Dude (Looks Like A Lady),AEROSMITH,1987-10-03,84,14,20
Follow You,GLEN BURTNICK,1987-09-26,91,65,8
You Win Again,BEE GEES,1987-09-19,82,75,6
Valerie,STEVE WINWOOD,1987-10-10,77,9,20
Making Love In The Rain,HERB ALPERT,1987-07-18,90,35,14
Love Is A House,FORCE M.D.'S,1987-08-29,97,78,9
Crazy Crazy Nights,KISS,1987-09-26,94,65,7
Don't Lose Any Sleep,JOHN WAITE,1987-09-26,85,81,4
I Want Your Sex,GEORGE MICHAEL,1987-06-06,51,2,20
Mary's Prayer,DANNY WILSON,1987-06-06,92,23,20
Animal,DEF LEPPARD,1987-10-10,84,19,19
(You're Puttin') A Rush On Me,STEPHANIE MILLS,1987-10-10,85,85,2
Oh Yeah,YELLO,1987-08-08,88,51,11
Heart And Soul,MONKEES,1987-09-26,89,87,4
Learning To Fly,PINK FLOYD,1987-10-10,88,70,8
I Don't Mind At All,BOURGEOIS TAGG,1987-10-10,89,38,17
Back In The High Life Again,STEVE WINWOOD,1987-05-30,85,13,21
Nothing's Gonna Stop Me Now,SAMANTHA FOX,1987-10-10,91,80,5
Tell It To My Heart,TAYLOR DAYNE,1987-10-10,92,7,25
Give To Live,SAMMY HAGAR,1987-06-20,69,23,17
Just Like Heaven,THE CURE,1987-10-10,94,40,19
Dreamin',WILL TO POWER,1987-06-27,89,50,16
I Don't Think That Man Should Sleep Alone,RAY PARKER JR.,1987-08-29,88,68,7
Happy Together,NYLONS,1987-08-29,92,75,7
Luka,SUZANNE VEGA,1987-06-06,93,3,19
It's Not Over (Til It's Over),STARSHIP,1987-06-27,67,9,16
Love Power,DIONNE WARWICK &amp; JEFFREY OSBORNE,1987-07-11,66,12,14
