Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Heartaches By The Number,GUY MITCHELL,1959-09-28,106,1,21
Mr. Blue,FLEETWOODS,1959-09-07,75,1,20
Mack The Knife,BOBBY DARIN,1959-08-17,114,1,27
In The Mood,EURGENE FIELDS,1959-08-31,104,4,22
Why,FRANKIE AVALON,1959-11-16,114,1,17
We Got Love,BOBBY RYDELL,1959-10-12,67,6,17
Don't You Know,DELLA REESE,1959-09-14,113,2,19
So Many Ways,BROOK BENTON,1959-10-12,114,6,17
It's Time To Cry,PAUL ANKA,1959-11-16,108,4,16
The Big Hurt,MISS TONI FISHER,1959-11-16,55,3,17
El Paso,MARTY ROBBINS,1959-11-09,88,1,22
Be My Guest,FATS DOMINO,1959-10-26,80,8,14
Way Down Yonder In New Orleans,FREDDY CANNON,1959-11-23,72,3,15
Oh Carol,NEIL SEDAKA,1959-10-05,106,9,19
Uh-Oh,NUTTY SQUIRRELS,1959-11-09,86,14,12
Hound Dog Man,FABIAN,1959-11-09,113,9,16
Misty,JOHNNY MATHIS,1959-09-21,105,12,19
Scarlet Ribbons,THE BROWNS,1959-11-02,89,13,14
Danny Boy,CONWAY TWITTY,1959-09-07,114,10,21
Pretty Blue Eyes,STEVE LAWRENCE,1959-11-23,80,9,18
Among My Souvenirs,CONNIE FRANCIS,1959-11-09,115,7,17
Always,SAMMY TURNER,1959-10-26,110,19,13
I Wanna Be Loved,RICKY NELSON,1959-11-23,107,20,12
Dance With Me,THE DRIFTERS,1959-10-12,97,15,15
Come Into My Heart,LLOYD PRICE,1959-10-26,88,20,14
Seven Little Girls (Sittin' In The Back Seat),PAUL EVANS &amp; THE CURLS,1959-09-07,109,9,19
The Friendly World,FABIAN,1959-11-16,109,12,14
Reveille Rock,JOHNNY AND THE HURRICANES,1959-11-02,95,25,13
Unforgettable,DINAH WASHINGTON,1959-09-28,111,17,14
Teardrop,SANTO &amp; JOHNNY,1959-11-23,111,23,12
Sandy,LARRY HALL,1959-10-19,112,15,20
First Name Initial,ANNETTE &amp; THE AFTERBEATS,1959-10-26,91,20,18
True Love True Love,THE DRIFTERS,1959-11-02,77,33,11
Marina,ROCCO GRANATA QUINTET,1959-11-09,80,31,11
Believe Me,ROYAL TEENS,1959-10-12,106,26,17
Put Your Head On My Shoulder,PAUL ANKA,1959-08-24,102,2,19
Just As Much As Ever,BOB BECKHAM,1959-09-21,86,32,16
Deck Of Cards,WINK MARTINDALE,1959-08-31,110,7,19
Primrose Lane,JERRY WALLACE with THE JEWELS,1959-08-17,86,8,21
I'm Movin' On,RAY CHARLES,1959-11-09,96,40,10
Running Bear,JOHNNY PRESTON,1959-11-23,86,1,22
Lonely Street,ANDY WILLIAMS,1959-08-31,111,5,17
You Got What It Takes,MARV JOHNSON,1959-11-02,94,10,22
Smooth Operator,SARAH VAUGHAN,1959-10-19,115,44,11
Woo-Hoo,ROCK-A-TEENS,1959-09-14,109,16,15
Marina,WILLY ALBERTI,1959-11-09,108,42,11
High School U.S.A.,TOMMY FACENDA,1959-10-12,112,28,14
Smokie,BILL BLACK'S COMBO,1959-11-23,110,17,13
Talk To Me,FRANK SINATRA,1959-10-12,115,38,12
You Were Mine,THE FIREFLIES,1959-08-24,101,21,18
I've Been Around,FATS DOMINO,1959-10-19,114,33,10
Love Potion No. 9,THE CLOVERS,1959-08-24,106,23,20
The Enchanted Sea,THE ISLANDERS,1959-09-21,110,15,14
Uh-Hu,NUTTY SQUIRRELS,1959-12-07,100,45,6
Mighty Good,RICKY NELSON,1959-11-16,115,38,11
Talk That Talk,JACKIE WILSON,1959-11-16,112,34,13
Midnight Stroll,THE REVELS,1959-10-05,109,35,12
If I Give My Heart To You,KITTY KALLEN,1959-09-28,110,34,16
I'll Walk The Line,DON COSTA ORCHESTRA,1959-10-19,105,59,10
God Bless America,CONNIE FRANCIS,1959-11-09,106,36,12
Living Doll,CLIFF RICHARD,1959-09-28,80,30,13
Teen Beat,SANDY NELSON,1959-08-31,109,4,17
The Clouds,THE SPACEMEN,1959-10-05,108,41,16
Goodnight My Love,RAY PETERSON,1959-11-09,114,64,7
A Year Ago Tonight,THE CRESTS,1959-11-30,106,42,11
Battle Hymn Of The Republic,THE MORMON TABERNACLE CHOIR,1959-08-31,102,13,17
What About Us,THE COASTERS,1959-12-07,77,47,10
Torquay,THE FIREBALLS,1959-09-28,87,39,13
Just To Be With You,THE PASSIONS,1959-10-19,95,69,9
The Village Of St. Bernadette,ANDY WILLIAMS,1959-12-07,114,7,14
Wont'cha Come Home,LLOYD PRICE,1959-11-09,100,43,7
Honestly & Truly,TOMMY EDWARDS,1959-11-02,98,65,8
Joey's Song,BILL HALEY &amp; THE COMETS,1959-09-07,113,46,16
Go Jimmy Go,JIMMY CLANTON,1959-12-07,98,5,16
The Best Of Everything,JOHNNY MATHIS,1959-11-09,107,62,6
The Enchanted Sea,MARTIN DENNY,1959-10-26,81,28,8
(New In) The Ways Of Love,TOMMY EDWARDS,1959-11-09,112,47,10
Beyond The Sunset,PAT BOONE,1959-11-23,109,71,6
Tiny Tim,LaVERN BAKER,1959-11-02,93,63,9
The Happy Reindeer,DANCER PRANCER &amp; NERVOUS,1959-12-07,83,34,6
Not One Minute More,DELLA REESE,1959-12-14,81,16,11
Symphony,SAMMY TURNER,1959-11-30,90,82,3
We Told You Not To Marry,TITUS TURNER,1959-11-16,107,83,7
One More Chance,ROD BERNARD,1959-11-09,93,74,9
Lucky Devil,CARL DOBKINS JNR.,1959-12-07,93,25,17
Teach Me Tiger,APRIL STEVENS,1959-11-30,99,86,3
Shadows,THE 5 SATINS,1959-11-09,109,87,6
How About That,DEE CLARK,1959-12-07,99,33,11
The Chipmunk Song,DAVID SEVILLE &amp; THE CHIPMUNKS,1959-12-14,89,41,5
Shimmy Shimmy Ko-Ko-Bop,LITTLE ANTHONY AND THE IMPERIALS,1959-11-30,112,24,17
Just Ask Your Heart,FRANKIE AVALON,1959-08-24,103,7,17
Do-Re-Mi,MITCH MILLER ORCHESTRA,1959-12-14,92,70,4
Ebb Tide,BOBBY FREEMAN,1959-11-16,111,93,5
Happy Anniversary,JANE MORGAN,1959-10-26,114,57,11
Starry Eyed,GARY STITES,1959-10-26,111,77,8
I Don't Know What It Is,BLUENOTES,1959-12-14,96,61,9
Candy Apple Red,BONNIE GUITAR,1959-11-23,108,97,5
Coocoo-U,THE KINGSTON TRIO,1959-11-23,113,98,4
The Little Drummer Boy,THE HARRY SIMEON CHORALE,1959-12-07,109,15,8
