Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Bent,MATCHBOX 20,2000-04-29,60,1,39
Everything You Want,VERTICAL HORIZON,2000-01-22,70,1,41
Try Again,AALIYAH,2000-03-18,59,1,32
It's Gonna Be Me,'N SYNC,2000-05-06,82,1,25
I Wanna Know,JOE,2000-01-01,94,4,44
Absolutely,NINE DAYS,2000-05-06,85,6,27
Higher,CREED,2000-03-25,43,7,37
There You Go,PINK,2000-03-04,25,7,32
The Real Slim Shady,EMINEM,2000-05-06,70,4,19
I Turn To You,CHRISTINA AGUILERA,2000-04-15,50,3,22
Be With You,ENRIQUE IGLESIAS,2000-04-01,63,1,20
He Wasn't Man Enough,TONI BRAXTON,2000-03-18,63,2,37
"Jumpin', Jumpin'",DESTINY'S CHILD,2000-05-13,74,3,32
Breathe,FAITH HILL,1999-12-04,42,2,49
Let's Get Married,JAGGED EDGE,2000-05-06,77,11,24
You Sang To Me,MARC ANTHONY,2000-02-26,77,2,32
No More,RUFF ENDZ,2000-07-01,76,5,26
Back Here,BB MAK,2000-04-29,99,13,31
Desert Rose,STING featuring CHEB MAMI,2000-05-13,98,17,26
Big Pimpin',JAY-Z featuring UGK,2000-04-22,69,18,20
I Try,MACY GRAY,2000-02-19,68,5,27
Doesn't Really Matter,JANET JACKSON,2000-06-17,59,1,24
(Hot S**t) Country Grammar,NELLY,2000-04-29,100,7,34
Oops! ... I Did It Again,BRITNEY SPEARS,2000-04-22,67,9,20
Wifey,NEXT,2000-05-27,85,7,21
The Next Episode,DR. DRE featuring SNOOP DOGG,2000-05-27,78,23,20
Separated,AVANT,2000-04-29,62,23,20
Kryptonite,3 DOORS DOWN,2000-04-08,81,3,53
I Think I'm In Love With You,JESSICA SIMPSON,2000-07-01,63,21,16
Swear It Again,WESTLIFE,2000-04-01,96,20,20
Thong Song,SISQO,2000-01-29,74,3,28
Purest Of Pain (A Puro Dolor),SON BY FOUR,2000-04-08,80,26,26
What'Chu Like,DA BRAT featuring TYRESE,2000-06-03,71,26,20
Where I Wanna Be,DONELL JONES,2000-04-22,81,29,20
I Hope You Dance,LEE ANN WOMACK with SONS OF THE DESERT,2000-05-13,83,32,20
Maria Maria,SANTANA featuring THE PRODUCT G&amp;B,2000-02-12,15,1,26
Amazed,LONESTAR,1999-12-25,45,1,35
Simple Kind Of Life,NO DOUBT,2000-07-01,50,38,13
Yes!,CHAD BROCK,2000-04-08,90,22,20
Dance Tonight,LUCY PEARL,2000-05-20,80,36,19
Smooth,SANTANA featuring ROB THOMAS,1999-07-31,78,1,58
I Wanna Be With You,MANDY MOORE,2000-06-17,69,24,17
Say My Name,DESTINY'S CHILD,1999-12-25,83,1,32
I Wish,CARL THOMAS,2000-03-25,75,20,20
I Will Love Again,LARA FABIAN,2000-06-10,91,32,17
Prayin' For Daylight,RASCAL FLATTS,2000-05-06,87,38,20
What About Now,LONESTAR,2000-06-10,78,30,20
Broadway,GOO GOO DOLLS,2000-04-22,74,24,20
Crash And Burn,SAVAGE GARDEN,2000-04-08,75,24,20
That's The Way,JO DEE MESSINA,2000-06-24,78,25,20
I Need You,LeANN RIMES,2000-05-27,77,11,25
I'll Be,REBA McENTIRE,2000-05-13,89,51,20
Wonderful,EVERCLEAR,2000-07-08,77,11,21
Whatever,IDEAL featuring LIL' MO,2000-06-10,75,47,18
The One,BACKSTREET BOYS,2000-05-27,58,30,15
One Voice,BILLY GILMAN,2000-06-17,86,38,19
It Must Be Love,ALAN JACKSON,2000-06-24,76,37,20
Some Things Never Change,TIM McGRAW,2000-05-13,76,58,14
Could I Have This Kiss Forever,ENRIQUE IGLESIAS &amp; WHITNEY HOUSTON,2000-06-17,74,52,18
Flowers On The Wall,ERIC HEATHERLEY,2000-04-29,95,50,20
Incomplete,SISQO,2000-06-24,77,1,26
Unconditional,CLAY DAVIDSON,2000-03-25,97,49,20
Better Off Alone,ALICE DEEJAY,2000-04-08,79,27,20
The Way You Love Me,FAITH HILL,2000-03-11,80,35,20
I Think God Can Explain,SPLENDER,2000-06-10,71,62,12
Taking You Home,DON HENLEY,2000-06-24,79,58,20
Change Your Mind,SISTER HAZEL,2000-07-15,75,59,20
Cold Day In July,DIXIE CHICKS,2000-06-24,80,65,10
As We Lay,KELLY PRICE,2000-07-15,82,64,8
With Arms Open Wide,CREED,2000-05-13,84,1,47
The Chain Of Love,CLAY WALKER,2000-05-20,48,40,15
No Matter What They Say,LIL' KIM,2000-07-15,80,60,10
Couldn't Last A Moment,COLLIN RAYE,2000-03-18,91,43,20
I Will ... But,SHEDAISY,2000-07-15,78,43,20
Same Script Different Cast,WHITNEY HOUSTON &amp; DEBORAH COX,2000-06-17,71,70,9
Shackles (Praise You),MARY MARY,2000-03-25,90,28,20
Crybaby,MARIAH CAREY featuring SNOOP DOGG,2000-06-24,28,28,7
Wobble Wobble,504 BOYZ,2000-04-15,57,17,18
Sour Girl,STONE TEMPLE PILOTS,2000-07-08,79,78,13
You're Everything,KEITH URBAN,2000-07-15,81,51,16
Faded,SOULDECISION featuring THRUST,2000-07-08,94,22,24
You'll Always Be Loved By Me,BROOKS &amp; DUNN,2000-06-10,95,55,19
I Disappear,METALLICA,2000-05-13,86,76,20
When You Need My Love,DARRYL WORLEY,2000-06-10,98,75,15
She's More,ANDY GRIGGS,2000-03-11,81,37,20
Best Of Me,MYA featuring JADAKISS,2000-04-15,85,50,17
What You Want,DMX,2000-07-01,98,49,20
Got It All,EVE &amp; JADAKISS,2000-07-15,89,88,5
Take That,TORREY CARTER,2000-06-24,94,86,7
Mirror Mirror,M2M,2000-04-01,87,62,18
Buy Me A Rose,KENNY ROGERS / ALISON KRAUSS / BILLY DEAN,2000-03-11,79,40,20
Shut Up,TRICK DADDY,2000-05-20,99,83,11
Don't Call Me Baby,MADISON AVENUE,2000-07-08,98,88,20
Someday Out Of The Blue,ELTON JOHN,2000-04-22,56,49,15
What I Need To Do,KENNY CHESNEY,2000-04-01,79,56,17
Dancing Queen,A*TEENS,2000-07-08,97,95,5
3 Little Words,NU FLAVOUR,2000-06-03,97,89,9
It's So Hard,BIG PUNISHER,2000-04-22,96,75,15
Who Let The Dogs Out,BAHA MEN,2000-07-22,99,40,20
Carlene,PHIL VASSER,2000-07-22,100,100,1
