Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Amanda,BOSTON,1986-09-27,51,1,18
I Didn't Mean To Turn You On,ROBERT PALMER,1986-08-16,79,2,22
True Colors,CYNDI LAUPER,1986-08-30,63,1,20
Human,HUMAN LEAGUE,1986-09-13,71,1,20
True Blue,MADONNA,1986-10-04,40,3,16
Take Me Home Tonight,EDDIE MONEY,1986-08-16,92,4,23
You Give Love A Bad Name,BON JOVI,1986-09-06,93,1,24
Typical Male,TINA TURNER,1986-08-30,49,2,16
Word Up,CAMEO,1986-09-13,81,6,21
The Rain,"ORAN ""JUICE"" JONES",1986-09-13,94,9,19
Sweet Love,ANITA BAKER,1986-08-16,74,8,22
The Next Time I Fall,PETER CETERA &amp; AMY GRANT,1986-09-20,74,1,21
I'll Be Over You,TOTO,1986-08-30,87,11,23
Love Will Conquer All,LIONEL RICHIE,1986-10-04,56,9,18
Hip To Be Square,HUEY LEWIS AND THE NEWS,1986-10-18,42,3,16
Emotion In Motion,RIC OCASEK,1986-09-06,87,15,19
All Cried Out,LISA LISA AND CULT JAM,1986-07-26,90,8,26
The Way It Is,BRUCE HORNSBY AND THE RANGE,1986-09-20,86,1,22
When I Think Of You,JANET JACKSON,1986-08-09,60,1,19
I Am By Your Side,COREY HART,1986-09-20,66,18,13
Jumpin' Jack Flash,ARETHA FRANKLIN,1986-09-27,61,21,11
To Be A Lover,BILLY IDOL,1986-10-04,69,6,18
Everybody Have Fun Tonight,WANG CHUNG,1986-10-04,82,2,21
Girl Can't Help It,JOURNEY,1986-08-30,79,17,14
Walk Like An Egyptian,BANGLES,1986-09-27,82,1,23
Freedom Overspill,STEVE WINWOOD,1986-09-27,81,20,15
Somebody's Out There,TRIUMPH,1986-08-30,91,27,15
Heartbeat,DON JOHNSON,1986-08-23,67,5,15
Throwing It All Away,GENESIS,1986-08-16,54,4,16
A Matter Of Trust,BILLY JOEL,1986-08-09,71,10,18
Stand By Me,BEN E. KING,1986-10-04,95,9,21
Two Of Hearts,STACEY Q,1986-07-12,89,3,22
What About Love,TIL TUESDAY,1986-09-20,84,26,14
(Forever) Live And Die,ORCHESTRAL MANOEUVRES IN THE DARK,1986-09-27,87,19,17
Don't Forget Me (When I'm Gone),GLASS TIGER,1986-07-12,86,2,24
In Your Eyes,PETER GABRIEL,1986-08-30,86,26,14
Don't Get Me Wrong,PRETENDERS,1986-10-11,88,10,18
Wild Wild Life,TALKING HEADS,1986-09-06,90,25,21
You Know I Love You... Don't You?,HOWARD JONES,1986-10-18,69,17,16
Shake You Down,GREGORY ABBOTT,1986-10-18,76,1,22
Can't Wait Another Minute,FIVE STAR,1986-09-13,89,41,14
C'est La Vie,ROBBIE NEVIL,1986-10-11,93,2,23
Notorious,DURAN DURAN,1986-11-01,56,2,17
Is This Love,SURVIVOR,1986-10-25,74,9,19
Foolish Pride,DARYL HALL,1986-10-18,75,33,13
Midas Touch,MIDNIGHT STAR,1986-09-20,88,42,14
Lady Soul,TEMPTATIONS,1986-10-11,80,47,11
Welcome To The Boomtown,DAVID &amp; DAVID,1986-10-04,94,37,16
Land Of Confusion,GENESIS,1986-11-01,64,4,21
Where Did Your Heart Go?,WHAM!,1986-10-11,75,50,8
Friends & Lovers,GLORIA LORING &amp; CARL ANDERSON,1986-07-05,77,2,21
Stuck With You,HUEY LEWIS AND THE NEWS,1986-08-02,42,1,19
Heaven In Your Eyes,LOVERBOY,1986-08-02,72,12,17
Jody,JERMAINE STEWART,1986-09-20,80,42,9
Love Is Forever,BILLY OCEAN,1986-10-25,77,16,16
Don't Stand So Close To Me,THE POLICE,1986-10-18,99,46,10
Control,JANET JACKSON,1986-11-01,73,5,18
Heartache All Over The World,ELTON JOHN,1986-10-18,80,55,8
"The Future's So Bright, I Gotta Wear Shades",TIMBUK 3,1986-10-25,85,19,16
Nail It To The Wall,STACY LATTISAW,1986-10-18,90,48,13
You Be Illin',RUN DMC,1986-10-25,86,29,18
Victory,KOOL AND THE GANG,1986-11-01,72,10,18
For Tonight,NANCY MARTINEZ,1986-10-04,98,32,21
Someday,GLASS TIGER,1986-11-01,82,7,21
Point Of No Return,NU SHOOZ,1986-07-05,97,28,22
California Dreamin',BEACH BOYS,1986-09-20,93,57,10
Goldmine,POINTER SISTERS,1986-11-01,84,33,13
All I Wanted,KANSAS,1986-11-01,81,19,18
Earth Angel,NEW EDITION,1986-08-23,71,21,14
Words Get In The Way,MIAMI SOUND MACHINE,1986-06-14,88,5,24
Love Walks In,VAN HALEN,1986-08-09,67,22,15
Everytime You Cry,OUTFIELD,1986-09-20,85,66,10
More Than Physical,BANANARAMA,1986-10-18,98,73,5
Crazay,JESSE JOHNSON featuring SLY STONE,1986-10-25,78,53,16
Twist And Shout,BEATLES,1986-08-09,89,23,15
Falling In Love,MIAMI SOUND MACHINE,1986-11-01,94,25,16
When The Rain Comes Down,ANDY TAYLOR,1986-10-25,94,73,6
Coming Around Again,CARLY SIMON,1986-11-01,97,18,17
Daydream Believer,MONKEES,1986-11-01,90,79,4
Touch Me (I Want Your Body),SAMANTHA FOX,1986-11-01,93,4,23
Talk To Me,CHICO DeBARGE,1986-11-08,81,21,20
Take My Breath Away,BERLIN,1986-06-21,96,1,21
Dancing On The Ceiling,LIONEL RICHIE,1986-07-19,40,2,17
Tasty Love,FREDDIE JACKSON,1986-11-08,84,41,12
This Love,BAD COMPANY,1986-10-18,94,85,5
Stay The Night,BENJAMIN ORR,1986-11-08,86,24,20
Like Flames,BERLIN,1986-10-25,93,82,5
Goin' To The Bank,COMMODORES,1986-11-01,98,65,12
Walk This Way,RUN DMC,1986-07-26,73,4,16
I'm For Real,HOWARD HEWETT,1986-11-08,90,90,3
Dreamtime,DARYL HALL,1986-08-02,54,5,15
Missionary Man,EURYTHMICS,1986-07-26,81,14,16
25 Or 6 To 4,CHICAGO,1986-09-06,81,48,11
Love In Siberia,LABAN,1986-11-08,94,88,4
Nobody's Fool,CINDERELLA,1986-11-08,95,13,21
At This Moment,BILLY VERA &amp; THE BEATERS,1986-11-08,96,1,21
Goin' Crazy!,DAVID LEE ROTH,1986-09-27,85,66,7
You Can Call Me Al,PAUL SIMON,1986-08-09,83,44,14
Higher Love,STEVE WINWOOD,1986-06-14,77,1,22
Love Zone,BILLY OCEAN,1986-07-26,65,10,16
