Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,Song_release_date,Genres
Apache,JORGE INGMANN,61,94,2,17,0,607661,0.7340000000000001,0.504,0.0,-14.28,1.0,0.0408,0.13699999999999998,0.846,0.28300000000000003,0.963,111.025,169320.0,4.0,0,0,0,0,0,0,
Runaway,JEFFERSON STARSHIP,78,79,12,16,41,3866731,0.34600000000000003,0.469,5.0,-14.022,1.0,0.0403,0.301,0.00485,0.215,0.672,174.13299999999995,321907.0,4.0,0,0,0,0,0,May-78,
On The Rebound,FLOYD CRAMER,61,51,4,13,26,427094,0.535,0.6829999999999999,9.0,-11.677,1.0,0.0334,0.371,0.0133,0.205,0.912,150.74200000000005,126107.0,4.0,0,0,0,0,7,1961,
But I Do,CLARENCE (FROGMAN) HENRY,61,90,4,16,34,267988,0.66,0.555,10.0,-5.329,1.0,0.0278,0.581,0.0,0.13,0.856,109.847,141200.0,4.0,0,0,0,0,0,1969,
Surrender,CHEAP TRICK,78,84,62,8,69,6039172,0.524,0.955,0.0,-7.081,1.0,0.0411,0.00717,8.77e-06,0.659,0.8690000000000001,133.849,253733.0,4.0,8,0,0,0,0,Jun-78,
Don't Worry,MARTY ROBBINS,61,110,3,16,31,1720790,0.648,0.165,4.0,-16.445999999999998,1.0,0.0348,0.879,0.000216,0.13,0.435,99.585,194160.0,4.0,0,0,0,2,4,6-Feb-61,
Mother-In-Law,ERNIE K-DOE,61,55,1,14,28,323354,0.747,0.631,7.0,-8.306000000000001,0.0,0.0409,0.713,0.00024,0.303,0.753,127.416,153600.0,4.0,0,0,0,0,1,1961,
Walk Right Back,EVERLY BROTHERS,61,71,7,13,47,606424,0.624,0.358,1.0,-13.199000000000002,1.0,0.0342,0.752,0.0,0.0593,0.871,135.797,139640.0,4.0,0,0,1,0,4,1961,
Pony Time,CHUBBY CHECKER,61,49,1,16,28,788783,0.456,0.635,8.0,-4.5939999999999985,1.0,0.0284,0.00928,4.44e-06,0.128,0.897,77.35300000000002,144589.0,4.0,0,0,0,1,1,Jan-61,
Asia Minor,KOKOMO,61,75,8,14,15,141727,0.459,0.534,2.0,-11.925999999999998,0.0,0.0305,0.665,0.825,0.18,0.931,202.954,118133.0,4.0,0,0,0,0,0,1961,
Take Good Care Of Her,MEL CARTER,66,99,78,5,9,5244,0.348,0.29,4.0,-11.089,1.0,0.0333,0.867,0.0,0.31,0.366,103.697,166907.0,4.0,0,0,0,0,1,1961,
Please Love Me Forever,BOBBY VINTON,67,102,6,14,41,1501076,0.455,0.265,6.0,-11.402,0.0,0.029,0.615,1.02e-05,0.237,0.278,76.005,157533.0,4.0,0,0,0,0,1,,
Think Twice,CELINE DION,94,96,95,5,52,14886557,0.547,0.397,2.0,-10.463,0.0,0.0271,0.387,0.0,0.14,0.277,134.346,288000.0,4.0,0,0,0,5,16,18ÃÃÃ¥Ã¢ÃÃ¢Ã¥ÃJulyÃÃÃ¥Ã¢ÃÃ¢Ã¥Ã1994,
Gee Whiz,THE INNOCENTS,60,113,28,13,4,18128,0.645,0.131,4.0,-13.981,1.0,0.03,0.821,0.0,0.106,0.473,94.823,149227.0,4.0,0,0,0,0,0,1961-1962,
Baby Blue,ECHOES,61,65,12,12,10,416443,0.5,0.373,7.0,-13.548,1.0,0.0275,0.779,0.0,0.0667,0.727,132.368,156813.0,4.0,0,0,0,0,0,22-Mar-65,
You Can Depend On Me,BRENDA LEE,61,62,6,12,14,79282,0.5489999999999999,0.0858,11.0,-16.893,1.0,0.0285,0.873,5.59e-05,0.118,0.251,91.94,212173.0,3.0,0,0,1,0,4,27-Sep-59,
Wheels,FOO FIGHTERS,9,73,72,10,60,6547631,0.426,0.792,9.0,-4.709,1.0,0.0374,0.000495,5.0999999999999995e-06,0.142,0.557,161.994,278213.0,4.0,0,0,0,10,25,29-Sep-09,
Please Tell Me Why,JACKIE WILSON,61,77,20,8,25,39358,0.472,0.397,10.0,-5.409,1.0,0.0362,0.804,0.0,0.301,0.672,106.082,122000.0,3.0,0,0,0,0,2,1956-1975,
I've Told Every Little Star,LINDA SCOTT,61,86,3,14,0,1344626,0.49,0.498,9.0,-11.307,1.0,0.0417,0.0245,0.00492,0.107,0.603,181.495,169227.0,4.0,0,0,0,0,0,April,
Portrait Of My Love,STEVE LAWRENCE,61,107,9,17,16,593945,0.34700000000000003,0.237,0.0,-13.438,1.0,0.0295,0.97,0.00918,0.142,0.254,88.885,173490.0,4.0,0,0,0,1,2,,
Where The Boys Are,CONNIE FRANCIS,61,90,4,15,36,944902,0.342,0.332,7.0,-7.3679999999999986,1.0,0.0293,0.809,0.0,0.335,0.396,108.918,159933.0,3.0,0,0,0,0,0,Jan-61,
Once Upon A Time,MARVIN GAYE &amp; MARY WELLS,64,73,19,9,39,109476,0.7020000000000001,0.439,8.0,-11.185,1.0,0.0265,0.47,1.16e-06,0.332,0.745,108.521,153347.0,4.0,0,0,1,2,12,0,
Model Girl,JOHNNY MAESTRO,61,90,20,12,6,27305,0.7020000000000001,0.512,10.0,-11.291,1.0,0.0361,0.777,0.0,0.202,0.963,126.541,149067.0,4.0,0,0,0,0,1,1986ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã1987,
Tonight My Love Tonight,PAUL ANKA,61,56,13,11,31,921214,0.545,0.66,4.0,-7.872000000000001,1.0,0.0304,0.657,0.0,0.634,0.884,125.069,128067.0,4.0,0,0,0,0,0,1986,
Hide Away,DAYA,15,97,97,1,67,38026766,0.885,0.8009999999999999,11.0,-4.716,0.0,0.0882,0.225,1.65e-06,0.0733,0.466,95.011,192376.0,4.0,0,0,0,1,1,"AprilÃÃÃ¥Ã¢ÃÃ¢Ã¥Ã22,ÃÃÃ¥Ã¢ÃÃ¢Ã¥Ã2015",
Find Another Girl,JERRY BUTLER,61,74,27,10,11,306887,0.701,0.433,6.0,-12.626,0.0,0.0736,0.938,0.00109,0.14400000000000002,0.8009999999999999,126.96,167093.0,4.0,0,0,0,0,2,1999,
Ebony Eyes,BOB WELCH,78,88,14,17,41,4367742,0.698,0.6759999999999999,11.0,-11.717,1.0,0.0277,0.0101,2.57e-05,0.112,0.961,116.486,212760.0,4.0,0,0,0,0,6,January,
Trust In Me,ETTA JAMES,61,78,30,9,45,1389699,0.491,0.35700000000000004,10.0,-7.377999999999999,0.0,0.0325,0.841,0.0,0.128,0.584,96.235,181227.0,3.0,0,0,1,3,17,January ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã October 1960,
Fell In Love On Monday,FATS DOMINO,61,84,32,6,19,1018,0.59,0.551,5.0,-6.893,1.0,0.0253,0.109,0.0,0.129,0.8740000000000001,110.082,115947.0,3.0,0,0,1,0,0,0,
Happy Birthday Blues,KATHY YOUNG &amp; THE INNOCENTS,61,114,30,12,4,63248,0.41,0.281,0.0,-7.172999999999999,1.0,0.0325,0.936,3.17e-06,0.113,0.235,177.78599999999997,181573.0,3.0,0,0,0,0,0,0,
Tenderly,BERT KAEMPFERT,61,87,31,7,8,101053,0.403,0.393,3.0,-9.815,1.0,0.0277,0.316,0.69,0.275,0.369,103.113,192453.0,3.0,0,0,0,0,1,28-Sep-56,
Some Kind Of Wonderful,SOUL BROTHER SIX,67,129,129,2,13,197224,0.83,0.722,1.0,-4.845,1.0,0.0985,0.223,0.0,0.0974,0.679,125.819,157667.0,4.0,0,0,0,0,0,May-67,
Daddy's Home,SHEP &amp; THE LIMELITES,61,88,2,14,43,576026,0.493,0.123,5.0,-13.875,1.0,0.0366,0.939,8.58e-06,0.146,0.273,144.64,174200.0,3.0,0,0,0,0,0,,
That's It - I Quit - I'm Movin',SAM COOKE,61,66,31,8,43,345397,0.6459999999999999,0.57,10.0,-7.101,1.0,0.121,0.753,0.0,0.121,0.925,120.1,151133.0,4.0,0,0,1,0,6,14-Feb-61,
Bewildered,JAMES BROWN,61,103,40,10,20,140736,0.468,0.4,5.0,-9.843,1.0,0.0322,0.461,0.0,0.112,0.43,104.929,146933.0,1.0,0,0,1,0,4,FebruaryÃÃÃ¥Ã¢ÃÃ¢Ã¥Ã1961,
Just For Old Time's Sake,McGUIRE SISTERS,61,89,20,14,4,21848,0.454,0.353,11.0,-9.763,1.0,0.0294,0.913,0.0,0.616,0.34700000000000003,124.759,169333.0,4.0,0,0,0,0,0,0,
Shu Rah,FATS DOMINO,61,97,32,7,20,36730,0.693,0.607,0.0,-6.577000000000001,1.0,0.0299,0.00394,0.862,0.0836,0.875,113.108,105933.0,4.0,0,0,1,0,0,0,
One Eyed Jacks,FERRANTE &amp; TEICHER,61,75,37,7,23,7127,0.358,0.294,7.0,-14.009,0.0,0.0295,0.85,0.87,0.246,0.239,94.612,183307.0,4.0,0,0,0,0,0,,
Spanish Harlem,ARETHA FRANKLIN,71,69,2,12,44,372583,0.688,0.8079999999999999,2.0,-8.207,1.0,0.0552,0.124,0.00158,0.126,0.883,115.801,211000.0,4.0,0,0,1,18,44,December,
Bye Bye Baby,BIG BROTHER AND THE HOLDING COMPANY,67,122,121,2,31,32806,0.616,0.3670000000000001,0.0,-12.656,1.0,0.0362,0.21600000000000005,0.123,0.0848,0.636,106.332,157160.0,1.0,0,0,0,0,0,1962-1970,
Theme From Dixie,DUANE EDDY,61,93,39,7,3,164387,0.654,0.7070000000000001,4.0,-9.314,1.0,0.0255,0.275,0.923,0.13,0.977,106.257,148733.0,4.0,0,0,0,1,2,,
Tonight I Fell In Love,TOKENS,61,93,15,14,13,618417,0.308,0.7090000000000001,5.0,-9.29,1.0,0.0501,0.764,0.000192,0.112,0.578,136.517,102284.0,4.0,0,0,0,0,1,0,
Like Long Hair,PAUL REVERE AND THE RAIDERS,61,119,38,7,3,27160,0.36,0.939,0.0,-10.377,1.0,0.0365,0.8,0.841,0.0841,0.7,85.48299999999998,115360.0,4.0,0,0,0,0,0,31-Aug-83,
Brass Buttons,STRING-A-LONGS,61,80,35,7,4,364,0.713,0.355,11.0,-14.35,1.0,0.0745,0.789,0.721,0.104,0.932,133.416,124760.0,4.0,0,0,0,0,0,1960,
To Be Loved,PENTAGONS,61,84,48,10,29,407749,0.512,0.38,5.0,-8.275,1.0,0.0248,0.8220000000000001,0.0,0.0978,0.6,68.04899999999999,149160.0,4.0,0,0,0,0,0,0,
The Second Time Around,FRANK SINATRA,61,86,50,7,25,155767,0.246,0.209,0.0,-12.083,1.0,0.0319,0.907,0.0,0.135,0.152,86.12,180467.0,3.0,1,0,1,9,31,"October 1, 3, 8, 1957,",
Funny,JOE HINTON,64,84,13,12,4,70258,0.417,0.406,10.0,-9.005,1.0,0.0303,0.132,0.0,0.165,0.0978,102.458,186107.0,3.0,0,0,0,0,7,Jul-61,
I'm In The Mood For Love,CHIMES,61,92,38,9,5,151212,0.292,0.64,1.0,-8.033,1.0,0.0308,0.773,0.000202,0.197,0.815,203.99400000000003,149293.0,3.0,0,0,0,0,0,1935 by,
Ain't It Baby,MIRACLES,61,85,49,6,8,8246,0.535,0.812,2.0,-7.602,1.0,0.0549,0.7809999999999999,0.0,0.193,0.871,132.232,155240.0,4.0,0,0,0,0,0,,
Lazy River,BOBBY DARIN,61,94,14,10,31,210296,0.481,0.634,8.0,-1.91,1.0,0.037000000000000005,0.6609999999999999,0.0,0.0799,0.5479999999999999,133.569,152320.0,4.0,0,0,1,2,5,1966ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã1973,
Bumble Boogie,B. BUMBLE AND THE STINGERS,61,104,21,11,6,341346,0.541,0.754,4.0,-11.9,1.0,0.0456,0.716,0.903,0.0931,0.802,171.188,134827.0,4.0,0,0,0,0,0,1962,
Baby Sittin' Boogie,BUZZ CLIFFORD,61,96,6,14,4,73973,0.476,0.679,1.0,-7.001,1.0,0.107,0.8009999999999999,0.0,0.257,0.812,139.291,124653.0,4.0,0,0,0,0,0,,
The Continental Walk,HANK BALLARD,61,73,33,8,16,8072,0.722,0.454,1.0,-10.849,1.0,0.0527,0.633,1.47e-05,0.174,0.82,111.292,222733.0,3.0,0,0,0,0,1,2005ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã2006,
Your One And Only Love,JACKIE WILSON,61,100,40,6,3,22711,0.34,0.369,10.0,-9.975,1.0,0.0301,0.8370000000000001,1.01e-06,0.136,0.469,109.959,165867.0,1.0,0,0,0,0,2,August 1967 (original version),
Merry-Go-Round,MARV JOHNSON,61,107,61,7,3,34838,0.645,0.421,9.0,-9.28,0.0,0.0273,0.8420000000000001,3.59e-05,0.0923,0.911,99.448,156280.0,3.0,0,0,0,0,0,0,
Frogg,BROTHERS FOUR,61,118,32,6,18,65910,0.534,0.298,1.0,-16.544,1.0,0.123,0.8059999999999999,1.94e-06,0.116,0.726,177.467,161533.0,4.0,0,0,0,0,3,0,
Sleepy Eyed John,JOHNNY HORTON,61,89,54,7,31,142556,0.653,0.578,0.0,-13.647,1.0,0.0974,0.52,0.0,0.0711,0.866,103.166,159307.0,4.0,0,0,0,0,1,"August 22,",
The Very Thought Of You,RICK NELSON,64,107,26,8,0,2412,0.4970000000000001,0.0753,5.0,-17.66,0.0,0.0357,0.967,0.856,0.104,0.444,73.92399999999998,235400.0,4.0,0,0,0,1,1,1972,
Ling-Ting-Tong,BUDDY KNOX,61,97,65,7,11,53740,0.6990000000000001,0.459,9.0,-12.138,1.0,0.0317,0.531,0.0,0.157,0.936,134.814,145573.0,4.0,0,0,0,0,0,0,
Foolin' Around,CHANGING FACES,94,96,38,20,38,3621653,0.591,0.574,5.0,-8.276,0.0,0.0269,0.228,1.4300000000000004e-05,0.0794,0.229,131.495,268160.0,4.0,0,0,0,0,0,29-Nov-94,
The Watusi,VIBRATIONS,61,107,25,9,9,57759,0.633,0.682,1.0,-6.14,1.0,0.0321,0.466,9.19e-05,0.561,0.831,129.804,154027.0,4.0,0,0,0,0,0,0,
Welcome Home,WALTER JACKSON,65,134,95,8,9,71073,0.452,0.378,4.0,-11.406,1.0,0.0303,0.759,0.0,0.115,0.585,125.347,162440.0,4.0,0,0,0,0,0,0,
Trees,THE PLATTERS,61,114,62,6,7,18931,0.335,0.226,3.0,-12.422,1.0,0.0335,0.899,1.59e-06,0.0901,0.272,126.328,148827.0,4.0,0,0,0,0,0,0,
Running Scared,ROY ORBISON,61,71,1,17,49,111717,0.5720000000000001,0.392,9.0,-10.555,1.0,0.0325,0.778,0.000435,0.15,0.381,128.255,132040.0,3.0,0,0,1,5,9,Mar-61,
Seventeen,WINGER,89,78,26,16,52,7179592,0.5770000000000001,0.6759999999999999,8.0,-11.931,1.0,0.0295,0.000895,2.29e-06,0.0625,0.6759999999999999,95.98,245267.0,4.0,0,0,0,0,0,Nov-88,
Exodus,BOB MARLEY AND THE WAILERS,77,103,103,5,51,2454572,0.8690000000000001,0.735,7.0,-8.501,1.0,0.0552,0.0296,0.00339,0.163,0.944,132.821,460227.0,4.0,0,0,1,0,6,,
When I Fall In Love,CELINE DION &amp; CLIVE GRIFFIN,93,80,23,20,39,220881,0.19,0.241,8.0,-13.251,1.0,0.0322,0.5770000000000001,0.0,0.0952,0.107,68.35300000000001,260827.0,4.0,1,0,0,5,16,0,
Little Pedro,THE OLYMPICS,61,102,76,6,0,987,0.63,0.741,0.0,-8.361,1.0,0.0884,0.481,0.0,0.184,0.852,81.03,142373.0,4.0,0,0,0,0,0,0,
The Blizzard,JIM REEVES,61,107,62,5,31,1442116,0.624,0.202,0.0,-18.466,1.0,0.0412,0.841,0.00349,0.106,0.481,126.72,202493.0,4.0,0,0,0,0,10,0,
What'd I Say,RAY CHARLES,59,113,6,16,58,2857509,0.54,0.6809999999999999,4.0,-5.44,1.0,0.0508,0.8079999999999999,0.0,0.162,0.794,88.385,307053.0,4.0,0,0,1,17,37,Jul-59,
Glory Of Love,DON GARDNER &amp; DEE DEE FORD,62,99,75,7,0,18802,0.743,0.271,1.0,-10.84,1.0,0.0383,0.908,4.47e-05,0.121,0.428,107.951,197040.0,4.0,0,0,0,0,0,0,
Triangle,JANIE GRANT,61,96,29,13,10,64483,0.674,0.59,0.0,-8.735,1.0,0.0445,0.306,2.04e-06,0.0884,0.843,121.33,145093.0,4.0,0,0,0,0,0,0,
Bonanza,JOHNNY CASH,62,94,94,2,31,694595,0.5479999999999999,0.4920000000000001,3.0,-10.72,1.0,0.0287,0.898,0.0393,0.152,0.802,102.62,140307.0,4.0,0,0,1,0,1,"July 24, 1958 - March 25, 1963",
Underwater,FROGMEN,61,93,44,8,13,13519,0.491,0.909,0.0,-5.21,1.0,0.0406,0.654,0.942,0.0802,0.923,143.415,125920.0,4.0,0,0,0,0,0,0,
I'll Just Have A Cup Of Coffee (Then I'll Go),CLAUDE GRAY,61,119,84,6,1,81395,0.6920000000000001,0.366,10.0,-16.514,1.0,0.0343,0.759,0.0925,0.364,0.7,113.011,131987.0,4.0,0,0,0,0,0,0,
Come Along,MAURICE WILLIAMS &amp; THE ZODIACS,61,87,83,2,13,1099,0.5429999999999999,0.662,10.0,-8.164,1.0,0.0572,0.7440000000000001,0.0,0.233,0.7290000000000001,121.901,102653.0,4.0,0,0,0,0,0,,
La Pachanga,AUDREY ARNO &amp; THE HAZY OSTERWALD SEXTET,61,114,87,3,0,2086,0.448,0.866,2.0,-5.3870000000000005,1.0,0.236,0.5539999999999999,0.0,0.482,0.866,124.123,155016.0,4.0,0,0,0,0,0,,
Lullaby Of Love,FRANK GARI,61,89,23,12,0,2211,0.335,0.0329,9.0,-23.597,0.0,0.0399,0.98,0.22,0.108,0.136,123.396,255773.0,4.0,0,0,0,0,0,0,
Mr. Pride,CHUCK JACKSON,61,91,91,2,0,5335,0.382,0.462,0.0,-11.579,1.0,0.0365,0.971,1.19e-05,0.361,0.693,96.364,145322.0,3.0,0,0,0,0,0,September 1992 ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã February 1993,
A Scottish Soldier,ANDY STEWART,61,83,69,3,13,982368,0.392,0.289,3.0,-14.878,1.0,0.0518,0.91,0.0,0.142,0.5710000000000001,84.488,211147.0,3.0,0,0,0,0,0,"1960, 1989",
I Told You So,KEITH URBAN,7,94,48,16,43,266417,0.627,0.841,1.0,-5.885,0.0,0.0316,0.00788,1.47e-06,0.0552,0.73,105.995,242760.0,4.0,0,0,0,4,18,8-May-07,
Come On Over,SHANIA TWAIN,99,74,58,10,44,4852668,0.618,0.92,11.0,-4.529,1.0,0.0457,0.112,0.0,0.691,0.966,76.512,173507.0,4.0,0,0,0,5,18,1996ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã1997,
Saved,LaVERN BAKER,61,95,37,7,24,77248,0.608,0.6,10.0,-12.372,1.0,0.0527,0.575,0.0,0.4370000000000001,0.932,145.735,174733.0,4.0,0,0,0,0,0,,
California Sun,RIVIERAS,64,123,5,11,35,2101633,0.411,0.908,3.0,-8.693,1.0,0.0535,0.409,0.0842,0.106,0.962,169.63,146133.0,4.0,0,0,0,0,0,1960,
Hello Walls,FARON YOUNG,61,97,12,15,43,3885344,0.62,0.406,0.0,-10.421,1.0,0.0281,0.722,6.73e-06,0.114,0.695,101.489,146840.0,4.0,1,0,0,0,1,March,
Hearts Of Stone,THE BLUE RIDGE RANGERS,73,84,37,12,17,172739,0.695,0.568,11.0,-8.164,1.0,0.0915,0.843,0.0,0.0905,0.73,76.488,154200.0,4.0,0,0,0,0,0,19-Jul-52,
Ground Hog,BROWNS,61,100,97,3,4,8892,0.68,0.483,2.0,-11.154000000000002,1.0,0.0261,0.418,0.0,0.0735,0.919,96.93,133987.0,4.0,0,0,0,0,4,0,
Gidget Goes Hawaiian,DUANE EDDY,61,105,101,2,3,2350,0.596,0.655,7.0,-11.685,1.0,0.0272,0.596,0.8320000000000001,0.0598,0.925,93.779,139667.0,4.0,0,0,0,1,2,0,
(Theme From) The Great Imposter,HENRY MANCINI AND HIS ORCHESTRA,61,115,90,5,4,5405,0.452,0.488,9.0,-10.255,1.0,0.032,0.487,0.00907,0.31,0.203,84.62700000000002,169067.0,4.0,0,0,1,20,72,0,
Be My Boy,PARIS SISTERS,61,105,56,7,5,46291,0.173,0.101,1.0,-16.909000000000002,1.0,0.0424,0.904,6.39e-05,0.113,0.211,184.768,118960.0,3.0,0,0,0,0,1,Aug-61,
Love Or Money,THE BLACKWELLS,61,107,107,1,0,6998,0.5,0.688,1.0,-7.673999999999999,0.0,0.0378,0.664,0.0,0.223,0.858,131.843,147400.0,4.0,0,0,0,0,0,March 2014 ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã March 2016,
You Set My Heart To Music,JOHNNY MATHIS,61,109,107,2,2,25217,0.199,0.35200000000000004,0.0,-11.861,1.0,0.0324,0.875,0.0,0.168,0.198,84.19200000000002,163560.0,3.0,0,0,1,0,1,October 1963ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã,
African Waltz,JOHNNY DANKWORTH,61,111,101,4,4,44139,0.5,0.53,3.0,-9.656,1.0,0.035,0.125,0.043,0.307,0.8959999999999999,118.773,142120.0,3.0,0,0,0,0,1,"February 28, May 9 &amp; 15, 1961",
Hop Scotch,SANTO &amp; JOHNNY,61,112,90,3,4,2395,0.46,0.63,7.0,-13.023,1.0,0.0342,0.653,0.518,0.112,0.774,178.282,119680.0,4.0,0,0,0,0,0,0,
Three Little Fishes,BUZZ CLIFFORD,61,113,102,4,1,11124,0.486,0.835,8.0,-9.667,1.0,0.0546,0.745,3.59e-06,0.185,0.633,134.012,151240.0,4.0,0,0,0,0,0,,
"Little Girl, Little Boy",AL MARTINO,61,114,109,5,0,12975,0.55,0.424,11.0,-12.614,0.0,0.0813,0.596,0.0,0.224,0.695,126.729,132627.0,5.0,0,0,0,0,0,1935 by,
Pony Train,TITUS TURNER,61,115,115,1,0,2922,0.417,0.895,0.0,-6.079,1.0,0.225,0.765,2.05e-06,0.339,0.8740000000000001,160.363,149200.0,4.0,0,0,0,0,0,0,
Girl Of My Best Friend,RAL DONNER,61,116,19,12,12,38901,0.6579999999999999,0.218,1.0,-15.838,0.0,0.038,0.87,3.57e-06,0.129,0.7240000000000001,134.671,137467.0,4.0,0,0,0,0,0,1960,
Tragedy,FLEETWOODS,61,117,10,13,25,64028,0.482,0.124,1.0,-21.775,1.0,0.0321,0.6579999999999999,0.008140000000000001,0.125,0.287,181.061,166160.0,3.0,0,0,0,0,0,1959,
Jenny,JOHNNY MATHIS,61,118,118,1,1,4322,0.28600000000000003,0.17600000000000002,1.0,-15.194,1.0,0.0316,0.957,4.86e-06,0.104,0.207,81.115,174573.0,4.0,0,0,1,0,1,1959ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã1968,
Halfway To Paradise,TONY ORLANDO,61,119,39,11,8,164333,0.448,0.408,4.0,-5.941,1.0,0.0328,0.464,0.0,0.0825,0.616,116.866,162627.0,4.0,0,0,0,0,1,1961,
My Kind Of Girl,MATT MONRO,61,120,18,21,20,110770,0.616,0.185,5.0,-14.1,1.0,0.0391,0.56,0.0,0.157,0.413,130.849,177600.0,4.0,0,0,0,0,0,1950ÃÃÃ¥Â¢ÃÃ¢Ã¥ÃÃÃ¢Ã¥Ã1997,
I'm Telling You Now,FREDDIE AND THE DREAMERS,65,71,1,11,25,340019,0.605,0.6990000000000001,3.0,-6.875,1.0,0.0317,0.378,0.0,0.305,0.8909999999999999,71.38,128907.0,4.0,1,0,0,0,0,1963,
Stop! In The Name Of Love,GLEE CAST,10,38,38,1,39,4439787,0.648,0.767,5.0,-5.105,0.0,0.0359,0.0282,0.0,0.0357,0.6459999999999999,119.987,209787.0,4.0,0,0,0,0,1,2009,
Can't You Hear My Heartbeat,HERMAN'S HERMITS,65,85,2,15,33,392184,0.581,0.63,9.0,-7.836,1.0,0.0334,0.0925,0.0,0.0648,0.91,136.994,134840.0,3.0,0,0,0,0,0,12 February 1965 (US),
Shotgun,JUNIOR WALKER &amp; THE ALL STARS,65,80,4,14,49,842649,0.747,0.6709999999999999,1.0,-5.737,1.0,0.0332,0.181,5.24e-06,0.061,0.6809999999999999,120.98,176627.0,4.0,2,0,0,0,0,0,
The Birds And The Bees,JEWEL AKENS,65,100,3,14,12,1001547,0.7559999999999999,0.5379999999999999,6.0,-9.826,1.0,0.0336,0.189,0.00159,0.0421,0.973,112.129,122733.0,4.0,0,0,0,0,4,,
King Of The Road,ROGER MILLER,65,63,4,13,54,4879232,0.731,0.204,11.0,-18.934,1.0,0.0727,0.51,2.02e-05,0.0894,0.6990000000000001,121.817,143373.0,4.0,2,0,0,11,18,Jan-65,
Game Of Love,WAYNE FONTANA AND THE MINDBENDERS,65,117,1,12,28,528791,0.575,0.843,9.0,-4.298,1.0,0.0328,0.0946,0.0,0.197,0.953,109.254,127093.0,4.0,1,0,0,0,0,"January 22, 1965 (UK)",
Nowhere To Run,SANTANA,82,79,66,8,17,43874,0.485,0.527,4.0,-15.904000000000002,0.0,0.0362,0.028,0.0334,0.302,0.622,139.029,244227.0,4.0,0,0,0,8,12,1969 - 1989,
I Know A Place,PETULA CLARK,65,94,3,12,33,1043035,0.434,0.722,4.0,-9.637,1.0,0.0496,0.735,1.16e-05,0.634,0.614,137.936,162600.0,4.0,0,0,0,2,9,,
Red Roses For A Blue Lady,WAYNE NEWTON,65,127,23,12,17,60758,0.394,0.279,6.0,-11.905,1.0,0.0308,0.866,0.0,0.16899999999999998,0.4970000000000001,113.988,143507.0,4.0,0,0,0,0,0,1965,
Eight Days A Week,BEATLES,65,53,1,10,55,1855709,0.652,0.583,9.0,-7.811,1.0,0.038,0.412,0.0,0.119,0.7440000000000001,138.134,163600.0,4.0,0,0,0,7,23,4-Dec-64,
Do You Wanna Dance,LOVE SOCIETY,68,118,108,6,0,8400,0.862,0.521,6.0,-7.648,1.0,0.241,0.0733,0.0,0.127,0.705,97.023,219520.0,4.0,0,0,0,0,0,"AugustÃÃÃ¥Ã¢ÃÃ¢Ã¥Ã28,ÃÃÃ¥Ã¢ÃÃ¢Ã¥Ã2015",
Tired Of Waiting For You,KINKS,65,114,6,12,43,1079414,0.674,0.7020000000000001,0.0,-9.723,1.0,0.0354,0.419,0.0,0.249,0.871,122.096,149880.0,4.0,0,0,0,0,0,15ÃÃÃ¥Ã¢ÃÃ¢Ã¥ÃJanuaryÃÃÃ¥Ã¢ÃÃ¢Ã¥Ã1965,
Goldfinger,JACK LaFORGE ORCHESTRA,65,119,96,8,1,78116,0.6829999999999999,0.904,9.0,-4.394,1.0,0.0327,0.0856,0.0,0.263,0.922,138.071,173600.0,4.0,0,0,0,0,0,0,
Go Now,MOODY BLUES,65,130,10,15,38,653185,0.334,0.474,5.0,-11.959,0.0,0.0373,0.586,0.0,0.14400000000000002,0.635,118.248,191200.0,3.0,1,0,0,0,0,1964,
The Race Is On,JACK JONES,65,129,15,12,10,22293,0.5760000000000001,0.784,6.0,-7.951,1.0,0.039,0.7290000000000001,0.0,0.123,0.932,91.259,107827.0,3.0,0,0,0,2,5,26-Sep-64,
Long Lonely Nights,BOBBY VINTON,65,80,17,7,35,25090,0.295,0.365,0.0,-8.91,1.0,0.0296,0.836,0.0,0.0699,0.268,77.95100000000002,148760.0,4.0,0,0,0,0,1,,
Ferry Cross The Mersey,GERRY AND THE PACEMAKERS,65,61,6,11,45,5315458,0.405,0.365,6.0,-10.226,0.0,0.0289,0.255,4.68e-06,0.163,0.588,104.536,141987.0,4.0,0,0,0,0,0,Dec-64,
