Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,Song_release_date,Genres
You Don't Miss Your Water,WILLIAM BELL,62,117,95,11,22,156237,0.511,0.467,5.0,-8.243,1.0,0.0281,0.446,0.0,0.192,0.573,115.109,180147.0,3.0,1,0,0,7,26,1961,
Most People Get Married,PATTI PAGE,62,105,27,9,22,35935,0.601,0.6970000000000001,7.0,-8.039,0.0,0.241,0.708,0.0,0.324,0.8370000000000001,74.711,124240.0,4.0,0,0,1,1,1,0,
I've Been Good To You,THE MIRACLES,62,106,103,4,33,157631,0.414,0.373,10.0,-11.377,0.0,0.0305,0.424,0.0,0.37,0.431,94.458,211293.0,3.0,0,0,0,0,0,"December 14, 1961",
I Sold My Heart To The Junkman,THE BLUE-BELLES (THE STARLETS),62,107,15,12,6,4445,0.5479999999999999,0.728,11.0,-8.687000000000001,1.0,0.0628,0.733,0.0,0.6459999999999999,0.816,139.681,149827.0,4.0,0,0,0,0,0,1946,
Love Is A Swingin' Thing,THE SHIRELLES,62,111,109,2,0,6013,0.503,0.499,2.0,-12.538,1.0,0.0456,0.234,0.0,0.113,0.96,96.941,131880.0,4.0,0,0,0,0,0,March,
Just Another Fool,CURTIS LEE,62,116,110,2,5,31595,0.561,0.684,8.0,-8.847999999999997,1.0,0.061,0.395,0.00105,0.266,0.863,128.237,155107.0,4.0,0,0,0,0,0,0,
Buttons And Bows,THE BROWNS featuring JIM EDWARD BROWN,62,104,104,2,0,181,0.425,0.861,9.0,-5.318,1.0,0.0407,0.268,0.96,0.219,0.963,124.109,170973.0,4.0,0,0,0,0,0,0,
Duchess Of Earl,THE PEARLETTES,62,97,96,6,6,26393,0.395,0.32,3.0,-10.278,0.0,0.0716,0.679,6.16e-06,0.0666,0.65,206.25,136533.0,4.0,0,0,0,0,0,"January 13, 1962",
Sweet Thursday,JOHNNY MATHIS,62,108,99,7,6,26917,0.298,0.443,10.0,-12.445,1.0,0.0393,0.669,0.0,0.112,0.41,119.749,151133.0,4.0,0,0,1,0,1,1958â1962,
Need Your Love,BIG BUB featuring QUEEN LATIFAH &amp; HEAVY D,97,77,70,5,16,57994,0.8290000000000001,0.66,2.0,-7.362,1.0,0.257,0.07,4.18e-05,0.314,0.5770000000000001,95.271,226067.0,4.0,0,0,0,0,0,,
Lover Come Back,DORIS DAY,62,110,98,3,7,105800,0.682,0.403,8.0,-8.16,1.0,0.0376,0.789,0.0,0.0964,0.8170000000000001,121.356,134227.0,4.0,0,0,1,0,2,0,
Here It Comes Again,FORTUNES,65,80,27,8,33,1197257,0.688,0.6679999999999999,4.0,-11.316,1.0,0.0314,0.388,0.0,0.0675,0.726,116.919,191332.0,4.0,0,0,0,0,0,10 September 1965,
Smile,THE EMOTIONS,78,108,102,14,19,80554,0.804,0.599,2.0,-13.568,1.0,0.0513,0.197,0.00543,0.124,0.982,130.747,194933.0,4.0,0,0,0,0,0,0,
The Night The Lights Went Out In Georgia,VICKI LAWRENCE,73,100,1,20,34,829172,0.455,0.417,5.0,-13.446,0.0,0.168,0.846,0.0,0.132,0.611,172.015,220520.0,4.0,0,0,0,0,0,February 1972,
Neither One Of Us (Wants To Be the First To Say Goodbye),GLADYS KNIGHT AND THE PIPS,73,86,2,16,40,4376149,0.525,0.407,5.0,-12.724,1.0,0.0351,0.53,3.54e-06,0.2,0.67,140.52,261467.0,4.0,0,0,0,7,22,"December 26,",
Tie A Yellow Ribbon Round The Ole Oak Tree,DAWN featuring TONY ORLANDO,73,80,1,23,49,129666,0.5589999999999999,0.615,5.0,-12.27,1.0,0.0473,0.28300000000000003,0.0,0.0957,0.68,87.601,206253.0,4.0,0,0,0,0,1,19 February 1973,
Ain't No Woman (Like The One I Got),THE FOUR TOPS,73,87,4,15,2,4930495,0.721,0.5379999999999999,9.0,-10.449000000000002,0.0,0.046,0.174,0.0,0.139,0.71,99.248,179115.0,4.0,0,0,1,0,0,January 1973,
Sing,ED SHEERAN,14,15,13,20,73,204801288,0.818,0.67,8.0,-4.4510000000000005,0.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,235382.0,4.0,1,0,0,2,11,7Â AprilÂ 2014,
The Cisco Kid,WAR,73,79,2,15,49,3727271,0.8490000000000001,0.84,9.0,-7.164,0.0,0.115,0.224,0.00671,0.0372,0.96,141.763,227720.0,4.0,0,0,0,0,2,1972,
Danny's Song,ANNE MURRAY,73,83,7,18,46,379779,0.512,0.379,11.0,-12.251,0.0,0.0299,0.418,1.09e-05,0.0967,0.522,144.687,188293.0,4.0,0,0,0,4,12,November 1971,
Break Up To Make Up,THE STYLISTICS,73,88,5,14,45,9306638,0.5820000000000001,0.299,4.0,-10.527,1.0,0.0242,0.892,1.26e-06,0.32299999999999995,0.322,79.422,239947.0,3.0,0,0,0,0,0,,
Killing Me Softly With His Song,ROBERTA FLACK,73,54,1,16,66,7197052,0.477,0.381,5.0,-10.237,0.0,0.0342,0.727,0.0,0.0615,0.329,121.568,286920.0,4.0,2,0,0,4,14,"January 21, 1973",
Call Me (Come Back Home),AL GREEN,73,73,10,11,45,1383749,0.6829999999999999,0.392,10.0,-13.213,1.0,0.0293,0.596,3.43e-06,0.227,0.679,99.79,184907.0,4.0,0,0,1,11,21,1972,
Little Willy,THE SWEET,73,99,3,23,40,2671550,0.662,0.772,11.0,-7.135,1.0,0.0356,0.332,1.22e-06,0.314,0.914,127.025,192293.0,4.0,0,0,0,0,0,19 May 1972 (UK),
Stir It Up,PATTI LABELLE,85,81,41,14,38,1620672,0.7390000000000001,0.6859999999999999,11.0,-9.609,0.0,0.0344,0.0422,0.00281,0.0617,0.8290000000000001,104.629,218200.0,4.0,0,0,0,2,13,"June 16, 1985",
Also Sprach Zarathustra (2001),DEODATO,73,74,2,12,18,528559,0.448,0.763,0.0,-11.657,1.0,0.0493,0.431,0.359,0.29100000000000004,0.513,117.938,663133.0,4.0,0,0,0,0,0,"September 12-14, 1972 at",
The Twelfth Of Never,THE CHI-LITES,69,126,122,2,4,27565,0.4970000000000001,0.7390000000000001,4.0,-6.631,1.0,0.0423,0.469,1e-06,0.34600000000000003,0.813,86.823,164653.0,4.0,0,0,0,0,0,,
Space Oddity,DAVID BOWIE,73,71,15,14,65,18653858,0.299,0.443,0.0,-12.621,1.0,0.0346,0.0748,0.000138,0.177,0.434,139.539,318813.0,4.0,3,0,1,5,19,11 July 1969,
You Are The Sunshine Of My Life,STEVIE WONDER,73,76,1,17,52,1986832,0.519,0.5429999999999999,6.0,-11.786,1.0,0.0755,0.779,2.1e-05,0.21600000000000005,0.688,132.13,178267.0,4.0,0,0,1,25,74,March 1973,
Love Train,THE O'JAYS,73,61,1,14,63,4651854,0.7440000000000001,0.568,0.0,-9.629,1.0,0.0494,0.18600000000000005,1.18e-05,0.163,0.687,122.657,178400.0,4.0,0,0,0,0,0,December 1972,
Stuck In The Middle With You,STEALERS WHEEL,73,86,6,18,66,89305232,0.787,0.541,7.0,-10.437,1.0,0.0403,0.0825,0.000311,0.065,0.962,124.194,203893.0,4.0,2,0,0,0,0,27 April 1973,
Peaceful,HELEN REDDY,73,85,12,17,22,290572,0.4970000000000001,0.33,7.0,-14.22,1.0,0.0298,0.21600000000000005,0.0,0.0954,0.481,139.609,172307.0,4.0,0,0,0,1,2,February 1973,
Dead Skunk,LOUDON WAINWRIGHT III,73,88,16,13,35,682537,0.633,0.655,7.0,-11.514,1.0,0.0312,0.617,2.79e-06,0.113,0.967,146.868,185733.0,4.0,0,0,0,1,3,November 1972,
Last Song,EDWARD BEAR,72,98,3,18,29,878671,0.545,0.421,6.0,-13.739,1.0,0.0449,0.493,0.0,0.0838,0.7170000000000001,128.75,192400.0,4.0,0,0,0,0,0,December 1972,
