Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Work,RIHANNA featuring DRAKE,2016-02-13,9,1,36
Love Yourself,JUSTIN BIEBER,2015-12-05,4,1,41
Stressed Out,TWENTY ONE PILOTS,2015-10-24,95,2,50
Sorry,JUSTIN BIEBER,2015-11-14,2,1,42
My House,FLO RIDA,2015-11-28,96,4,39
Pillowtalk,ZAYN,2016-02-20,1,1,24
Hello,ADELE,2015-11-14,1,1,26
"Me, Myself & I",G-EAZY &amp; BEBE REXHA,2015-11-21,83,7,37
Roses,THE CHAINSMOKERS featuring ROZES,2015-11-07,95,6,31
Cake By The Ocean,DNCE,2015-11-07,79,9,46
Hands To Myself,SELENA GOMEZ,2015-12-26,77,7,20
One Call Away,CHARLIE PUTH,2015-12-19,89,12,26
Stitches,SHAWN MENDES,2015-06-13,89,4,52
When We Were Young,ADELE,2015-12-12,22,14,20
In The Night,THE WEEKND,2015-12-05,86,12,19
Don't,BRYSON TILLER,2015-10-17,84,13,34
Same Old Love,SELENA GOMEZ,2015-10-03,43,5,28
Down In The DM,YO GOTTI,2015-12-19,87,13,21
Hotline Bling,DRAKE,2015-08-22,66,2,36
7 Years,LUKAS GRAHAM,2016-02-06,96,2,36
Here,ALESSIA CARA,2015-08-22,95,5,34
Uptown Funk!,MARK RONSON featuring BRUNO MARS,2016-03-05,22,22,1
Jumpman,DRAKE &amp; FUTURE,2015-10-10,52,12,32
I Took A Pill In Ibiza,MIKE POSNER,2016-02-06,79,4,37
What Do You Mean?,JUSTIN BIEBER,2015-09-19,1,1,31
Hide Away,DAYA,2015-10-17,100,23,26
The Hills,THE WEEKND,2015-06-13,20,1,48
Adventure Of A Lifetime,COLDPLAY,2015-11-28,55,13,20
Like I'm Gonna Lose You,MEGHAN TRAINOR featuring JOHN LEGEND,2015-07-25,95,8,39
Say It,TORY LANEZ,2015-11-07,90,23,24
Summer Sixteen,DRAKE,2016-02-20,6,6,14
Can't Feel My Face,THE WEEKND,2015-06-27,24,1,41
