Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,days_before_charting,TopSongsArtist100,Entry_Year,Age_Percentage_15_30
The Woman I Love,B.B. KING,0.444289961,0.563730618,113,94,7,0.582,0.574,1,-6.523,0.0826,0.682,0,0.255,0.841,115.042,184213,4,0,0,1,0,0,69,0,0,0,22,1968,23.1
Better Not Look Down,B.B. KING,0.689888279,0.532120096,110,110,1,0.723,0.734,1,-11.088,0.235,0.745,0.0164,0.0443,0.742,102.164,202427,4,0,0,1,0,0,69,0,0,0,22,1979,27.4
Kayleigh,MARILLION,0.819056945,0.675833892,89,74,8,0.562,0.671,2,-7.21,0.0269,0.0188,0.00378,0.0947,0.595,106.002,243413,4,0,0,0,0,0,60,0,0,0,1,1985,26
Sweet Georgia Brown,THE CARROLL BROTHERS,0.164464723,0.311401673,119,119,1,0.832,0.344,11,-14.572,0.0427,0.981,0.887,0.104,0.943,106.528,189022,4,0,0,0,0,0,57.77835159,0,0,0,0,1962,20.2
Do You Miss Me,JOCELYN ENRIQUEZ,0.721681285,0.713798464,95,49,23,0.75,0.916,7,-6.496,0.0339,0.000864,0.231,0.313,0.687,129.966,250000,4,0,0,0,0,0,36,0,0,0,2,1996,21.2
The Call,ANNE MURRAY,0.553745965,0.571929356,110,91,6,0.577,0.789,7,-6.17,0.0435,0.152,0,0.209,0.778,127.457,154733,4,0,0,0,4,12,56,1,3,14,14,1976,26.9
It May Be Winter Outside (But In My Heart It's Spring),FELICE TAYLOR,0.423559721,0.378269106,112,42,7,0.458,0.665,0,-6.113,0.0442,0.635,0.0265,0.0815,0.705,131.285,171533,4,0,0,0,0,0,11,0,0,0,1,1967,22.5
Super Bass,NICKI MINAJ,0.965189031,0.942579141,98,3,39,0.727,0.866,11,-4.288,0.185,0.282,3.87E-06,0.585,0.653,127.01,200013,4,1,0,0,0,10,95,0,3,0,9,2011,20.9
Lonely Street,ANDY WILLIAMS,0.617797946,0.734449745,111,5,17,0.285,0.155,9,-13.249,0.0307,0.925,0.0285,0.258,0.256,99.937,162067,3,0,0,0,1,4,68,0,3,0,16,1959,19.6
I Didn't Know What Time It Was,RAY CHARLES,0.284474005,0.501366117,135,105,4,0.393,0.408,2,-13.831,0.0335,0.847,0.381,0.119,0.271,131.842,455200,4,0,0,1,17,37,57.77835159,2,6,0,18,1969,23.5
Give Peace A Chance,PLASTIC ONO BAND,0.760376096,0.666368108,62,14,9,0.442,0.853,1,-12.57,0.123,0.326,0,0.816,0.208,83.871,292973,4,0,0,0,0,0,54,0,0,0,2,1969,23.5
Don't Ask Me To Be Friends,THE EVERLY BROTHERS,0.186769052,0.49302841,91,48,7,0.591,0.106,7,-13.773,0.0343,0.977,0.0143,0.109,0.341,110.431,157413,4,0,0,1,0,0,63,0,4,0,7,1962,20.2
This Little Girl,GARY U.S. BONDS,0.705382035,0.692813119,67,11,18,0.505,0.898,11,-7.511,0.0452,0.0635,0,0.28,0.859,145.465,222707,4,1,0,0,0,0,36,1,0,0,4,1981,27.3
"Why, Why, Bye, Bye",BOB LUMAN,0.358222391,0.286733659,106,106,2,0.54,0.754,3,-13.959,0.0375,0.738,0.193,0.114,0.894,88.292,108416,4,0,0,0,0,6,35,0,1,0,0,1960,19.6
High On A Hill,SCOTT ENGLISH,0.480391614,0.280586468,105,77,5,0.309,0.553,7,-4.903,0.0293,0.865,0.000287,0.329,0.323,92.808,161611,3,0,0,0,0,0,6,0,0,0,1,1964,21.2
Drink A Beer,LUKE BRYAN,0.875764915,0.882121942,79,31,20,0.571,0.43,8,-7.439,0.0319,0.812,7.99E-05,0.164,0.285,77.961,202627,4,0,0,0,0,0,83,0,0,0,21,2013,20.9
You're Lookin' Good,DEE CLARK,0.199680718,0.393617424,109,43,12,0.728,0.541,7,-4.642,0.0359,0.594,0,0.202,0.569,119.744,218880,4,0,0,0,0,0,24,0,1,0,8,1960,19.6
My Kinda Girl,BABYFACE,0.678580641,0.683336563,71,30,13,0.711,0.804,4,-7.148,0.0445,0.0548,0.000314,0.0732,0.69,99.927,279267,4,0,0,0,11,49,57.77835159,0,4,0,5,1990,23.5
Brooklyn,CODY JAMESON,0.49040224,0.524849042,87,74,4,0.465,0.764,6,-4.931,0.0482,0.589,9.56E-06,0.741,0.692,100.759,275613,4,0,0,0,0,0,57.77835159,0,0,0,1,1977,27.3
Didn't Know It Was Love,SURVIVOR,0.695434072,0.67717778,95,61,10,0.613,0.683,2,-11.156,0.0332,0.122,0,0.241,0.637,128.416,262800,4,0,0,0,1,1,71,1,3,0,11,1988,24.5
Houston,DEAN MARTIN,0.747428184,0.663469543,79,21,9,0.602,0.292,11,-14.969,0.0859,0.829,0,0.109,0.319,119.081,161067,4,0,0,1,0,1,72,1,2,0,14,1965,21.7
Walk In The Night,JR. WALKER AND THE ALL STARS,0.636041135,0.672861578,86,46,12,0.582,0.848,6,-5.014,0.0298,0.13,0.825,0.027,0.967,106.697,249840,4,0,0,0,0,0,58,0,0,0,8,1972,25.3
Black Lassie,CHEECH &amp; CHONG,0.46823777,0.407850662,89,55,6,0.521,0.741,5,-8.257,0.279,0.154,6.96E-05,0.565,0.624,84.892,230000,4,0,0,0,0,0,21,0,1,0,4,1974,26.2
The Horizontal Bop,BOB SEGER,0.664383779,0.694921493,90,42,12,0.577,0.839,0,-4.054,0.125,0.153,1.39E-05,0.103,0.777,152.303,243360,4,0,0,0,0,6,71,1,3,0,11,1980,27.4
I Will Be,LEONA LEWIS,0.829274112,0.815401969,94,66,6,0.406,0.6,7,-4.157,0.0298,0.132,0,0.15,0.205,149.987,238640,4,0,0,0,0,3,75,1,0,0,2,2009,21
Come On Down To My Boat,EVERY MOTHER'S SON,0.650629322,0.664481506,85,6,15,0.606,0.686,10,-7.292,0.0362,0.493,1.18E-06,0.039,0.96,127.882,155200,4,0,0,0,0,0,21,0,1,0,0,1967,22.5
Keep On Smilin',WET WILLIE,0.730506482,0.723481671,93,10,19,0.64,0.442,7,-15.119,0.0424,0.0791,0.000344,0.0608,0.857,102.969,238533,4,0,0,0,0,0,57.77835159,0,1,0,5,1974,26.2
I'm Better Off Without You,MAIN INGREDIENT,0.532382156,0.494125596,99,91,2,0.345,0.363,5,-11.656,0.0285,0.904,4.38E-06,0.494,0.55,136.048,187027,4,0,0,0,0,0,49,0,0,0,4,1970,24
I've Got To Go On Without You,THE VAN DYKES,0.51346408,0.308846634,114,109,5,0.369,0.367,5,-8.393,0.0319,0.704,0.01,0.096,0.286,83.068,177520,3,0,0,0,0,0,9,0,0,0,1,1966,22.1
An Open Letter To My Teenage Son,VICTOR LUNDBERG,0.424313939,0.400954746,84,10,6,0.559,0.359,0,-16.771,0.505,0.88,0,0.152,0.713,92.636,263893,3,0,0,0,0,1,3,0,1,0,0,1967,22.5
Goin' To The Bank,COMMODORES,0.488368594,0.665214644,98,65,12,0.779,0.671,2,-12.895,0.0372,0.0735,1.38E-06,0.0695,0.668,116.376,258667,4,0,0,0,1,9,69,1,4,0,9,1986,25.5
The Closer You Get,RITA COOLIDGE,0.358352411,0.560348145,106,103,6,0.592,0.613,0,-8.374,0.0251,0.292,3.26E-06,0.106,0.637,104.821,263107,4,0,0,0,2,3,45,0,1,0,4,1981,27.3
Amerikan Music,STEVE ALAIMO,0.157040865,0.305016833,81,79,3,0.625,0.63,0,-10.6,0.0446,0.692,0.000212,0.0858,0.933,138.397,261600,4,0,0,0,0,0,9,0,0,0,5,1972,25.3
Chain Of Fools,JIMMY SMITH,0.361380359,0.451376275,110,100,5,0.638,0.64,10,-9.604,0.0575,0.6,0.582,0.0799,0.755,125.669,157013,4,0,0,0,0,1,57.77835159,0,0,0,6,1968,23.1
Nolia Clap,JUVENILE WAKO &amp; SKIP,0.723769516,0.750676838,67,31,20,0.83,0.942,0,-2.365,0.372,0.0697,0,0.275,0.953,159.861,270333,4,0,0,0,0,0,57.77835159,0,0,0,1,2004,20.9
Superstition,STEVIE WONDER,0.896558336,0.804544974,82,1,16,0.648,0.751,8,-8.582,0.0806,0.0182,0.000401,0.0418,0.863,100.437,244827,4,4,0,1,25,74,57.77835159,6,12,25,23,1972,25.3
If You Ever Have Forever In Mind,VINCE GILL,0.705215219,0.745820792,75,60,13,0.273,0.266,5,-10.794,0.0271,0.847,0.000424,0.0836,0.343,182.359,277000,3,0,0,0,21,44,67,0,0,40,4,1998,20.9
Ribbon Of Darkness,MARTY ROBBINS,0.630111817,0.493386943,103,103,2,0.598,0.413,4,-13.507,0.0406,0.803,0.00209,0.123,0.8,114.871,150000,4,0,0,0,2,4,61,1,1,0,10,1965,21.7
You Don't Bring Me Flowers,BARBRA AND NEIL,0.735521679,0.769194833,48,1,17,0.297,0.119,0,-18.054,0.0385,0.873,2.97E-05,0.159,0.196,114.428,195400,3,0,0,0,0,0,68,1,0,0,0,1978,27.3
L.O.V.E. (Love),AL GREEN,0.796927786,0.731849197,69,13,12,0.822,0.457,6,-10.937,0.235,0.214,0.000397,0.0766,0.73,99.16,307063,4,0,0,1,11,21,71,0,6,0,8,1975,26.7
Steady Mobbin',YOUNG MONEY featuring GUCCI MANE,0.833162563,0.839083034,95,54,17,0.681,0.694,0,-8.123,0.258,0.0252,0,0.541,0.659,156.149,310733,4,0,0,0,0,0,71,0,0,0,1,2010,20.9
Spin The Black Circle,PEARL JAM,0.752454747,0.675881487,58,18,6,0.236,0.99,2,-4.719,0.095,0.00063,0.0586,0.407,0.141,217.913,167613,4,0,0,0,1,12,57.77835159,0,0,11,9,1994,21.8
Microphone Master,DAS EFX,0.737086954,0.670303407,86,86,3,0.777,0.66,8,-7.794,0.266,0.0934,1.22E-05,0.0478,0.565,89.224,271973,4,0,0,0,0,0,54,0,0,0,4,1996,21.2
They Remind Me Too Much Of You,ELVIS PRESLEY with THE MELLOW MEN,0.559804062,0.602625072,119,53,5,0.386,0.034,1,-24.411,0.0448,0.977,0.164,0.113,0.143,122.67,152427,4,0,0,1,3,14,82,0,0,0,2,1963,20.8
When Will I Be Loved,EVERLY BROTHERS,0.609495266,0.570295274,96,8,13,0.716,0.163,9,-15.363,0.053,0.841,0,0.129,0.511,109.821,99067,4,0,0,1,0,4,63,1,4,0,7,1960,19.6
That's What She Gets For Loving Me,BROOKS &amp; DUNN,0.705027309,0.766070901,73,53,14,0.635,0.572,9,-4.49,0.0291,0.116,0,0.144,0.285,127.206,173760,4,0,0,0,0,0,70,0,0,0,20,2004,20.9
On A Saturday Night,EDDIE FLOYD,0.555423342,0.502202898,100,92,6,0.781,0.739,6,-8.157,0.116,0.269,0.0198,0.142,0.826,103.038,162906,4,0,0,0,0,0,52,0,0,0,9,1967,22.5
Slow Motion (Part 1),JOHNNY WILLIAMS,0.452115679,0.470537889,100,78,7,0.597,0.744,2,-9.751,0.0506,0.0874,4.26E-06,0.113,0.84,107.531,177827,4,0,0,0,0,1,19,0,0,0,1,1973,25.8
If Not You,DR. HOOK,0.718209855,0.588941989,85,55,11,0.411,0.248,2,-14.543,0.0349,0.934,0.709,0.161,0.349,187.334,191440,4,0,0,0,0,0,60,0,3,0,5,1976,26.9
Take Me In Your Arms And Love Me,GLADYS KNIGHT AND THE PIPS,0.563756594,0.475254764,118,98,5,0.436,0.428,0,-11.503,0.0353,0.519,0,0.165,0.586,82.665,174627,4,0,0,0,7,22,61,1,6,0,25,1967,22.5
Tom Cat,THE ROOFTOP SINGERS,0.457409135,0.534898225,96,20,10,0.675,0.559,8,-10.136,0.0434,0.759,0.00227,0.0721,0.924,142.763,129000,4,0,0,0,0,0,29,1,0,82,2,1963,20.8
The Night They Drove Old Dixie Down,JOAN BAEZ,0.823166,0.762276703,72,3,15,0.575,0.355,1,-12.668,0.0332,0.595,0,0.104,0.453,129.317,205000,4,0,0,1,0,8,58,0,1,0,8,1971,24.7
Let's Get It Started,BLACK EYED PEAS,0.896178998,0.869214955,52,21,20,0.784,0.811,11,-2.218,0.137,0.0983,0,0.186,0.804,104.97,217213,4,1,0,0,6,15,80,0,3,46,2,2004,20.9
Let's Dance (Make Your Body Move),THE WEST STREET MOB,0.475033,0.415509886,91,88,3,0.889,0.855,2,-8.437,0.152,0.136,1.95E-05,0.252,0.378,115.039,410907,4,0,0,0,0,0,10,0,0,0,1,1981,27.3
Not Like The Movies,KATY PERRY,0.841765277,0.78729357,53,53,1,0.402,0.479,8,-7.75,0.0916,0.881,2.75E-06,0.111,0.257,183.013,241320,4,0,0,0,0,13,57.77835159,6,2,18,6,2010,20.9
20/20,GEORGE BENSON,0.664909586,0.690308755,85,48,13,0.709,0.658,6,-12.19,0.0359,0.225,5.23E-05,0.259,0.836,110.284,245987,4,0,0,0,10,25,65,0,4,0,8,1984,26.6
You're In Love,RATT,0.786036601,0.660351383,89,89,2,0.567,0.867,7,-11.541,0.0484,0.00384,0.088,0.112,0.535,146.008,194107,4,0,0,0,0,0,59,0,0,0,5,1985,26
What If,BABYFACE,0.768023792,0.747758871,98,80,15,0.745,0.451,11,-6.314,0.112,0.212,0,0.0975,0.481,143.908,246178,4,0,0,0,11,49,57.77835159,0,4,0,5,2001,20.9
Neighbors Know My Name,TREY SONGZ,0.893493702,0.861615835,88,43,20,0.663,0.693,7,-5.776,0.0635,0.0379,0,0.162,0.391,120.026,186307,4,0,0,0,0,0,85,0,1,0,14,2010,20.9
Was Dog A Doughnut,CAT STEVENS,0.576524422,0.68238539,92,70,9,0.814,0.808,11,-10.439,0.067,0.00822,0.928,0.0876,0.914,102.488,77333,4,0,0,0,0,0,74,0,3,0,6,1977,27.3
Midnight Mary,JOEY POWERS,0.458528092,0.452028914,102,10,14,0.585,0.359,4,-11.057,0.0304,0.832,0,0.218,0.646,121.555,143333,4,0,0,0,0,0,4,0,1,0,0,1963,20.8
Eye To Eye,GO WEST,0.611303525,0.631001626,91,73,7,0.849,0.579,0,-13.97,0.0352,0.101,1.70E-06,0.111,0.968,114.716,213400,4,0,0,0,0,0,56,0,1,0,5,1985,26
Amarillo,NEIL SEDAKA,0.562129279,0.551023362,85,44,7,0.746,0.544,10,-7.359,0.0371,0.872,5.13E-06,0.088,0.872,141.233,219760,4,0,0,0,0,5,57.77835159,2,4,0,15,1977,27.3
Never Been Any Reason,HEAD EAST,0.784421974,0.678612722,96,95,3,0.525,0.42,7,-11.732,0.04,0.000115,0.082,0.14,0.883,134.57,311227,4,3,0,0,0,0,40,0,0,0,1,1975,26.7
Bad Eye,WILLIE MITCHELL,0.491814674,0.483522528,112,92,8,0.531,0.834,0,-7.243,0.0724,0.49,0.0462,0.139,0.907,182.853,146467,4,0,0,0,0,0,42,0,0,0,8,1966,22.1
Yellow Bird,ARTHUR LYMAN GROUP,0.647539085,0.369751131,71,4,12,0.561,0.0335,2,-29.467,0.0513,0.954,0.86,0.0949,0.703,119.319,164920,4,0,0,0,0,0,57.77835159,0,1,0,0,1961,19.9
Do-Wacka-Do,ROGER MILLER,0.723119752,0.524420105,96,31,8,0.602,0.317,4,-18.015,0.141,0.503,0,0.188,0.891,179.165,107000,4,0,0,0,11,18,57,0,5,0,9,1964,21.2
Stays In Mexico,TOBY KEITH,0.760913953,0.768391117,61,51,15,0.655,0.882,9,-3.301,0.0724,0.148,0,0.303,0.718,122.945,214800,4,0,0,0,0,7,72,0,0,12,35,2004,20.9
Sweet Dreams (Are Made Of This),THE EURYTHMICS,0.430183044,0.774267301,90,1,26,0.757,0.506,0,-13.202,0.0324,0.536,0.000775,0.161,0.706,128.034,286370,4,0,0,0,0,0,42,1,0,0,1,1983,26.8
Come Along,MAURICE WILLIAMS &amp; THE ZODIACS,0.449760048,0.400058597,87,83,2,0.543,0.662,10,-8.164,0.0572,0.744,0,0.233,0.729,121.901,102653,4,0,0,0,0,0,49,0,0,0,1,1961,19.9
The Best Of Everything,JOHNNY MATHIS,0.375425843,0.513267241,107,62,6,0.242,0.421,9,-11.02,0.0349,0.845,0,0.0911,0.263,79.675,163627,4,0,0,1,0,1,63,0,2,0,17,1959,19.6
Rock & Roll Heaven,RIGHTEOUS BROTHERS,0.706839462,0.770162458,78,3,17,0.479,0.734,9,-8.198,0.0306,0.4,0,0.205,0.841,112.431,211933,4,0,0,0,0,2,64,1,2,145,4,1974,26.2
Hum A Song (From Your Heart),LULU with THE DIXIE FLYERS,0.175636013,0.551942123,115,54,7,0.663,0.788,10,-9.87,0.0367,0.218,0,0.406,0.891,105.001,163187,4,0,0,0,0,2,50,0,0,0,1,1970,24
Hopeless,ANDY WILLIAMS,0.523263153,0.68313552,113,13,12,0.311,0.317,0,-11.22,0.0309,0.876,0,0.472,0.428,83.461,157840,4,0,0,0,1,4,68,0,3,0,16,1963,20.8
Shoot For The Moon,POCO,0.540507108,0.687726265,105,50,14,0.51,0.317,5,-16.22,0.0287,0.539,0.000252,0.0846,0.473,81.097,168773,4,0,0,0,0,1,50,0,0,0,10,1982,27.1
Next To Me,EMELI SANDE,0.879636762,0.869250201,89,25,20,0.674,0.81,7,-5.117,0.0378,0.0923,4.74E-05,0.11,0.391,94.995,196867,4,0,0,0,0,0,76,0,0,0,1,2013,20.9
I Almost Do,TAYLOR SWIFT,0.774333166,0.813764496,65,65,1,0.566,0.484,4,-7.191,0.0274,0.0203,0.000147,0.171,0.22,145.977,242573,4,0,0,0,10,29,57.77835159,4,14,0,35,2012,20.9
"Donald, Where's Your Trousers",ANDY STEWART,0.675963409,0.379376238,100,77,6,0.689,0.442,10,-12.966,0.257,0.858,0,0.107,0.868,106.738,200907,4,0,0,0,0,0,30,0,0,0,2,1961,19.9
Alright Okay You Win,PEGGY LEE,0.662398221,0.532636216,94,68,5,0.717,0.193,0,-12.556,0.0429,0.402,0,0.0783,0.717,138.328,175627,4,0,0,1,1,13,61,0,0,0,6,1959,19.6
Uptight (Everything's Alright),STEVIE WONDER,0.790272192,0.773455296,100,3,14,0.598,0.646,6,-9.769,0.0309,0.179,0,0.141,0.929,133.287,174400,4,1,0,1,25,74,57.77835159,6,12,26,23,1965,21.7
Popcorn,HOT BUTTER,0.779794643,0.665141343,89,9,18,0.784,0.626,11,-14.617,0.0572,0.0425,0.703,0.0645,0.952,136.886,151440,4,3,0,0,0,0,34,0,1,0,0,1972,25.3
Half Time,THE ROUTERS,0.160617955,0.252147849,115,115,2,0.601,0.838,0,-13.819,0.0485,0.779,0.778,0.294,0.926,157.597,119133,4,0,0,0,0,0,14,0,0,0,2,1963,20.8
Pain In My Heart,OTIS REDDING,0.801380122,0.737123983,99,78,3,0.453,0.276,10,-11.535,0.0393,0.733,0.000228,0.126,0.597,163.323,146747,3,1,0,1,2,5,74,0,0,0,12,1963,20.8
Robert De Niro's Waiting,BANANARAMA,0.59909163,0.670338418,96,95,2,0.643,0.917,7,-7.712,0.0356,0.0231,0.143,0.314,0.574,114.902,204200,4,0,0,0,0,0,62,1,2,80,1,1984,26.6
Red And Blue,THE DAVE CLARK FIVE,0.692848617,0.489951771,110,89,3,0.601,0.859,4,-6.311,0.0397,0.0351,0.331,0.144,0.431,101.003,249747,4,0,0,0,0,0,57.77835159,0,1,0,4,1967,22.5
Fly By Night / In The Mood,RUSH,0.592521739,0.685969,98,88,4,0.343,0.94,2,-6.689,0.0675,0.183,9.51E-06,0.982,0.616,134.88,303933,4,0,0,0,0,7,71,0,0,0,7,1977,27.3
Tryin' To Life My Life Without You,BOB SEGER,0.688382279,0.799635098,61,5,19,0.506,0.9,2,-3.528,0.0418,0.019,0,0.966,0.796,104.716,240107,4,0,0,0,0,6,71,1,3,0,11,1981,27.3
Mud On The Tires,BRAD PAISLEY,0.817578092,0.781015397,70,30,20,0.445,0.744,2,-7.978,0.0424,0.343,6.73E-05,0.167,0.48,185.199,208267,4,0,0,0,3,18,74,0,0,0,33,2004,20.9
Dedicated Follower Of Fashion,THE KINKS,0.722582347,0.666545409,115,36,7,0.406,0.879,0,-6.662,0.0433,0.369,1.54E-06,0.41,0.885,172.994,180893,4,0,0,0,0,0,72,0,2,0,9,1966,22.1
I'm Gonna Take Care Of Everything,RUBICON,0.474003095,0.497890298,85,28,11,0.601,0.716,8,-7.93,0.0232,0.362,0.000245,0.422,0.885,94.1,209785,4,0,0,0,0,0,8,0,0,0,1,1978,27.3
Part Of Me,KATY PERRY,0.959125805,0.928398817,1,1,22,0.678,0.918,5,-4.63,0.0355,0.000417,0,0.0744,0.769,130.028,216160,4,0,0,0,0,13,57.77835159,6,2,19,6,2012,20.9
Up In A Puff Of Smoke,POLLY BROWN,0.333685317,0.479940597,110,16,14,0.554,0.517,5,-14.268,0.0618,0.0355,3.62E-06,0.24,0.512,138.514,191653,4,0,0,0,0,0,5,0,0,0,1,1974,26.2
Fly High Michelle,ENUFF Z'NUFF,0.685216794,0.660197907,91,47,13,0.233,0.863,2,-4.319,0.0434,0.00999,0,0.228,0.496,175.657,230827,4,0,0,0,0,0,37,0,0,0,2,1990,23.5
Slow And Easy,ZAPP &amp; ROGER,0.740158445,0.761483386,87,43,20,0.759,0.66,5,-8.964,0.0658,0.105,0,0.114,0.778,140.68,311333,4,0,0,0,0,0,58,0,0,0,2,1993,22.2
Crackerbox Palace,GEORGE HARRISON,0.722195036,0.707357302,66,19,11,0.658,0.636,10,-6.646,0.03,0.72,7.40E-05,0.079,0.796,123.166,238213,4,0,0,1,12,39,73,2,2,5,6,1977,27.3
Twang,GEORGE STRAIT,0.658349683,0.762688116,100,100,1,0.563,0.954,9,-3.133,0.0753,0.343,1.62E-05,0.0818,0.841,158.577,175600,4,0,0,0,1,16,76,0,0,0,29,2009,21
Not Me,U.S. BONDS,0.397928856,0.375129322,116,116,1,0.358,0.805,1,-7.08,0.213,0.475,0,0.132,0.875,164.635,157667,4,0,0,0,0,0,36,0,0,0,0,1961,19.9
Let A Man Come In And Do The Popcorn,JAMES BROWN,0.555782703,0.611834881,78,21,8,0.637,0.702,1,-3.276,0.0632,0.284,0.00043,0.0638,0.918,98.711,430120,4,0,0,1,0,4,59,0,3,0,47,1969,23.5
I'm Not Your Man,TOMMY CONWELL &amp; THE YOUNG RUMBLERS,0.591309626,0.464194685,95,74,7,0.585,0.798,1,-9.446,0.0334,0.628,0,0.195,0.827,116.921,256533,4,0,0,0,0,0,16,0,0,0,2,1988,24.5
All The Things She Said,TATU,0.900495036,0.816717697,85,20,20,0.52,0.848,5,-5.756,0.0483,0.0356,0.00761,0.105,0.402,179.978,214440,4,0,0,0,0,0,63,0,0,138,1,2003,20.9
Tears Keep On Falling,JERRY VALE,0.242147143,0.502872754,133,96,8,0.353,0.469,2,-11.143,0.0339,0.793,0,0.319,0.443,88.155,139133,4,0,0,0,0,0,53,0,0,0,3,1965,21.7
Discotheque,U2,0.717021508,0.799866643,10,10,11,0.583,0.811,4,-9.628,0.0417,0.00139,0.0421,0.105,0.634,120.348,320667,4,0,0,0,22,46,84,2,3,19,20,1997,21
(He's) Raining In My Sunshine,JAY AND THE AMERICANS,0.487371821,0.545328491,108,90,6,0.478,0.298,2,-13.842,0.0342,0.74,1.11E-05,0.139,0.376,110.006,195733,4,0,0,0,0,0,58,0,2,0,10,1966,22.1
I Saw God Today,GEORGE STRAIT,0.809131253,0.797147272,54,33,20,0.589,0.578,3,-6.823,0.0312,0.655,0,0.193,0.377,148.216,203200,4,0,0,0,1,16,76,0,0,0,29,2008,21
Ol' Man River,JIMMY SMITH,0.496351315,0.43485903,100,99,3,0.705,0.295,8,-9.748,0.0274,0.856,0.731,0.103,0.493,108.047,172493,4,0,0,0,0,1,57.77835159,0,0,0,6,1962,20.2
A Hazy Shade Of Winter,SIMON AND GARFUNKEL,0.788820173,0.741816905,81,13,9,0.497,0.59,2,-11.203,0.0296,0.139,7.11E-06,0.378,0.969,142.027,137480,4,0,0,1,7,11,77,2,1,14,7,1966,22.1
Let The Feeling Flow,PEABO BRYSON,0.673670432,0.70751114,81,42,12,0.577,0.336,4,-13.608,0.0394,0.794,0,0.115,0.532,119.246,256133,4,0,0,0,2,8,60,1,1,70,3,1982,27.1
Nothing New (Same Old Thing),FATS DOMINO,0.471069726,0.498914274,88,77,5,0.61,0.417,8,-3.863,0.0259,0.721,0,0.0483,0.824,99.945,129357,3,0,0,1,0,0,67,0,4,0,27,1962,20.2
Be Thankful For What You've Got,WILLIAM DE VAUGHAN,0.747796842,0.716349327,89,4,18,0.804,0.28,6,-20.458,0.0507,0.00222,0.0203,0.124,0.867,107.04,416627,4,0,0,0,7,26,57.77835159,0,1,0,0,1974,26.2
Hi-Heel Sneakers,JOSE FELICIANO,0.370861657,0.651175147,125,25,9,0.589,0.448,10,-11.832,0.0552,0.725,0,0.176,0.681,88.631,220827,4,0,0,0,7,16,66,0,0,0,6,1968,23.1
All The Right Moves,ONEREPUBLIC,0.897970724,0.915392817,58,18,34,0.53,0.95,0,-3.526,0.0503,0.284,1.01E-05,0.211,0.733,146.035,238000,4,0,0,0,0,1,88,0,2,0,9,2009,21
Let's Live Together,THE ROAD APPLES,0.576845131,0.487529536,110,94,6,0.358,0.969,7,-3.078,0.0794,0.164,0.00177,0.956,0.597,155.371,230640,4,0,0,0,0,0,57.77835159,0,0,0,1,1975,26.7
Goin' Down (On The Road To L.A.),TERRY BLACK &amp; LAUREL WARD,0.223140725,0.304959507,94,57,8,0.255,0.656,1,-9.503,0.0516,0.474,3.17E-06,0.676,0.926,195.789,182360,3,0,0,0,0,0,0,0,0,0,1,1972,25.3
Looking For A Fox,CLARENCE CARTER,0.661600267,0.506476223,91,62,8,0.651,0.639,11,-14.515,0.0479,0.119,0.000468,0.123,0.878,114.933,136069,4,0,0,0,0,2,53,0,1,0,10,1968,23.1
Money For Nothing,DIRE STRAITS,0.839631473,0.879792968,87,1,22,0.667,0.655,2,-9.339,0.0367,0.0491,0.000894,0.0641,0.657,134.212,506400,4,0,0,0,2,7,77,1,2,0,3,1985,26
Lazy River,BOBBY DARIN,0.675402301,0.606370662,94,14,10,0.481,0.634,8,-1.91,0.037,0.661,0,0.0799,0.548,133.569,152320,4,0,0,1,2,5,64,1,6,0,14,1961,19.9
What Does It Take (To Keep A Man Like You Satisfied),SKEETER DAVIS,0.451413568,0.559211749,129,121,2,0.605,0.366,9,-10.282,0.0299,0.733,0,0.427,0.562,132.165,156773,4,0,0,0,0,5,50,0,2,57,6,1967,22.5
My Ancestors,LOU RAWLS,0.379340443,0.431241744,122,113,4,0.706,0.635,2,-7.352,0.0342,0.618,0,0.138,0.804,100.966,188933,4,0,0,0,3,13,53,0,1,0,10,1968,23.1
Look At Us,SARINA PARIS,0.724728529,0.709941263,99,59,20,0.818,0.83,1,-7.27,0.0327,0.191,0.00253,0.076,0.769,132.979,209763,4,0,0,0,0,0,26,0,0,0,1,2001,20.9
Roxy Roller,SWEENEY TODD featuring NICK GILDER,0.574325427,0.407396753,110,99,2,0.445,0.694,9,-5.521,0.0345,0.0146,0,0.121,0.521,116.203,168680,4,1,0,0,0,0,11,0,0,0,1,1976,26.9
I'll Take Her,AL SKRATCH,0.712280152,0.67929731,87,62,14,0.627,0.672,11,-7.459,0.222,0.102,0,0.461,0.786,85.115,293173,4,0,0,0,0,0,27,0,0,4,1,1994,21.8
Night Walk,VAN McCOY,0.514072573,0.591491318,106,96,8,0.584,0.758,7,-9.625,0.0325,0.038,0.518,0.38,0.629,109.44,310893,4,0,0,0,1,3,46,1,0,0,3,1976,26.9
Upgrade U,BEYONCE featuring JAY-Z,0.905324806,0.8389567,92,59,8,0.593,0.68,7,-5.556,0.335,0.00182,4.84E-05,0.31,0.483,84.547,273053,4,0,0,0,22,62,92,1,2,0,1,2006,21
