Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,days_before_charting,TopSongsArtist100,Entry_Year,Age_Percentage_15_30
Imagine The Swan,THE ZOMBIES,0.587888567,0.538060138,116,109,3,0.456,0.667,5,-10.387,0.0312,0.546,5.95E-06,0.129,0.284,100.956,193867,3,0,0,0,0,0,63,0,0,0,0,1969,23.5
There's A Meetin' Here Tonite,JOE AND EDDIE,0.360705939,0.248730815,131,116,3,0.554,0.629,1,-9.019,0.0817,0.207,0,0.112,0.788,125.29,193047,4,0,0,0,0,7,3,0,0,0,0,1964,21.2
Sunshine Girl,THE PARADE,0.512061113,0.455399168,127,20,9,0.454,0.405,7,-12.189,0.0389,0.144,0.00513,0.0728,0.452,139.185,166213,4,0,0,0,0,0,6,0,0,0,1,1967,22.5
"Get Down, Get Down (Get On The Floor)",JOE SIMON,0.434548372,0.709470646,108,8,18,0.689,0.559,8,-9.203,0.0377,0.196,0,0.148,0.789,113.801,176920,4,0,0,0,0,7,57.77835159,0,2,0,22,1975,26.7
The Moon Was Yellow,FRANK SINATRA,0.615377237,0.547645572,99,99,1,0.252,0.507,9,-14.472,0.226,0.79,0.000487,0.981,0.385,168.59,176373,4,0,0,1,9,31,82,0,0,0,19,1962,20.2
Sun Arise,ROLF HARRIS,0.602728328,0.457076534,118,61,8,0.537,0.378,5,-12.787,0.0569,0.874,0,0.108,0.703,110.508,146293,4,0,0,0,0,0,31,0,0,0,1,1963,20.8
Here's To Our Love,BRIAN HYLAND,0.284779568,0.366637155,130,129,2,0.458,0.334,11,-14.361,0.0273,0.928,0.000274,0.841,0.584,93.216,144980,3,0,0,0,0,0,49,2,1,0,11,1964,21.2
Gotta Tell You,SAMANTHA MUMBA,0.764607983,0.799432754,85,4,22,0.729,0.752,0,-4.478,0.028,0.229,0,0.19,0.792,110.007,201067,4,0,0,0,0,0,57.77835159,0,1,99,0,2000,20.9
Tilt Ya Head Back,NELLY &amp; CHRISTINA AGUILERA,0.777625389,0.783394133,75,58,6,0.834,0.714,10,-5.743,0.182,0.041,0,0.279,0.728,115.743,253253,4,0,0,0,3,12,80,0,0,0,1,2004,20.9
Can't Get Enough Of Your Love,TAYLOR DAYNE,0.766902395,0.749657845,62,20,20,0.688,0.743,5,-8.483,0.034,0.0212,9.02E-05,0.106,0.642,108.178,266533,4,0,0,0,0,2,62,1,5,0,3,1993,22.2
Do The Temptation Walk,JACKIE LEE,0.415346898,0.29770546,123,113,3,0.595,0.829,0,-6.562,0.0396,0.343,0,0.161,0.924,137.67,153567,4,0,0,0,0,0,14,0,0,0,1,1966,22.1
"Baby, Come To Me",PATTI AUSTIN with JAMES INGRAM,0.673642793,0.793329206,91,1,28,0.622,0.522,7,-10.759,0.0623,0.729,4.45E-06,0.128,0.699,90.193,217600,4,0,0,0,1,6,53,1,0,0,0,1982,27.1
A Bad Goodbye,CLINT BLACK,0.73983155,0.731095239,94,43,11,0.383,0.238,11,-11.598,0.0315,0.799,0,0.115,0.216,146.273,219507,4,0,0,0,1,11,61,0,0,40,3,1993,22.2
Down Home,RICK NELSON,0.393917846,0.42731152,126,126,1,0.685,0.543,0,-8.679,0.0348,0.472,0.000106,0.109,0.681,87.273,262653,4,0,0,0,1,1,57.77835159,0,1,0,2,1963,20.8
"Married, But Not To Each Other",DENISE LaSALLE,0.287165997,0.51609337,102,102,5,0.52,0.427,9,-11.381,0.05,0.335,0,0.335,0.321,76.825,224827,4,0,0,0,0,0,37,0,0,0,3,1976,26.9
American Pie,MADONNA,0.764113833,0.774514206,43,29,9,0.631,0.734,5,-7.48,0.036,0.348,0,0.135,0.591,124.036,273533,4,0,0,0,7,28,79,10,20,0,12,2000,20.9
I Don't Wanna Be In Love (Dance Floor Anthem),GOOD CHARLOTTE,0.863905109,0.872806745,88,25,21,0.64,0.884,6,-2.609,0.0428,0.0226,0,0.187,0.573,124.968,244000,4,1,0,0,0,0,72,0,0,84,4,2007,20.9
Distant Shores,CHAD &amp; JEREMY,0.624705663,0.568775921,98,30,9,0.574,0.448,9,-11.585,0.0274,0.458,0.282,0.136,0.593,109.157,164627,4,0,0,0,0,0,39,0,0,0,5,1966,22.1
Heighdy Ho Princess,THE NEON PHILHARMONIC,0.352621731,0.367052589,117,94,3,0.595,0.587,11,-11.192,0.0315,0.125,0.000214,0.457,0.586,103.862,205360,4,0,0,0,0,0,13,0,0,0,1,1970,24
Lolita Ya-Ya,THE VENTURES,0.60354119,0.493792478,109,61,8,0.615,0.427,3,-13.584,0.0381,0.698,0.491,0.194,0.611,132.743,128360,4,0,0,0,0,0,52,0,2,0,2,1962,20.2
Hot Summer Nights,NIGHT,0.662585049,0.594300964,85,18,15,0.723,0.649,8,-7.233,0.0393,0.335,0.0306,0.838,0.65,121.317,203050,4,0,0,0,0,0,19,0,0,0,2,1979,27.4
Somebody,REBA McENTIRE,0.78006208,0.794695327,78,35,17,0.52,0.525,8,-6.991,0.0305,0.252,0,0.0666,0.227,72.794,273027,4,0,0,0,2,14,65,0,0,0,5,2004,20.9
Landed,BEN FOLDS,0.763073296,0.804322708,97,77,2,0.413,0.684,10,-6.099,0.0291,0.0557,4.76E-05,0.244,0.306,83.199,266773,4,1,0,0,0,0,59,0,0,50,2,2005,21
