Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
You Haven't Done Nothin',STEVIE WONDER,1974-08-03,93,1,19
You Ain't Seen Nothing Yet,BACHMAN-TURNER OVERDRIVE,1974-09-14,103,1,18
Jazzman,CAROLE KING,1974-08-31,86,2,16
The Bitch Is Back,ELTON JOHN,1974-09-07,63,4,14
Can't Get Enough,BAD COMPANY,1974-08-03,102,5,17
Whatever Gets You Through The Night,JOHN LENNON,1974-09-28,53,1,15
Steppin' Out,TONY ORLANDO &amp; DAWN,1974-08-24,81,7,13
Sweet Home Alabama,LYNYRD SKYNYRD,1974-07-27,93,8,17
Stop & Smell The Roses,MAC DAVIS,1974-08-24,83,9,14
Tin Man,AMERICA,1974-08-10,106,4,20
Back Home Again,JOHN DENVER,1974-09-21,70,5,16
Life Is A Rock,REUNION,1974-09-07,90,8,15
Carefree Highway,GORDON LIGHTFOOT,1974-08-31,88,10,14
Do It (Til You're Satisfied),B.T. EXPRESS,1974-09-28,60,2,18
Then Came You,DIONNE WARWICK &amp; THE SPINNERS,1974-07-27,51,1,19
Do It Baby,MIRACLES,1974-08-24,75,13,15
My Melody Of Love,BOBBY VINTON,1974-09-14,106,3,18
The Need To Be,JIM WEATHERLEY,1974-09-07,104,11,17
Everlasting Love,CARL CARLTON,1974-09-21,87,6,15
Overnight Sensation,RASPBERRIES,1974-09-14,88,18,12
Love Me For A Reason,OSMONDS,1974-08-31,83,10,13
Longfellow Serenade,NEIL DIAMOND,1974-10-05,59,5,15
Love Don't Love Nobody,SPINNERS,1974-09-21,84,15,13
I've Got The Music In Me,KIKI DEE,1974-09-07,107,12,21
I Can Help,BILLY SWAN,1974-09-28,90,1,18
When Will I See You Again,THREE DEGREES,1974-09-21,106,2,19
Honey Honey,ABBA,1974-09-14,89,27,10
Distant Lover,MARVIN GAYE,1974-09-28,85,28,9
So You Are A Star,HUDSON BROTHERS,1974-09-14,110,21,15
Rockin' Soul,HUES CORPORATION,1974-10-12,63,18,12
Wishing You Were Here,CHICAGO,1974-10-19,56,11,15
People Gotta Move,GINA VANNELLI,1974-09-14,104,22,14
Sha-La-La (Make Me Happy),AL GREEN,1974-09-28,87,7,19
Second Avenue,GARFUNKEL,1974-09-21,77,34,8
Play Something Sweet,THREE DOG NIGHT,1974-09-28,89,33,12
Angie Baby,HELEN REDDY,1974-10-19,60,1,17
Cat's In The Cradle,HARRY CHAPIN,1974-09-28,110,1,20
After The Goldrush,PRELUDE,1974-10-05,87,22,13
Nothing From Nothing,BILLY PRESTON,1974-07-13,70,1,18
You Got The Love,RUFUS &amp; CHAKA KHAN,1974-10-12,90,11,16
You Can Have Her,SAM NEELY,1974-09-07,110,34,13
I Honestly Love You,OLIVIA NEWTON-JOHN,1974-08-10,102,1,16
Devotion,"EARTH, WIND AND FIRE",1974-09-28,59,33,7
Skin Tight,OHIO PLAYERS,1974-08-31,101,13,12
You Little Trustmaker,THE TYMES,1974-08-10,105,12,14
Doraville,ATLANTIC RHYTHM SECTION,1974-09-21,110,35,10
She Called My Baby,CHARLIE RICH,1974-09-28,86,47,7
Promised Land,ELVIS PRESLEY,1974-10-26,86,14,13
La La Peace Song,AL WILSON,1974-10-05,94,30,10
I Can't Leave You Alone,GEORGE McCRAE,1974-10-12,80,50,6
Fairytale,POINTER SISTERS,1974-09-21,108,13,18
Beach Baby,FIRST CLASS,1974-07-20,74,4,17
The Black Eyed Boys,PAPER LACE,1974-10-12,88,41,9
Touch Me,FANCY,1974-10-12,87,19,10
Kung Fu Fighting,CARL DOUGLAS,1974-10-05,108,1,19
Virgin Man,SMOKEY ROBINSON,1974-09-28,82,56,7
Pretzel Logic,STEELY DAN,1974-10-12,89,57,5
In The Bottle,BROTHER TO BROTHER,1974-10-12,93,46,7
I Feel A Song,GLADYS KNIGHT AND THE PIPS,1974-10-12,92,21,17
You're The First The Last My Everything,BARRY WHITE,1974-11-02,60,2,15
Travellin' Shoes,ELVIN BISHOP,1974-09-28,109,61,7
La La Peace Song,O.C. SMITH,1974-09-28,91,62,7
Sugar Pie Guy,THE JONESES,1974-09-28,107,47,17
Heavy Fallin' Out,STYLISTICS,1974-10-19,90,41,11
Laughter In The Rain,NEIL SEDAKA,1974-10-19,95,1,20
Give It To The People,RIGHTEOUS BROTHERS,1974-09-07,77,20,9
Three Ring Circus,BLUE MAGIC,1974-10-19,87,36,9
Woman To Woman,SHIRLEY BROWN,1974-11-02,68,22,14
Early Morning Love,SAMMY JOHNS,1974-10-05,101,68,9
Ride 'Em Cowboy,PAUL DAVIS,1974-10-05,104,23,19
The Player,FIRST CHOICE,1974-09-07,106,70,9
Let's Straighten It Out,LATIMORE,1974-10-26,82,31,12
Ask Me,ECSTACY PASSION &amp; PAIN,1974-10-19,94,52,8
She's Gone,TAVARES,1974-09-21,102,50,18
Never My Love,BLUE SWEDE,1974-08-17,106,7,12
Fire Baby I'm On Fire,ANDY KIM,1974-10-26,87,28,9
Country Side Of Life,WET WILLIE,1974-10-12,103,66,6
Willie And The Hand Jive,ERIC CLAPTON,1974-11-02,78,26,9
Whatever You Got I Want,JACKSON FIVE,1974-10-26,89,38,11
Nobody,THE DOOBIE BROTHERS,1974-10-26,109,58,7
Live It Up,ISLEY BROTHERS,1974-07-27,97,52,16
Bungle In The Jungle,JETHRO TULL,1974-11-02,82,12,16
Give Me A Reason To Be Gone,MAUREEN McGOVERN,1974-10-19,96,71,7
Loose Booty,SLY AND THE FAMILY STONE,1974-10-19,89,84,4
Easy Street,EDGAR WINTER GROUP,1974-10-26,90,83,4
Don't Eat The Yellow Snow,FRANK ZAPPA,1974-10-12,109,86,5
Bring Back The Love Of Yesterday,THE DELLS,1974-10-19,106,87,4
Evil Boll-Weevil,GRAND CANYON,1974-10-26,108,72,6
Never Can Say Goodbye,GLORIA GAYNOR,1974-10-12,110,9,20
Sexy Ida (Part 1),IKE AND TINA TURNER,1974-10-26,107,65,9
Candy's Going Bad,GOLDEN EARRING,1974-10-19,98,91,4
Shoe Shoe Shine,THE DYNAMIC SUPERIORS,1974-10-12,107,68,10
Battle Of New Orleans,NITTY GRITTY DIRT BAND,1974-10-12,78,72,4
Earache My Eye,CHEECH &amp; CHONG,1974-08-10,92,9,13
Anorther Saturday Night,CAT STEVENS,1974-08-03,100,6,14
Straight Shootin' Woman,STEPPENWOLF,1974-09-07,81,29,9
Don't Send Nobody Else,ACE SPECTRUM,1974-09-28,83,57,6
Clap For The Wolfman,GUESS WHO,1974-07-13,105,6,17
Blood Is Thicker Than Water,WILLIAM DE VAUGHAN,1974-08-31,109,43,10
Papa Don't Take No Mess,JAMES BROWN,1974-08-24,86,31,11
Look Away,THE OZARK MOUNTAIN DAREDEVILS,1974-10-05,107,101,5
Time,THE MIGHTY CLOUDS OF JOY,1974-11-02,102,102,1
U.S. Of A,DONNA FARGO,1974-10-26,106,86,6
Feel Like Makin' Love,BOB JAMES,1974-10-12,106,88,6
Write Me A Letter,THE DeFRANCO FAMILY featuring TONY DeFRANCO,1974-09-28,108,104,6
Where Are All My Friends,HAROLD MELVIN AND THE BLUE NOTES,1974-11-02,106,80,7
I Keep On Lovin' You,Z.Z. HILL,1974-10-26,110,104,4
Pencil Thin Mustache,JIMMY BUFFETT,1974-11-02,108,106,4
Laughter In The Rain,LEA ROBERTS,1974-11-02,109,109,1
I'll Be Your Everything,PERCY SLEDGE,1974-11-02,110,62,8
