,Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
25,Find Another Girl,JERRY BUTLER,3/6/1961,74,27,10,11,306887,0.701,0.433,6.0,-12.626,0.0,0.0736,0.938,0.00109,0.14400000000000002,0.8009999999999999,126.96,167093.0,4.0,0,0,0,47.0,0,2,20
26,Ebony Eyes,BOB WELCH,1/28/1978,88,14,17,41,4367742,0.698,0.6759999999999999,11.0,-11.717,1.0,0.0277,0.0101,2.57e-05,0.11199999999999999,0.961,116.486,212760.0,4.0,0,0,0,40.0,0,1,4
27,Trust In Me,ETTA JAMES,3/13/1961,78,30,9,45,1389699,0.491,0.35700000000000004,10.0,-7.377999999999999,0.0,0.0325,0.841,0.0,0.128,0.584,96.235,181227.0,3.0,0,0,1,71.0,0,0,14
28,Fell In Love On Monday,FATS DOMINO,3/20/1961,84,32,6,19,1018,0.59,0.551,5.0,-6.893,1.0,0.0253,0.109,0.0,0.129,0.8740000000000001,110.08200000000001,115947.0,3.0,0,0,1,67.0,0,4,27
29,Happy Birthday Blues,KATHY YOUNG &amp; THE INNOCENTS,2/6/1961,114,30,12,4,63248,0.41,0.281,0.0,-7.172999999999999,1.0,0.0325,0.9359999999999999,3.17e-06,0.113,0.235,177.78599999999997,181573.0,3.0,0,0,0,18.0,0,1,1
30,Tenderly,BERT KAEMPFERT,3/27/1961,87,31,7,8,101053,0.40299999999999997,0.39299999999999996,3.0,-9.815,1.0,0.0277,0.316,0.69,0.275,0.369,103.113,192453.0,3.0,0,0,0,51.0,0,0,7
31,Some Kind Of Wonderful,SOUL BROTHER SIX,9/2/1967,129,129,2,13,197224,0.83,0.722,1.0,-4.845,1.0,0.0985,0.223,0.0,0.0974,0.679,125.819,157667.0,4.0,0,0,0,57.77835159102765,0,0,0
32,Daddy's Home,SHEP &amp; THE LIMELITES,3/27/1961,88,2,14,43,576026,0.493,0.12300000000000001,5.0,-13.875,1.0,0.0366,0.9390000000000001,8.58e-06,0.146,0.273,144.64,174200.0,3.0,0,0,0,34.0,0,1,1
33,That's It - I Quit - I'm Movin',SAM COOKE,3/6/1961,66,31,8,43,345397,0.6459999999999999,0.57,10.0,-7.101,1.0,0.121,0.753,0.0,0.121,0.925,120.1,151133.0,4.0,0,0,1,73.0,0,3,17
34,Bewildered,JAMES BROWN,2/13/1961,103,40,10,20,140736,0.46799999999999997,0.4,5.0,-9.843,1.0,0.0322,0.461,0.0,0.11199999999999999,0.43,104.929,146933.0,1.0,0,0,1,59.0,0,3,47
35,Just For Old Time's Sake,McGUIRE SISTERS,3/13/1961,89,20,14,4,21848,0.45399999999999996,0.353,11.0,-9.763,1.0,0.0294,0.9129999999999999,0.0,0.616,0.34700000000000003,124.759,169333.0,4.0,0,0,0,35.0,0,0,4
36,Shu Rah,FATS DOMINO,3/20/1961,97,32,7,20,36730,0.693,0.607,0.0,-6.577000000000001,1.0,0.0299,0.00394,0.862,0.0836,0.875,113.10799999999999,105933.0,4.0,0,0,1,67.0,0,4,27
37,One Eyed Jacks,FERRANTE &amp; TEICHER,3/20/1961,75,37,7,23,7127,0.358,0.294,7.0,-14.009,0.0,0.0295,0.85,0.87,0.24600000000000002,0.239,94.61200000000001,183307.0,4.0,0,0,0,45.0,0,1,2
38,Spanish Harlem,ARETHA FRANKLIN,7/31/1971,69,2,12,44,372583,0.688,0.8079999999999999,2.0,-8.207,1.0,0.0552,0.124,0.00158,0.126,0.883,115.801,211000.0,4.0,0,0,1,75.0,0,12,28
39,Bye Bye Baby,BIG BROTHER AND THE HOLDING COMPANY,9/9/1967,122,121,2,31,32806,0.616,0.36700000000000005,0.0,-12.655999999999999,1.0,0.0362,0.21600000000000003,0.12300000000000001,0.0848,0.636,106.33200000000001,157160.0,1.0,0,0,0,59.0,0,0,2
40,Theme From Dixie,DUANE EDDY,3/20/1961,93,39,7,3,164387,0.654,0.7070000000000001,4.0,-9.314,1.0,0.0255,0.275,0.9229999999999999,0.13,0.977,106.257,148733.0,4.0,0,0,0,47.0,0,2,14
41,Tonight I Fell In Love,TOKENS,3/6/1961,93,15,14,13,618417,0.308,0.7090000000000001,5.0,-9.29,1.0,0.0501,0.764,0.000192,0.11199999999999999,0.578,136.517,102284.0,4.0,0,0,0,54.0,0,0,5
