,Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
1715,Brother Love's Travelling Salvation Show,NEIL DIAMOND,2/22/1969,100,22,13,37,1382298,0.426,0.423,8.0,-11.595999999999998,1.0,0.0288,0.5660000000000001,0.00349,0.0903,0.816,135.256,211862.0,4.0,0,0,0,71.0,2,8,28
1716,The Chokin' Kind,JOE SIMON,3/15/1969,126,13,13,32,2087724,0.69,0.506,8.0,-12.530999999999999,1.0,0.0556,0.496,0.0030399999999999997,0.0883,0.848,98.781,160280.0,4.0,0,0,0,57.77835159102765,0,2,22
1717,Time Is Tight,BOOKER T AND THE MGS,3/15/1969,86,6,13,36,3103679,0.789,0.488,9.0,-11.748,0.0,0.0437,0.0875,0.894,0.10800000000000001,0.9440000000000001,134.549,194920.0,4.0,0,0,0,59.0,0,1,1
1718,Mendocino,SIR DOUGLAS QUINTET,1/4/1969,121,27,17,21,558258,0.585,0.65,9.0,-7.584,1.0,0.0294,0.753,4.57e-06,0.306,0.972,132.761,162720.0,4.0,2,0,0,37.0,0,0,3
1719,Try A Little Tenderness,ARETHA FRANKLIN,9/15/1962,104,100,4,28,473970,0.302,0.19,10.0,-13.805,1.0,0.0369,0.885,6.25e-05,0.27399999999999997,0.252,73.703,194613.0,3.0,0,0,1,75.0,0,12,28
1720,I Can Hear Music,THE RONETTES featuring VERONICA,10/22/1966,120,100,3,48,48633,0.511,0.603,2.0,-7.6370000000000005,1.0,0.027999999999999997,0.0385,1.67e-06,0.142,0.685,128.336,157293.0,4.0,0,0,0,65.0,0,0,1
1721,Is It Something You've Got,TYRONE DAVIS,3/22/1969,81,34,7,14,37150,0.59,0.746,11.0,-6.864,1.0,0.0658,0.153,0.0,0.15,0.929,106.04799999999999,156880.0,4.0,0,0,0,46.0,0,2,11
1722,Snatching It Back,CLARENCE CARTER,3/1/1969,90,31,10,55,80357,0.6679999999999999,0.687,1.0,-9.999,1.0,0.0562,0.534,3.3e-05,0.233,0.919,101.854,170160.0,4.0,0,0,0,53.0,0,1,10
1723,My Way,FETTY WAP featuring MONTY,8/1/2015,87,7,21,70,153588453,0.748,0.741,6.0,-3.103,1.0,0.0531,0.00419,0.0,0.147,0.537,128.077,213053.0,4.0,0,0,0,86.0,0,1,1
1724,Will You Be Staying After Sunday,PEPPERMINT RAINBOW,3/1/1969,117,32,12,13,607906,0.319,0.746,3.0,-6.973,1.0,0.0575,0.226,6.23e-06,0.27,0.218,132.436,208027.0,4.0,0,0,0,10.0,0,0,2
1725,First Of May,BEE GEES,3/15/1969,102,37,8,30,3913479,0.332,0.243,2.0,-15.533,1.0,0.0325,0.507,7.7e-06,0.0592,0.22699999999999998,61.669,170493.0,4.0,0,0,1,77.0,3,3,8
1726,Johnny One Time,BRENDA LEE,1/25/1969,120,41,13,21,137026,0.589,0.48,7.0,-10.205,1.0,0.0289,0.129,0.0,0.10400000000000001,0.45799999999999996,99.13600000000001,222947.0,4.0,0,0,1,63.0,2,8,15
1727,Don't Touch Me,BETTYE SWANN,2/15/1969,125,38,13,22,4310,0.5820000000000001,0.28,9.0,-13.936,1.0,0.0289,0.8590000000000001,0.11199999999999999,0.092,0.57,102.11,153987.0,3.0,0,0,0,48.0,0,0,4
1728,The Way It Used To Be,ENGELBERT HUMPERDINCK,2/22/1969,128,42,12,45,1007458,0.391,0.41700000000000004,8.0,-12.886,1.0,0.0314,0.731,0.00337,0.20600000000000002,0.499,98.111,187433.0,3.0,0,0,0,61.0,0,2,15
1729,Wishful Sinful,DOORS,3/29/1969,79,44,6,44,89038,0.44299999999999995,0.294,7.0,-14.800999999999998,1.0,0.0296,0.72,0.000149,0.0997,0.49200000000000005,115.376,175827.0,4.0,0,0,0,78.0,0,0,3
1730,Mercy,"KANYE WEST, BIG SEAN, PUSHA T, 2 CHAINZ",4/21/2012,38,13,32,68,158937899,0.737,0.545,6.0,-8.536,0.0,0.36200000000000004,0.0855,9.32e-05,0.153,0.44299999999999995,140.086,332453.0,4.0,0,0,0,93.0,0,0,1
1731,Apricot Brandy,RHINOCEROS,2/22/1969,82,46,10,13,57079,0.515,0.915,11.0,-8.147,1.0,0.0522,0.0658,0.8079999999999999,0.0899,0.6890000000000001,127.885,118440.0,4.0,0,0,0,13.0,0,0,1
1732,It's Only Love,ZZ TOP,9/11/1976,88,44,11,35,107090,0.7,0.5920000000000001,11.0,-10.434000000000001,1.0,0.0681,0.10800000000000001,0.0184,0.11800000000000001,0.9059999999999999,109.84700000000001,263627.0,4.0,0,0,0,73.0,0,2,12
1733,To Know You Is To Love You,B.B. KING,8/4/1973,84,38,14,27,719223,0.87,0.391,0.0,-16.171,1.0,0.0424,0.418,0.23600000000000002,0.0698,0.9209999999999999,102.596,515000.0,4.0,0,0,1,69.0,0,0,22
1734,The Boxer,SIMON &amp; GARFUNKEL,4/5/1969,116,7,11,66,24262818,0.439,0.488,11.0,-14.464,1.0,0.0615,0.7020000000000001,0.000339,0.16,0.629,93.01700000000001,308520.0,4.0,0,0,1,77.0,0,4,0
1735,I Like What You're Doing,CARLA THOMAS,2/15/1969,98,49,11,15,29871,0.7140000000000001,0.349,4.0,-13.805,1.0,0.0414,0.0219,0.0,0.157,0.84,114.10700000000001,176320.0,4.0,0,0,0,58.0,0,0,13
1736,Mini-Skirt Minnie,WILSON PICKETT,3/22/1969,101,50,7,11,19191,0.685,0.502,9.0,-15.062999999999999,1.0,0.0608,0.20800000000000002,0.000144,0.043,0.836,97.712,180040.0,4.0,0,0,0,57.77835159102765,0,1,21
1737,I Don't Want Nobody To Give Me Nothing,JAMES BROWN,4/5/1969,61,20,8,14,29341,0.745,0.506,7.0,-11.062000000000001,1.0,0.0492,0.294,0.0,0.1,0.82,110.73,185200.0,4.0,0,0,1,59.0,0,3,47
1738,Move A Little Closer Baby,MAMA CASS,3/15/1969,92,58,6,20,68523,0.612,0.449,5.0,-12.554,0.0,0.0376,0.496,0.0007700000000000001,0.0541,0.8909999999999999,121.56700000000001,158227.0,4.0,0,0,0,45.0,0,0,5
1739,Nothing But A Heartache,FLIRTATIONS,2/1/1969,131,34,19,42,454736,0.5539999999999999,0.899,8.0,-8.04,1.0,0.0447,0.00235,2.57e-05,0.0731,0.742,111.934,160600.0,4.0,0,0,0,38.0,0,0,1
1740,Atlantis,DONOVAN,3/29/1969,126,7,14,46,4786293,0.326,0.313,0.0,-16.17,1.0,0.0348,0.177,0.0005690000000000001,0.0828,0.344,76.785,302640.0,4.0,0,0,0,63.0,1,3,9
1741,Pinball Wizard,THE WHO,4/5/1969,73,19,11,61,9197447,0.537,0.716,2.0,-8.766,1.0,0.038,0.0192,0.0,0.245,0.452,122.87299999999999,180943.0,4.0,0,0,0,75.0,0,1,23
1742,Ice Cream Song,DYNAMICS,3/22/1969,87,59,7,14,63551,0.632,0.509,6.0,-11.002,0.0,0.0245,0.37200000000000005,0.000749,0.0716,0.624,90.68799999999999,198333.0,4.0,0,0,0,46.0,0,0,1
1743,Didn't You Know,GLADYS KNIGHT AND THE PIPS,3/8/1969,88,63,7,12,244619,0.47600000000000003,0.51,8.0,-9.326,1.0,0.0383,0.601,0.000164,0.401,0.638,148.16899999999998,214893.0,4.0,0,0,0,61.0,1,6,25
1744,In The Bad Bad Old Days,FOUNDATIONS,4/5/1969,77,51,7,13,63504,0.49200000000000005,0.902,0.0,-5.079,1.0,0.0857,0.18899999999999997,0.0,0.341,0.693,126.163,200627.0,4.0,0,0,0,60.0,0,1,2
1745,In The Still Of The Night,PAUL ANKA,3/15/1969,103,64,7,1,24729,0.489,0.315,1.0,-16.366,0.0,0.0379,0.9179999999999999,0.22,0.317,0.647,95.20700000000001,49307.0,3.0,0,0,0,65.0,2,7,20
1746,These Eyes,JUNIOR WALKER &amp; THE ALL STARS,10/25/1969,91,16,13,34,151191,0.48,0.8270000000000001,10.0,-5.24,1.0,0.036000000000000004,0.0875,0.00047999999999999996,0.253,0.501,99.45200000000001,214693.0,4.0,0,0,0,58.0,0,1,3
1747,Time Was,CANNED HEAT,3/8/1969,125,67,6,42,360130,0.6459999999999999,0.546,0.0,-14.012,1.0,0.0321,0.49200000000000005,0.316,0.22699999999999998,0.7959999999999999,97.946,201773.0,4.0,0,0,0,59.0,0,0,4
1748,Gitarzan,RAY STEVENS,3/22/1969,135,8,15,24,1151865,0.435,0.804,0.0,-8.48,1.0,0.16899999999999998,0.466,0.0,0.9420000000000001,0.727,93.83,187040.0,3.0,0,0,0,43.0,2,2,14
1749,More Today Than Yesterday,SPIRAL STAIRCASE,3/15/1969,115,12,18,7,4296688,0.539,0.504,7.0,-16.565,1.0,0.0322,0.0007469999999999999,0.0,0.0455,0.7959999999999999,145.436,168307.0,4.0,1,0,0,4.0,0,0,2
1750,Foolish Fool,DEE DEE WARWICK,2/22/1969,111,57,12,13,85494,0.59,0.6779999999999999,10.0,-8.851,1.0,0.0669,0.611,5.4e-06,0.244,0.703,80.194,206573.0,4.0,0,0,0,31.0,0,0,4
1751,Tracks Of My Tears,MIRACLES,7/10/1965,103,16,13,56,9631163,0.488,0.335,7.0,-10.789000000000001,1.0,0.0268,0.664,0.0,0.17300000000000001,0.708,96.333,174360.0,4.0,0,0,0,51.0,1,0,12
1752,Love (Can Make You Happy),MERCY,4/5/1969,122,2,14,28,887794,0.28300000000000003,0.254,4.0,-14.306,0.0,0.0314,0.142,1.22e-05,0.155,0.309,172.22799999999998,208293.0,4.0,0,0,0,22.0,0,1,0
1753,Where Do You Go To My Lovely,PETER SARSTEDT,3/29/1969,102,70,7,52,11273667,0.555,0.447,2.0,-7.537000000000001,0.0,0.035,0.28300000000000003,6.18e-05,0.139,0.451,182.699,287720.0,3.0,0,0,0,48.0,0,0,2
1754,Happy Heart,PETULA CLARK,4/5/1969,120,62,6,17,215797,0.424,0.428,8.0,-9.129,1.0,0.0259,0.6859999999999999,0.0,0.182,0.285,95.133,208800.0,4.0,0,0,0,53.0,0,4,11
1755,Badge,CREAM,4/5/1969,87,60,5,45,2732411,0.593,0.555,7.0,-14.290999999999999,1.0,0.038,0.461,9.96e-05,0.084,0.7709999999999999,106.04,167840.0,4.0,0,0,0,69.0,0,2,2
1756,There Never Was A Time,JEANNIE C. RILEY,3/22/1969,112,77,5,5,56800,0.7090000000000001,0.23600000000000002,0.0,-16.742,0.0,0.0575,0.772,0.0,0.152,0.92,89.044,160480.0,4.0,0,0,0,39.0,0,0,3
1757,Buying A Book,JOE TEX,4/5/1969,130,47,9,8,363808,0.507,0.431,11.0,-14.884,1.0,0.136,0.7979999999999999,0.0,0.11800000000000001,0.8240000000000001,129.327,213240.0,3.0,0,0,0,42.0,0,2,19
1758,Zazueira,HERB ALPERT &amp; THE TIJUANA BRASS,3/22/1969,116,78,6,8,24530,0.43200000000000005,0.652,10.0,-10.405999999999999,1.0,0.0316,0.205,0.0138,0.128,0.862,187.519,194640.0,4.0,0,0,0,53.0,0,0,5
1759,Stand,R.E.M.,1/21/1989,97,6,19,43,5713312,0.652,0.7440000000000001,4.0,-10.054,1.0,0.0284,0.43200000000000005,0.0,0.0895,0.94,109.307,192960.0,4.0,0,0,0,77.0,0,3,17
1760,Good Times Bad Times,LED ZEPPELIN,3/29/1969,94,80,4,69,812457,0.47600000000000003,0.7170000000000001,9.0,-9.192,1.0,0.0949,0.0382,7.609999999999999e-05,0.0818,0.753,93.584,166267.0,4.0,2,0,1,83.0,0,1,8
1761,Seattle,PERRY COMO,3/22/1969,124,38,13,12,75491,0.515,0.721,7.0,-8.671,1.0,0.04,0.695,0.000519,0.35200000000000004,0.8109999999999999,155.46200000000002,169693.0,4.0,0,0,1,65.0,0,0,6
1762,Love Is All I Have To Give,CHECKMATES LTD,4/5/1969,86,65,7,3,8670,0.248,0.8079999999999999,10.0,-5.542000000000001,1.0,0.0614,0.8320000000000001,0.0295,0.184,0.488,76.332,255827.0,4.0,0,0,0,7.0,0,0,1
1763,Morning Girl,NEON PHILHARMONIC,3/22/1969,104,17,14,15,394035,0.258,0.444,2.0,-10.512,1.0,0.0466,0.51,0.000383,0.213,0.46799999999999997,183.315,133143.0,3.0,0,0,0,13.0,0,0,2
1764,The River Is Wide,GRASS ROOTS,4/5/1969,112,31,12,40,241506,0.647,0.621,10.0,-9.929,1.0,0.0313,0.28800000000000003,0.000426,0.29100000000000004,0.691,117.031,160267.0,4.0,0,0,0,53.0,0,0,6
1765,Give It Away,GEORGE STRAIT,8/19/2006,99,35,19,59,3243372,0.669,0.6509999999999999,5.0,-5.79,1.0,0.0275,0.47200000000000003,0.000109,0.272,0.605,148.091,209320.0,4.0,0,0,0,76.0,0,0,29
1766,When You Dance,JAY AND THE AMERICANS,3/29/1969,127,70,6,4,39790,0.508,0.737,7.0,-9.167,1.0,0.0514,0.55,1.4999999999999999e-05,0.449,0.6829999999999999,134.313,171267.0,4.0,0,0,0,58.0,0,2,10
1767,A Million To One,JIMMY CHARLES,8/22/1960,95,5,15,15,509258,0.42100000000000004,0.185,10.0,-13.347000000000001,1.0,0.0285,0.795,0.0,0.147,0.361,101.685,150613.0,3.0,0,0,0,14.0,0,1,1
1768,Breakfast In Bed,DUSTY SPRINGFIELD,3/15/1969,114,91,6,30,212994,0.371,0.42100000000000004,10.0,-12.079,1.0,0.0276,0.591,1.18e-06,0.0767,0.363,79.7,177960.0,4.0,1,0,0,67.0,0,4,11
1769,Any Day Now,RONNIE MILSAP,5/1/1982,81,14,16,34,922616,0.6629999999999999,0.561,5.0,-7.971,1.0,0.0248,0.0849,4.79e-05,0.0725,0.605,102.911,222427.0,4.0,0,0,0,55.0,0,1,12
1770,Cissy Strut,METERS,4/12/1969,93,23,11,61,4698086,0.53,0.8109999999999999,0.0,-9.343,1.0,0.0997,0.115,0.831,0.348,0.708,176.142,181840.0,4.0,0,0,0,59.0,0,0,2
1771,I Love My Baby,ARCHIE BELL AND THE DRELLS,3/29/1969,100,94,3,9,7085,0.42700000000000005,0.579,0.0,-9.509,0.0,0.0512,0.609,0.000735,0.6759999999999999,0.8959999999999999,175.092,160213.0,4.0,0,0,0,43.0,0,1,5
1772,Idaho,THE FOUR SEASONS,3/29/1969,125,95,4,48,9377,0.551,0.882,2.0,-6.808,1.0,0.0454,0.007240000000000001,1.13e-05,0.322,0.888,166.403,216360.0,4.0,0,0,0,68.0,1,5,8
1773,Rhythm Of The Rain,GARY LEWIS AND THE PLAYBOYS,3/22/1969,109,63,14,12,9911,0.56,0.523,6.0,-9.597999999999999,1.0,0.0288,0.35200000000000004,2.52e-06,0.397,0.9259999999999999,126.491,134867.0,4.0,0,0,0,43.0,0,5,7
1774,It's A Groovy World,THE UNIFICS,3/22/1969,127,97,5,3,6652,0.65,0.597,2.0,-8.767999999999999,1.0,0.0603,0.37,0.0,0.11900000000000001,0.782,136.101,158373.0,4.0,0,0,0,57.77835159102765,0,0,3
1775,I Can't Get Enough,THE DELLS,4/5/1969,107,98,3,12,194821,0.40299999999999997,0.925,2.0,-4.445,1.0,0.062,0.000195,0.612,0.127,0.365,118.962,176720.0,4.0,0,0,0,57.77835159102765,0,1,10
1776,Singing My Song,TAMMY WYNETTE,4/5/1969,131,75,6,28,329417,0.539,0.273,8.0,-11.254000000000001,1.0,0.0297,0.675,4.4e-05,0.264,0.467,114.43299999999999,142067.0,4.0,0,0,0,57.0,0,0,8
1777,Born Again,SAM AND DAVE,3/15/1969,106,92,5,13,14565,0.48100000000000004,0.46399999999999997,10.0,-9.273,1.0,0.0354,0.299,0.0,0.0697,0.638,106.213,159147.0,4.0,0,0,0,64.0,0,1,6
1778,Baby Driver,SIMON AND GARFUNKEL,5/10/1969,101,101,3,61,517008,0.445,0.68,8.0,-11.338,1.0,0.0528,0.37799999999999995,0.00020899999999999998,0.102,0.75,163.664,195760.0,4.0,2,0,1,77.0,2,1,7
1779,Albatross,FLEETWOOD MAC,3/22/1969,108,104,4,46,3532086,0.321,0.0631,6.0,-21.616,0.0,0.0351,0.833,0.83,0.141,0.264,135.605,191107.0,4.0,2,0,0,83.0,0,4,11
1780,With Pen In Hand,BOBBY GOLDSBORO,9/16/1972,100,94,5,27,216178,0.379,0.371,9.0,-9.374,1.0,0.0312,0.534,0.000132,0.0965,0.373,138.654,221707.0,4.0,0,0,0,48.0,0,1,17
1781,Sorry Suzanne,HOLLIES,4/12/1969,106,56,9,48,337988,0.585,0.725,0.0,-7.337000000000001,1.0,0.0339,0.0424,0.0,0.209,0.711,123.77,182467.0,4.0,0,0,0,67.0,0,3,2
1782,I Stand Accused,JERRY BUTLER,7/25/1964,110,61,9,16,100863,0.49700000000000005,0.469,9.0,-9.742,1.0,0.0252,0.889,0.0899,0.309,0.46799999999999997,86.47399999999999,180640.0,3.0,0,0,0,47.0,0,2,20
1783,Love Is Just A Four-Letter Word,JOAN BAEZ,4/12/1969,109,86,6,34,1172545,0.516,0.32899999999999996,7.0,-12.152000000000001,1.0,0.0291,0.152,0.0,0.248,0.62,81.013,268600.0,4.0,0,0,1,58.0,0,1,8
1784,"You Came, You Saw, You Conquered",THE RONETTES,4/5/1969,125,108,4,26,25049,0.40700000000000003,0.7829999999999999,0.0,-6.724,1.0,0.0614,0.386,0.0115,0.51,0.672,135.981,172227.0,4.0,0,0,0,65.0,0,1,1
1785,Greensleeves,MASON WILLIAMS,4/12/1969,114,90,5,18,67476,0.524,0.5670000000000001,9.0,-12.231,0.0,0.0326,0.27399999999999997,0.312,0.0926,0.935,81.977,162867.0,4.0,0,0,0,40.0,0,1,3
1786,Hurting Each Other,THE CARPENTERS,1/15/1972,76,2,12,33,4871543,0.29600000000000004,0.33399999999999996,4.0,-9.14,1.0,0.0534,0.737,0.0,0.309,0.326,198.753,168533.0,5.0,0,0,0,70.0,0,3,7
1787,Run On,ARTHUR CONLEY,4/12/1969,116,115,2,4,273,0.736,0.622,4.0,-4.64,1.0,0.0486,0.488,0.000562,0.312,0.9640000000000001,168.739,129373.0,4.0,0,0,0,49.0,0,1,5
1788,Baby Make Me Feel So Good,THE FIVE STAIRSTEPS AND CUBIE,2/15/1969,120,101,5,19,60283,0.474,0.518,4.0,-7.97,1.0,0.0299,0.226,6.23e-05,0.44299999999999995,0.598,74.895,165200.0,4.0,0,0,0,58.0,0,0,4
1789,Earth Angel (Will You Be Mine),THE VOGUES,4/12/1969,120,42,7,7,17654,0.147,0.47600000000000003,5.0,-11.05,1.0,0.0402,0.782,0.0,0.146,0.511,202.12,153653.0,3.0,0,0,0,41.0,0,1,5
1790,I'm Alive,KENNY CHESNEY with DAVE MATTHEWS,9/5/2009,90,32,16,42,3118319,0.665,0.205,3.0,-13.02,1.0,0.0329,0.735,0.00037999999999999997,0.105,0.36200000000000004,77.982,199000.0,4.0,0,0,0,77.0,0,0,1
1791,Rhythm Of Life,SAMMY DAVIS JR.,4/5/1969,126,124,3,19,212817,0.784,0.705,0.0,-4.489,1.0,0.14400000000000002,0.7509999999999999,0.0,0.7340000000000001,0.8140000000000001,86.87200000000001,233280.0,4.0,0,0,1,56.0,0,0,3
1792,Just A Little Bit,ROY HEAD,10/23/1965,135,39,8,1,34131,0.5870000000000001,0.6779999999999999,1.0,-9.2,1.0,0.14300000000000002,0.451,0.000102,0.121,0.972,80.285,106587.0,4.0,0,0,0,12.0,0,1,2
1793,Never Gonna Let Him Know,DEBBIE TAYLOR,4/5/1969,132,86,9,15,13043,0.336,0.725,0.0,-4.681,1.0,0.0573,0.7020000000000001,0.0,0.268,0.833,174.22799999999998,176053.0,4.0,0,0,0,10.0,0,0,1
1794,(We've Got) Honey Love,MARTHA REEVES AND THE VANDELLAS,4/12/1969,128,56,7,4,5488,0.672,0.872,1.0,-3.29,1.0,0.0937,0.282,1.47e-05,0.289,0.8220000000000001,116.199,161707.0,4.0,0,0,0,62.0,0,0,6
1795,Every Little Bit Hurts,BRENDA HOLLOWAY,4/25/1964,102,13,11,46,265829,0.434,0.485,0.0,-7.947,1.0,0.0294,0.483,0.0,0.16899999999999998,0.418,143.314,174173.0,3.0,0,0,0,47.0,0,0,4
1796,It's A Miracle,BARRY MANILOW,3/1/1975,82,12,13,30,356582,0.7609999999999999,0.856,8.0,-7.89,1.0,0.0491,0.182,0.00233,0.0943,0.9520000000000001,129.957,231493.0,4.0,0,0,0,66.0,3,7,12
1797,We Can't Go On This Way,TEDDY AND THE PANDAS,8/20/1966,121,103,5,0,30382,0.493,0.7070000000000001,4.0,-8.202,1.0,0.0248,0.5870000000000001,3.6099999999999997e-05,0.0763,0.8809999999999999,104.80799999999999,163800.0,4.0,0,0,0,57.77835159102765,0,0,0
1798,Sing A Simple Song,WEST STREET MOB,4/17/1982,92,89,4,5,2478,0.733,0.792,2.0,-8.227,1.0,0.10300000000000001,0.21,0.00020800000000000001,0.113,0.879,100.42200000000001,323813.0,4.0,0,0,0,24.0,0,0,1
1799,Philadelphia Freedom,ELTON JOHN BAND,3/8/1975,53,1,21,27,1974276,0.698,0.841,0.0,-5.531000000000001,0.0,0.0339,0.08900000000000001,3.71e-06,0.11599999999999999,0.7759999999999999,126.09,330100.0,4.0,0,0,0,57.77835159102765,1,0,0
1800,Lovin' You,MINNIE RIPERTON,1/11/1975,107,1,19,51,28221336,0.5479999999999999,0.33,9.0,-8.998,1.0,0.044000000000000004,0.9009999999999999,0.0,0.0934,0.309,123.602,226583.0,4.0,6,0,0,56.0,1,0,1
1801,Express,B.T. EXPRESS,1/25/1975,85,4,15,41,1117396,0.664,0.6759999999999999,0.0,-11.276,1.0,0.0347,0.000113,0.0989,0.0731,0.532,108.15799999999999,308013.0,4.0,0,0,0,52.0,0,2,2
1802,Poetry Man,PHOEBE SNOW,1/4/1975,95,5,18,36,1627084,0.511,0.242,7.0,-15.735,1.0,0.0318,0.41,0.0,0.111,0.596,131.82,278800.0,4.0,1,0,0,40.0,0,1,0
1803,Lady Marmalade,"CHRISTINA AGUILERA, LIL' KIM, MYA &amp; PINK",4/14/2001,70,1,20,62,221391288,0.7509999999999999,0.7659999999999999,5.0,-3.594,1.0,0.0515,0.0174,8.07e-06,0.6579999999999999,0.6729999999999999,109.897,264847.0,4.0,0,0,0,82.0,1,0,0
1804,What Am I Gonna Do With You,SKEETER DAVIS,11/7/1964,123,123,1,6,14159,0.506,0.359,0.0,-9.763,1.0,0.0249,0.848,0.0,0.155,0.299,93.68799999999999,162120.0,4.0,0,0,0,50.0,0,2,6
1805,Once You Get Started,RUFUS &amp; CHAKA KHAN,2/15/1975,79,10,13,18,102310,0.637,0.634,10.0,-12.202,1.0,0.0535,0.107,0.00022999999999999998,0.321,0.9109999999999999,120.557,269760.0,4.0,0,0,0,50.0,0,1,1
1806,Emma,HOT CHOCOLATE,2/1/1975,106,8,15,41,5300019,0.633,0.608,2.0,-6.69,1.0,0.0905,0.317,0.00139,0.0788,0.767,100.625,232040.0,4.0,0,0,0,62.0,0,4,4
1807,Supernatural Thing,BEN E. KING,2/8/1975,85,5,14,51,178180,0.7240000000000001,0.579,10.0,-10.933,0.0,0.0575,0.201,0.00856,0.0724,0.833,94.92,251560.0,4.0,0,0,0,69.0,0,1,13
1808,Harry Truman,CHICAGO,2/22/1975,55,13,9,17,88205,0.49200000000000005,0.621,2.0,-8.582,1.0,0.0248,0.0274,0.0012,0.6970000000000001,0.653,93.053,180227.0,4.0,0,0,0,71.0,2,11,23
1809,Before The Next Teardrop Falls,FREDDY FENDER,2/1/1975,97,1,21,44,2288618,0.799,0.345,10.0,-11.52,1.0,0.0276,0.748,2.3899999999999998e-05,0.16899999999999998,0.7759999999999999,90.417,156874.0,4.0,0,0,0,50.0,1,1,2
1810,Walking In Rhythm,BLACKBYRDS,2/1/1975,101,6,18,31,933919,0.684,0.604,5.0,-13.852,1.0,0.0326,0.0171,7.24e-06,0.069,0.787,113.03,251867.0,4.0,0,0,0,36.0,0,1,3
1811,L.O.V.E. (Love),AL GREEN,3/1/1975,69,13,12,61,1253929,0.8220000000000001,0.457,6.0,-10.937000000000001,1.0,0.235,0.214,0.000397,0.0766,0.73,99.16,307063.0,4.0,0,0,1,71.0,0,6,8
1812,Shining Star,MANHATTANS,4/27/1980,90,5,25,50,9093082,0.551,0.43200000000000005,9.0,-11.717,1.0,0.0379,0.0291,0.0,0.0563,0.617,74.513,279400.0,4.0,0,0,0,56.0,1,1,2
1813,You Are So Beautiful,JOE COCKER,12/21/1974,102,5,20,49,27967714,0.387,0.19399999999999998,1.0,-10.829,1.0,0.031,0.83,0.00145,0.131,0.0862,121.7,159640.0,4.0,0,0,0,68.0,0,1,12
1814,Have You Never Been Mellow,OLIVIA NEWTON-JOHN,1/25/1975,63,1,16,41,3566155,0.542,0.324,0.0,-14.07,1.0,0.0329,0.5660000000000001,2.27e-06,0.0876,0.42100000000000004,121.802,213533.0,4.0,0,0,0,70.0,3,5,14
1815,Long Tall Glasses,LEO SAYER,2/22/1975,82,9,15,27,506450,0.687,0.841,9.0,-7.83,1.0,0.0601,0.624,0.0006219999999999999,0.115,0.7759999999999999,142.874,184493.0,3.0,0,0,0,55.0,2,2,4
1816,Jackie Blue,OZARK MOUNTAIN DAREDEVILS,2/1/1975,108,3,22,44,1223879,0.57,0.534,1.0,-9.785,1.0,0.027999999999999997,0.354,0.00346,0.0395,0.961,107.119,250120.0,4.0,1,0,0,45.0,0,1,2
1817,Satin Soul,LOVE UNLIMITED ORCHESTRA,2/1/1975,107,22,13,27,341452,0.665,0.578,8.0,-9.468,1.0,0.0336,0.0374,0.8320000000000001,0.136,0.826,107.068,254960.0,4.0,0,0,0,50.0,1,0,2
1818,He Don't Love You (Like I Love You),TONY ORLANDO &amp; DAWN,3/15/1975,55,1,14,29,578726,0.637,0.55,9.0,-12.378,1.0,0.0335,0.287,1.85e-05,0.345,0.805,119.303,219947.0,4.0,0,0,0,34.0,1,1,3
1819,Bertha Butt Boogie,JIMMY CASTOR BUNCH,2/22/1975,92,16,13,24,677400,0.838,0.573,0.0,-13.675,0.0,0.0499,0.0572,0.0017399999999999998,0.098,0.9179999999999999,98.73,371467.0,4.0,0,0,0,36.0,0,0,2
1820,Killer Queen,QUEEN,2/8/1975,98,12,19,60,57234677,0.568,0.642,10.0,-6.495,1.0,0.0447,0.34,0.0,0.171,0.604,117.305,179600.0,4.0,0,0,0,87.0,2,1,16
1821,My Eyes Adored You,FRANKIE VALLI,11/16/1974,103,1,24,51,10784255,0.446,0.489,11.0,-10.26,0.0,0.033,0.272,0.0,0.16,0.396,137.829,212627.0,4.0,0,0,0,63.0,2,2,4
1822,I Don't Like To Sleep Alone,PAUL ANKA,3/15/1975,71,8,15,35,2302746,0.505,0.368,10.0,-14.155999999999999,1.0,0.0301,0.33899999999999997,0.0040100000000000005,0.168,0.264,127.601,197800.0,4.0,0,0,0,65.0,2,7,20
1823,How Long,POINTER SISTERS,7/19/1975,90,20,15,18,297125,0.532,0.8759999999999999,1.0,-8.725,1.0,0.155,0.145,0.0009539999999999999,0.306,0.8240000000000001,89.75,440733.0,4.0,0,0,0,67.0,0,7,7
1824,Tangled Up In Blue,BOB DYLAN,3/8/1975,74,31,7,61,20195081,0.42100000000000004,0.6609999999999999,9.0,-13.126,1.0,0.0433,0.414,1.16e-06,0.0962,0.5539999999999999,100.965,341627.0,4.0,3,0,1,79.0,0,4,15
1825,Shoeshine Boy,EDDIE KENDRICKS,2/15/1975,97,18,18,21,217020,0.617,0.76,2.0,-8.324,1.0,0.0426,0.22899999999999998,1.77e-06,0.0536,0.945,167.002,196920.0,4.0,0,0,0,51.0,1,1,9
