Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations
Have A Little Faith,DAVID HOUSTON,3/9/68,98,98,2,1,0,0,0,2,5
African Boo-Ga-Loo,JACKIE LEE,3/23/68,131,121,3,-1,0,0,0,0,0
If You Didn't Hear Me Say It The First Time (I'll Say It Aga,THE SANDPEBBLES,4/6/68,122,122,1,-1,0,0,0,0,0
Sexy Mama,MOMENTS,1/12/74,100,17,13,31,0,0,0,0,0
Hone Please Can't Ya See,BARRY WHITE,2/23/74,100,44,7,-1,0,0,0,2,11
Put Your Hands Together,O'JAYS,12/22/73,71,10,16,23,0,0,0,0,0
Last Time I Saw Him,DIANA ROSS,1/5/74,70,14,14,18,0,0,1,0,12
Star,STEALERS WHEEL,1/5/74,92,29,14,21,0,0,0,0,0
Goin' Down Slow,BOBBY BLAND,3/2/74,95,69,6,20,0,0,1,0,0
Watching The River Run,LOGGINS &amp; MESSINA,3/2/74,86,71,6,-1,0,0,0,0,0
Skybird,TONY ORLANDO &amp; DAWN,11/1/75,84,49,5,-1,0,0,0,0,1
High On Your Love,DEBBIE JACOBS,3/15/80,90,70,4,-1,0,0,0,0,0
"Bounce, Rock, Skate, Roll",VAUGHAN MASON &amp; CREW,3/1/80,103,81,6,-1,0,0,0,0,0
I Don't Need You Anymore,TOGETHER? featuring JACKIE DeSHANNON,3/1/80,109,86,6,-1,0,0,0,0,0
A Lesson In Leavin',DOTTIE WEST,3/1/80,105,73,6,21,0,0,0,1,16
September Morn,NEIL DIAMOND,12/22/79,66,17,16,45,0,0,0,1,13
Romeo's Tune,STEVE FORBERT,11/24/79,109,11,20,46,2,0,0,0,1
What I Like About You,MICHAEL MORALES,8/12/89,88,28,13,3,0,0,0,1,0
Survive,JIMMY BUFFETT,3/8/80,91,77,5,19,0,0,0,0,2
"I Don't Believe You Want To Get Up And Dance (Oops, Up Side",THE GAP BAND,3/29/80,108,102,2,43,0,0,0,0,0
Who Said The World Was Fair,DARYL HALL &amp; JOHN OATES,3/22/80,110,110,3,-1,0,0,0,0,6
The Boys Of Summer,THE ATARIS,7/26/03,71,20,18,64,0,0,0,0,0
Roxanne Roxanne,UTFO,3/9/85,79,77,5,37,0,0,0,0,0
Smalltown Boy,BRONSKI BEAT,12/22/84,86,48,16,64,2,0,0,0,0
Mr. Telephone Man,NEW EDITION,12/22/84,79,12,16,48,0,0,0,0,1
Chasin' The Wind,CHICAGO,1/26/91,82,39,11,17,0,0,0,1,10
High Enough,DAMN YANKEES,9/22/90,89,3,29,56,0,0,0,0,0
Love Makes Things Happen,PEBBLES,12/1/90,91,13,19,43,0,0,0,0,2
I Saw Red,WARRANT,12/1/90,85,10,19,46,0,0,0,0,0
Disappear,INXS,11/24/90,89,8,20,39,0,0,0,0,3
Sure Lookin',DONNY OSMOND,1/19/91,100,54,12,-1,0,0,0,0,0
Here Comes The Hammer,MC HAMMER,1/5/91,85,54,14,34,0,0,0,3,8
Made Up My Mind,SAFIRE,3/2/91,98,82,6,12,0,0,0,0,0
Hey Lover,DEBBIE DOVALE,10/19/63,130,81,8,-1,0,0,0,0,0
Everyday And Everynight,YVETTE MICHELE,2/3/96,69,60,10,26,0,0,0,0,0
It Matters To Me,FAITH HILL,12/23/95,96,74,16,52,0,0,0,5,17
Get The Party Started,PINK,10/27/01,69,4,24,67,0,0,0,3,18
"Whenever, Whenever",SHAKIRA,10/27/01,74,6,24,72,0,0,0,2,5
Where Were You (When The World Stopped Turning),ALAN JACKSON,11/24/01,62,28,20,52,0,0,0,2,20
Beauty And A Beat,JUSTIN BIEBER featuring NICKI MINAJ,11/3/12,71,5,23,-1,0,0,0,1,7
Merry Go 'Round,KACEY MUSGRAVES,12/29/12,88,63,15,55,0,0,0,2,5
Tornado,LITTLE BIG TOWN,11/24/12,97,51,20,51,0,0,0,2,9
Who Booty,JONN HART featuring IAMSU,12/29/12,93,66,15,-1,0,0,0,0,0
Stubborn Love,THE LUMINEERS,1/19/13,89,70,12,67,0,0,0,0,0
The Only Way I Know,JASON ALDEAN with LUKE BRYAN &amp; ERIC CHURCH,11/24/12,93,40,20,-1,0,0,0,0,4
Smokey Places,"THE CORSAIRS featuring JAY ""BIRD"" UZZELL",12/18/61,117,12,16,-1,0,0,0,0,0
Percolator (Twist),BILLY JOE AND THE CHECKMATES,1/13/62,100,10,13,6,0,0,0,0,0
Break It To Me Gently,JUICE NEWTON,8/21/82,74,11,17,25,0,0,0,1,5
Pop-Eye,HUEY SMITH,2/10/62,111,51,9,3,0,0,0,0,0
The Twist,HANK BALLARD,7/4/60,114,28,18,26,0,0,0,0,1
Our Anniversary,SHEP AND THE LIMELITES,2/17/62,74,59,8,2,0,0,0,0,0
A Girl Has To Know,THE G-CLEFS,3/3/62,109,81,6,0,0,0,0,0,0
I'd Never Find Another You,PAUL ANKA,4/7/62,106,106,1,-1,0,0,0,0,0
Sugartime Twist,THE McGUIRE SISTERS,4/7/62,107,107,1,-1,0,0,0,0,0
I Want To Love You (So Much It Hurts Me),RENEE ROBERTS,4/7/62,112,112,1,-1,0,0,0,0,0
Gee Baby,BEN AND BEA,3/31/62,119,119,2,-1,0,0,0,0,0
Could It Be I'm Falling In Love,THE SPINNERS,12/30/72,79,4,15,53,0,0,0,0,0
I'm Just A Singer (In A Rock And Roll Band),THE MOODY BLUES,2/3/73,58,12,10,32,0,0,0,0,0
Kissing My Love,BILL WITHERS,2/3/73,88,31,10,45,0,0,0,3,9
Big City Miss Ruth Ann,GALLERY,12/30/72,88,23,15,14,0,0,0,0,0
Do You Want To Dance,DEL SHANNON,9/19/64,87,20,13,-1,0,0,0,0,0
One Less Set Of Footsteps,JIM CROCE,2/3/73,80,37,10,39,0,0,0,0,2
Good Morning Heartache,DIANA ROSS,1/13/73,98,34,13,20,0,0,1,0,12
If You Gotta Break Another Heart,ALBERT HAMMOND,3/3/73,84,63,6,17,0,0,0,0,2
Hello Hurray,ALICE COOPER,2/3/73,72,35,10,-1,0,0,0,0,2
Pardon Me Sir,JOE COCKER,2/17/73,85,51,8,9,0,0,0,0,7
Saw A New Morning,THE BEE GEES,3/24/73,99,94,3,30,0,0,1,0,0
Wish That I Could Talk To You,THE SYLVERS,2/3/73,97,77,10,-1,0,0,0,0,0
A Little More Love,OLIVIA NEWTON-JOHN,11/25/78,68,3,20,31,0,0,0,4,12
Dog & Butterfly,HEART,2/3/79,82,34,10,38,0,0,0,0,4
The Chase,GIORGIO MORODER,1/20/79,90,33,12,22,0,0,0,4,9
"Saturday Night, Sunday Morning",THELMA HOUSTON,3/17/79,110,34,14,26,1,0,0,1,2
I'll Supply The Love,TOTO,2/10/79,86,45,9,42,0,0,0,3,5
Forever In Blue Jeans,NEIL DIAMOND,1/27/79,66,20,11,51,1,0,0,1,13
Stay The Night,JIM MESSINA with PAULINE WILSON,8/29/81,110,110,3,-1,0,0,0,0,1
Heartaches,THE MARCELS,10/9/61,79,7,12,28,0,0,0,0,0
Watch Out For Lucy,DOBIE GRAY,9/21/74,107,107,1,-1,0,0,0,0,0
Love And Desire,ARPEGGIO,3/10/79,90,70,5,-1,0,0,0,0,0
To Much Heaven,BEE GEES,11/18/78,35,1,21,-1,0,0,1,5,9
Remember,THE GREG KIHN BAND,11/4/78,109,107,4,12,0,0,0,0,0
Dancing In The Streets,BONEY M,3/3/79,106,103,6,26,0,0,0,0,0
Disco To Go,THE BRIDES OF FUNKENSTEIN,3/3/79,105,102,6,-1,0,0,0,0,0
Anyway You Want It,ENCHANTMENT,3/31/79,109,109,2,5,0,0,0,0,0
Hyperactive,THOMAS DOLBY,2/25/84,88,62,7,33,0,0,0,0,4
Yah Mo B There,JAMES INGRAM &amp; MICHAEL McDONALD,12/10/83,86,19,18,-1,0,0,0,2,14
This Woman,KENNY ROGERS,1/14/84,64,23,13,-1,0,0,0,3,19
Owner Of A Lonely Heart,YES,11/5/83,62,1,23,65,0,0,0,1,5
Looks That Kill,MOTLEY CRUE,2/4/84,90,54,10,57,1,0,0,0,3
Club Michelle,EDDIE MONEY,2/25/84,93,66,7,12,0,0,0,0,1
Whatcha Gonna Do With My Lovin',INNER CITY,3/3/90,92,76,6,29,0,0,0,0,0
Anything I Want,KEVIN PAIGE,1/20/90,82,29,12,5,0,0,0,0,0
99 Worlds,PETER WOLF,3/17/90,89,78,4,4,0,0,0,0,2
Almost Hear You Sigh,ROLLING STONES,2/10/90,84,50,9,32,0,0,1,2,11
If You Leave Me Now,CHICAGO,8/14/76,60,1,21,70,0,0,0,1,10
All Or Nothing,O-TOWN,6/9/01,60,3,20,51,0,0,0,0,0
Bad Love,ERIC CLAPTON,3/10/90,88,88,5,41,0,0,0,0,4
Crazy For This Girl,EVAN AND JARON,11/4/00,58,15,23,49,0,0,0,0,0
He Loves You Not,DREAM,9/30/00,99,2,28,46,0,0,0,0,0
I Did It,BARBARA ACKLIN,10/16/70,121,121,1,13,0,0,0,0,1
Emotional,CARL THOMAS,11/25/00,77,47,20,51,0,0,0,0,1
Fergalicious,FERGIE featuring WILL.I.AM,10/7/06,79,2,27,-1,0,0,0,8,20
Chasing Cars,SNOW PATROL,6/3/06,54,5,45,73,3,0,0,0,0
Here (In Your Arms),HELLOGOODBYE,11/18/06,97,14,21,57,0,0,0,0,0
Tell Me 'Bout It,JOSS STONE,4/7/07,83,83,1,41,2,0,0,1,5
Fidelity,REGINA SPEKTOR,2/3/07,58,51,10,56,4,0,0,0,1
Flathead,THE FRATELLIS,3/3/07,75,75,1,46,0,0,0,0,0
King Kong,JIMMY CASTOR BUNCH,10/18/75,94,69,7,17,0,0,0,0,0
Hillbilly Deluxe,BROOKS &amp; DUNN,2/10/07,92,86,9,-1,0,0,0,0,0
And I Am Telling You I'm Not Going,JENNIFER HUDSON,1/13/07,98,60,13,58,2,0,0,2,6
1st Time,YUNG JOC featuring MARQUES HOUSTON &amp; TREY SONGZ,3/10/07,97,82,5,-1,0,0,0,0,0
Famous Last Words,MY CHEMICAL ROMANCE,2/10/07,93,88,4,69,0,0,0,0,0
Ours,TAYLOR SWIFT,11/26/11,13,13,20,57,0,0,0,10,29
The One That Got Away,JAKE OWEN,8/25/12,93,51,20,56,0,0,0,0,1
Come Away To The Water,MAROON 5 featuring ROZZI CRANE,4/7/12,83,83,1,-1,0,0,0,3,12
You Da One,RIHANNA,11/26/11,73,14,20,61,0,0,0,8,32
TTYLXOX,BELLA THORNE,3/31/12,98,97,2,43,0,0,0,0,0
California On My Mind,MORNING MIST,8/7/71,100,96,3,-1,0,0,0,0,0
Break On Through (To The Other Side),THE DOORS,4/8/67,125,125,1,70,0,0,0,0,0
Get While You Can,HOWARD TATE,4/8/67,133,133,1,8,0,0,0,0,1
Let's Have Some Fun,THE BAR-KAYS,3/4/78,102,102,2,14,0,0,0,0,0
Llame Pa'Verte,WISIN &amp; YANDEL,4/8/06,100,100,1,-1,0,0,0,0,0
Lose You,DRAKE,4/8/17,64,64,1,64,0,0,0,3,35
Since Way Back,DRAKE featuring PARTYNEXTDOOR,4/8/17,70,70,1,-1,0,0,0,3,35
Skepta Interlude,DRAKE,4/8/17,76,76,1,62,0,0,0,3,35
Trap Trap Trap,RICK ROSS featuring YOUNG THUG &amp; WALE,4/8/17,97,97,1,-1,0,0,0,0,4
Too Little Time,BRENDA LEE,3/26/66,123,123,1,-1,0,0,1,0,4
Louie Louie,THE KINGSMEN,9/18/65,132,106,3,60,0,0,0,0,0
Second-Hand Man,THE BACK PORCH MAJORITY,5/7/66,109,104,4,0,0,0,0,0,0
"When She Touches Me ""Nothing Else Matters""",RODGE MARTIN,4/9/66,131,131,1,-1,0,0,0,0,0
Doin' The Philly Dog,LOU LAWTON,4/9/66,133,133,1,-1,0,0,0,0,0
Tattoo Man,DENISE McCANN,4/9/77,106,106,1,1,0,0,0,0,0
Let's Go To Bed,THE CURE,4/9/83,109,109,1,41,0,0,0,0,0
So What The Fuss,STEVIE WONDER,4/9/05,96,96,1,28,0,0,1,25,74
Fuck Him He's A DJ,KE$HA,4/9/11,97,97,1,-1,0,0,0,0,0
Shake Me Down,CAGE THE ELEPHANT,1/29/11,78,78,3,63,0,0,0,1,2
Be Alright,ARIANA GRANDE,4/9/16,43,43,1,66,0,0,0,0,4
Big Hunk O'Love,ELVIS PRESLEY,6/29/59,102,1,15,-1,0,0,1,3,14
Lavender Blue,SAMMY TURNER,6/22/59,60,3,18,31,0,0,0,0,0
Tiger,FABIAN,6/8/59,115,3,14,3,0,0,0,0,0
What A Difference A Day Makes,DINAH WASHINGTON,5/25/59,77,8,20,25,1,0,0,1,1
Waterloo,ABBA,6/1/74,76,6,17,51,0,0,0,0,0
Forthy Miles Of Bad Road,DUANE EDDY,6/15/59,96,9,15,-1,0,0,0,1,2
Sweeter Than You,RICKY NELSON,7/6/59,53,9,12,30,0,0,0,0,0
Just A Little Too Much,RICKY NELSON,6/29/59,63,9,13,23,0,0,0,0,0
My Wish Came True,ELVIS PRESLEY,7/13/59,39,12,11,24,0,0,1,3,14
Sea Of Love,PHIL PHILLIPS,7/6/59,85,2,18,42,0,0,0,0,0
Three Bells,THE BROWNS,7/20/59,112,1,18,32,0,0,0,0,0
It Was I,SKIP &amp; FLIP,6/22/59,98,11,16,-1,0,0,0,0,0
Here Comes Summer,JERRY KELLER,6/22/59,107,14,14,7,0,0,0,0,0
Ragtime Cowboy Joe,DAVID SEVILLE AND THE CHIPMUNKS,6/29/59,101,16,10,14,0,0,0,0,0
Small World,JOHNNY MATHIS,6/15/59,97,20,15,27,0,0,1,0,1
I Only Have Eyes For You,ART GARFUNKEL,8/23/75,87,18,18,32,0,0,0,8,13
Thank You Pretty Baby,BROOK BENTON,7/13/59,76,16,14,15,0,0,0,0,1
Ciao Ciao Bambina,JACKY NOGUEZ ORCHESTRA,6/8/59,104,24,14,-1,0,0,0,0,0
Mona Lisa,CONWAY TWITTY,7/13/59,104,29,13,26,0,0,0,1,7
Lipstick On Your Collar,CONNIE FRANCIS,5/18/59,57,5,17,31,0,0,0,0,0
I'll Be Satisfied,JACKIE WILSON,6/15/59,106,20,13,33,0,0,0,0,2
Till There Was You,ANITA BRYANT,6/22/59,102,30,14,-1,0,0,0,0,3
Hushabye,JAY AND THE AMERICANS,5/24/69,132,62,8,20,0,0,0,0,0
A Boy Without A Girl,FRANKIE AVALON,5/25/59,63,10,14,22,0,0,0,0,1
Frankie,CONNIE FRANCIS,5/18/59,66,9,15,31,0,0,0,0,0
See You In September,TEMPOS,6/29/59,90,23,14,19,0,0,0,0,0
The Way I Walk,JACK SCOTT,6/15/59,104,35,16,17,0,0,0,0,0
Kissin' Time,BOBBY RYDELL,6/29/59,93,11,17,20,0,0,0,0,0
I'm Gonna Be A Wheel Someday,FATS DOMINO,7/20/59,113,17,14,36,0,0,1,0,0
Makin' Love,FLOYD ROBINSON,7/20/59,98,20,18,11,0,0,0,0,1
M.T.A.,KINGSTON TRIO,6/15/59,74,15,11,25,0,0,1,2,8
My Own True Love,JIMMY CLANTON,7/27/59,105,33,13,-1,0,0,0,0,0
Twixt Twelve & Twenty,PAT BOONE,6/15/59,61,17,16,-1,0,0,0,0,6
Bobby Sox To Stockings,FRANKIE AVALON,5/25/59,60,8,13,1,0,0,0,0,1
Broken-Hearted Melody,SARAH VAUGHAN,7/13/59,113,7,20,26,0,0,1,1,9
I Want To Walk You Home,FATS DOMINO,8/10/59,46,8,13,41,0,0,1,0,0
Since You've Been Gone,RAMSEY LEWIS,8/10/68,110,98,5,2,0,0,0,3,4
High Hopes,FRANK SINATRA,6/15/59,98,30,17,38,2,1,1,9,31
Angel Face,JIMMY DARREN,7/20/59,115,47,10,-1,0,0,0,0,0
Red River Rock,JOHNNY AND THE HURRICANES,8/3/59,66,5,17,24,0,0,0,0,1
Ten Thousand Drums,CARL SMITH,7/6/59,84,43,9,6,0,0,0,0,1
Tennessee Stud,EDDY ARNOLD,7/13/59,88,48,10,18,0,0,1,0,6
Sleep Walk,SANTO &amp; JOHNNY,7/27/59,95,1,18,-1,0,0,0,0,0
Like Young,ANDRE PREVIN &amp; DAVID ROSE,6/22/59,83,46,11,-1,0,0,0,10,44
This I Swear,SKYLINERS,6/1/59,87,26,12,32,0,0,0,0,0
There Is Something On Your Mind,BIG JAY NEELEY BAND,5/25/59,89,44,16,-1,0,0,0,0,0
On An Evening In Roma,DEAN MARTIN,7/13/59,100,59,13,50,0,0,1,0,1
With Open Arms,JANE MORGAN,7/27/59,97,39,11,5,0,0,0,0,0
Bongo Rock,THE INCREDIBLE BONGO BAND,7/21/73,81,57,7,-1,1,0,0,0,0
To A Soldier Boy,TASSELS,7/13/59,93,55,7,-1,0,0,0,0,0
I'm Gonna Get Married,LLOYD PRICE,8/3/59,109,3,15,34,1,0,0,0,0
Katy Too,JOHNNY CASH AND THE TENNESSEE TWO,6/29/59,108,66,10,0,0,0,1,0,1
So High So Low,LAVERN BAKER,7/20/59,114,52,11,11,0,0,0,0,0
Caribbean,MITCHELL TOROK,7/27/59,114,27,15,3,0,0,0,0,0
Leave My Kitten Alone,LITTLE WILLIE JOHN,8/3/59,70,60,9,13,0,0,0,0,0
Half Breed,MARVIN RAINWATER,7/27/59,98,66,7,-1,0,0,0,0,0
I Still Get Jealous,LOUIS ARMSTRONG,6/13/64,107,45,8,21,0,0,1,1,3
Just Keep It Up,DEE CLARK,5/4/59,81,18,15,0,0,0,0,0,0
The Quiet Three,DUANE EDDY,6/29/59,67,46,8,3,0,0,0,1,2
Lonely Guitar,ANNETTE,6/29/59,110,50,12,1,0,0,0,0,0
Beach Time,ROGER SMITH,6/29/59,94,64,8,1,0,0,0,0,0
Tallahassie Lassie,FREDDY CANNON,5/11/59,96,6,15,16,0,0,0,0,0
I Love You Porgy,NINA SIMONE,8/3/59,91,18,15,5,0,0,1,0,2
Linda Lu,RAY SHARPE,7/20/59,95,46,13,12,0,0,0,0,0
Like I Love You,JUSTIN TIMBERLAKE,9/7/02,67,11,20,58,0,0,0,10,38
I've Been There,TOMMY EDWARDS,8/3/59,111,53,11,14,0,0,0,0,0
Soldier's Joy,JERRY REED,7/27/59,115,115,1,10,0,0,0,3,9
Time Marches On,ROY HAMILTON,7/6/59,101,84,7,-1,0,0,0,0,0
I Got Stripes,JOHNNY CASH,8/3/59,95,43,11,47,1,0,1,0,1
Midnight Flyer,NAT KING COLE,8/3/59,94,51,12,24,0,0,1,1,7
Bei mir bist du schon,LOUIS PRIMA &amp; KEELY SMITH,7/6/59,78,69,6,-1,0,0,0,1,1
You Don't Know Girls,KATHY LINDEN,7/27/59,99,92,3,-1,0,0,0,0,0
Who Shot Sam,GEORGE JONES,7/27/59,100,93,3,32,0,0,1,2,16
Don't Tell Me Your Troubles,DON GIBSON,9/14/59,86,86,1,23,0,0,0,0,3
Furry Murray,THE TRADEWINDS,6/29/59,111,104,4,-1,0,0,0,0,0
Alimony,FRANKIE FORD,6/29/59,115,97,7,10,0,0,0,0,0
Just As Much As Ever,BOB BECKHAM,7/27/59,111,85,7,0,0,0,0,0,6
Back In The U.S.A.,LINDA RONSTADT,8/19/78,72,16,13,21,0,0,1,10,26
I Ain't Never,WEBB PIERCE,8/3/59,108,24,15,23,1,0,0,0,0
('Til) I Kissed You,THE EVERLY BROTHERS,8/10/59,101,4,17,46,0,0,1,0,0
Sal's Got A Sugar Lip,JOHNNY HORTON,8/10/59,102,96,3,21,0,0,0,0,1
Twice As Nice,CLYDE McPHATTER,8/10/59,103,91,4,2,0,0,0,0,0
The Angels Listened In,PERCY SLEDGE,5/31/69,127,126,2,6,0,0,0,0,3
Happy Lonesome,MARION,7/27/59,108,102,5,-1,0,0,0,0,0
Morgen,IVO ROBIC AND THE SONG-MASTERS,8/3/59,107,13,19,-1,0,0,0,0,0
Sweetie Pie,BOB CREWE,7/27/59,112,111,4,-1,0,0,0,0,6
Mary Lou,RONNIE HAWKINS AND THE HAWKS,8/10/59,112,26,17,0,0,0,0,0,0
The Three Bells (The Jimmy Brown Story),DICK FLOOD,8/3/59,115,107,3,-1,0,0,0,0,0
Love Me Now,JOHN LEGEND,10/29/16,55,55,1,73,0,0,0,10,28
Roulette,RUSS CONWAY,8/3/59,106,106,3,1,0,0,0,0,0
Fingertips (Part 2),LITTLE STEVIE WONDER,6/22/63,85,1,15,23,0,0,1,0,0
Wipe Out,THE SURFARIS,6/15/63,127,2,17,38,0,0,0,0,0
(You're The) Devil In Disguise,ELVIS PRESLEY,6/29/63,84,3,11,57,1,0,1,3,14
Blowin' In The Wind,"PETER, PAUL AND MARY",6/29/63,86,2,15,42,0,0,0,0,0
Judy's Turn To Cry,LESLEY GORE,7/6/63,80,5,11,31,0,0,0,0,3
Surf City,JAN AND DEAN,6/8/63,107,1,14,38,1,0,0,0,0
Easier Said Than Done,THE ESSEX,6/1/63,107,1,14,14,0,0,0,0,0
"Tie Me Kangeroo Down, Sport",ROLF HARRIS,6/8/63,88,3,11,-1,0,0,0,0,0
Hopeless,ANDY WILLIAMS,6/15/63,113,13,12,20,0,0,0,1,4
Memphis,FRED KNOBLOCK,8/15/81,107,102,8,-1,0,0,0,0,0
Abilene,GEORGE HAMILTON IV,6/15/63,108,15,15,31,0,0,0,0,1
"Green, Green",THE NEW CHRISTY MINSTRELS,6/29/63,83,14,12,21,0,0,0,0,0
"Hello Muddah, Hello Fadouh (A Letter From Camp)",ALLAN SHERMAN,7/27/63,102,2,11,-1,0,0,0,1,5
Pride And Joy,MARVIN GAYE,5/18/63,99,10,14,29,0,0,1,2,12
Ring Of Fire,DUANE EDDY,5/22/61,108,84,4,8,0,0,0,1,2
Denise,RANDY AND THE RAINDROPS,5/25/63,129,10,20,-1,0,0,0,0,0
Danke schoen,WAYNE NEWTON,7/6/63,109,13,13,48,0,0,0,0,0
My Whole World Is Falling Apart,BRENDA LEE,7/6/63,85,24,9,-1,0,0,1,0,4
True Love Never Runs Smooth,GENE PITNEY,7/6/63,99,21,11,23,0,0,0,0,0
Not Me,U.S. BONDS,3/6/61,116,116,1,4,0,0,0,0,0
Till Then,THE CLASSICS,6/8/63,113,20,11,22,0,0,0,0,0
I Wonder,KELLIE PICKLER,6/23/07,100,75,10,43,0,0,0,0,0
If I Had A Hammer,TRINI LOPEZ,7/27/63,76,3,14,35,0,0,0,0,1
Twist It Up,CHUBBY CHECKER,7/13/63,115,25,9,23,0,0,0,1,1
My Boyfriend's Back,THE ANGELS,8/3/63,75,1,14,46,0,0,0,0,0
The Monkey Time,MAJOR LANCE,7/6/63,126,8,16,34,0,0,0,0,1
Shake Shake Shake,JACKIE WILSON,7/13/63,83,33,8,11,0,0,0,0,2
Be Careful Of The Stones You Throw,DION,6/22/63,111,31,9,5,0,0,0,0,0
Marlena,THE FOUR SEASONS,7/6/63,116,36,9,31,0,0,0,0,0
Six Days On The Road,DAVE DUDLEY,6/1/63,109,32,12,38,0,0,0,0,1
Make The World Go Away,RAY PRICE,8/24/63,133,100,4,18,0,0,0,2,7
"Hey, Girl",FREDDIE SCOTT,7/20/63,112,10,13,23,0,0,0,0,0
My True Confession,BROOK BENTON,6/15/63,99,22,9,12,0,0,0,0,1
"Painted, Tainted Rose",AL MARTINO,7/20/63,118,15,13,7,0,0,0,0,0
Goodnight My Love,THE DUPREES,11/16/68,115,113,3,4,0,0,0,0,0
Tips Of My Fingers,ROY CLARK,5/25/63,110,45,13,16,0,0,0,1,8
How Many Teardrops,LOU CHRISTIE,7/6/63,121,46,7,13,0,0,0,0,0
When A Boy Falls In Love,MEL CARTER,6/29/63,106,44,11,7,0,0,0,0,1
Blue On Blue,BOBBY VINTON,5/18/63,85,3,13,39,0,0,0,0,1
Surfer Girl,THE BEACH BOYS,7/27/63,118,7,15,47,1,0,1,0,0
Surfin' Hootenany,AL CASEY,7/6/63,128,48,9,-1,0,0,0,0,0
Heat Wave,MARTHA AND THE VANDELLAS,8/3/63,82,4,14,45,0,0,0,0,0
The Dreamer,NEIL SEDAKA,7/27/63,82,47,7,14,0,0,0,0,5
I Want To Stay Here,STEVE AND EYDIE,7/20/63,99,28,11,-1,0,0,0,0,0
Wait Til' My Bobby Gets Home,DARLENE LOVE,7/20/63,90,26,10,20,0,0,0,1,1
Mama Don't Allow,THE ROOFTOP SINGERS,7/20/63,92,55,7,1,0,0,0,0,0
Sometimes You Gotta Cry A Little,BOBBY BLAND,7/20/63,67,56,6,1,0,0,1,0,0
Rock Me In The Cradle Of Love,DEE DEE SHARPE,6/29/63,100,43,7,-1,0,0,0,0,0
Hootenanny,THE GLENCOVES,6/15/63,100,38,9,-1,0,0,0,0,0
Surf Party,CHUBBY CHECKER,7/13/63,81,55,6,4,0,0,0,1,1
Desert Pete,THE KINGSTON TRIO,8/3/63,70,33,8,21,0,0,1,0,0
Don't Say Goodnight And Mean Goodbye,THE SHIRELLES,6/15/63,96,26,9,20,0,0,0,0,0
I'm Afraid To Go Home,BRIAN HYLAND,6/22/63,129,63,9,31,0,0,0,0,0
Brenda,THE CUPIDS,6/22/63,103,57,8,3,0,0,0,0,0
It Hurts To Be Sixteen,BARBARA CANDLER,7/27/63,125,114,7,-1,0,0,0,0,0
Leave Me Alone,BABY WASHINGTON,7/13/63,107,62,11,13,0,0,0,0,1
Hairy The Harry Ape,RAY STEVENS,6/15/63,70,17,9,13,0,0,0,2,12
I Will Love You,RICHARD CHAMBERLAIN,7/6/63,97,65,7,-1,0,0,0,0,1
Groovy Baby,BILLY ABBOTT AND THE JEWELS,7/6/63,122,55,10,3,0,0,0,0,0
Everybody Monkey,FREDDY CANNON,7/27/63,126,52,8,1,0,0,0,0,0
These Foolish Things,JAMES BROWN AND THE FAMOUS FLAMES,7/27/63,99,55,6,-1,0,0,1,0,4
"Que Sera, Sera (Whatever Will Be, Will Be)",THE HIGH KEYS,7/20/63,128,47,10,-1,0,0,0,0,0
This Is All I Ask,BURL IVES,7/27/63,110,67,6,3,0,0,0,1,4
You Can Never Stop Me Loving You,JOHNNY TILLOTSON,8/3/63,118,18,11,3,0,0,0,0,1
Can't Nobody Love You,SOLOMON BURKE,9/7/63,101,101,1,49,0,0,0,0,1
Blue Velvet,BOBBY VINTON,8/10/63,78,1,15,56,2,0,0,0,1
Hey There Lonely Boy,RUBY AND THE ROMANTICS,8/10/63,79,27,9,0,0,0,0,0,0
The Kind Of Boy You Can't Forget,THE RAINDROPS,8/3/63,128,17,12,11,0,0,0,0,0
Martain Hop,THE RAN-DELLS,7/20/63,115,16,15,-1,0,0,0,0,0
Pay Back,ETTA JAMES,8/3/63,129,78,7,5,0,0,1,3,17
Dum Dum Dee Dum,JOHNNY CYMBAL,7/27/63,121,77,5,-1,0,0,0,0,1
Drowin' My Sorrows,CONNIE FRANCIS,8/3/63,108,36,8,10,0,0,0,0,0
Daughter,THE BLENDERS,6/29/63,111,61,10,-1,0,0,0,0,0
My Daddy Knows Best,THE MARVELETTES,8/3/63,87,67,9,1,0,0,0,0,0
Dancin' Holiday,THE OLYMPICS,7/6/63,92,86,6,2,0,0,0,0,0
Lucky Lips,CLIFF RICHARD,7/20/63,116,62,10,26,0,0,0,0,0
It's A Lonely Town (Lonely Without You),GENE McDANIELS,8/10/63,90,64,7,5,0,0,0,0,0
Make The Music Play,DIONNE WARWICK,7/27/63,131,91,3,7,0,0,0,5,14
A Breath Taking Guy,THE SUPREMES,7/20/63,124,75,8,9,0,0,0,0,0
Saturday Sunshine,BURT BACHARACH,7/20/63,106,93,7,3,0,0,1,6,20
Man's Temptation,GENE CHANDLER,8/3/63,122,71,8,26,0,0,0,0,0
The Minute You're Gone,SONNY JAMES,6/29/63,119,95,11,11,0,0,0,0,3
The Lonely Surfer,JACK NITSCHE,7/27/63,119,39,10,-1,0,0,0,0,0
