Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations
Seventeen,WINGER,2/25/89,78,26,16,52,0,0,0,0,0
Exodus,BOB MARLEY AND THE WAILERS,8/13/77,103,103,5,51,0,0,1,0,6
When I Fall In Love,CELINE DION &amp; CLIVE GRIFFIN,7/17/93,80,23,20,-1,1,0,0,5,16
(It Never Happens) In Real Life,CHUCK JACKSON,4/10/61,75,46,7,-1,0,0,0,0,0
Little Pedro,THE OLYMPICS,3/13/61,102,76,6,0,0,0,0,0,0
The Blizzard,JIM REEVES,3/13/61,107,62,5,31,0,0,0,0,10
The Charanga,MERV GRIFFIN,4/3/61,107,69,5,-1,0,0,0,0,0
What'd I Say,RAY CHARLES,6/29/59,113,6,16,58,0,0,1,17,37
Glory Of Love,DON GARDNER &amp; DEE DEE FORD,8/11/62,99,75,7,-1,0,0,0,0,0
Triangle,JANIE GRANT,3/27/61,96,29,13,10,0,0,0,0,0
The Next Kiss,CONWAY TWITTY,4/3/61,99,72,4,-1,0,0,0,1,7
Bonanza,JOHNNY CASH,9/15/62,94,94,2,31,0,0,1,0,1
Underwater,FROGMEN,4/3/61,93,44,8,13,0,0,0,0,0
I'll Just Have A Cup Of Coffee (Then I'll Go),CLAUDE GRAY,3/13/61,119,84,6,1,0,0,0,0,0
Come Along,MAURICE WILLIAMS &amp; THE ZODIACS,4/10/61,87,83,2,-1,0,0,0,0,0
La Pachanga,AUDREY ARNO &amp; THE HAZY OSTERWALD SEXTET,4/3/61,114,87,3,-1,0,0,0,0,0
Lullaby Of Love,FRANK GARI,4/10/61,89,23,12,-1,0,0,0,0,0
A City Girl Stole My Country Boy,PATTI PAGE,4/3/61,117,90,2,-1,0,0,1,1,1
Mr. Pride,CHUCK JACKSON,4/10/61,91,91,2,0,0,0,0,0,0
A Scottish Soldier,ANDY STEWART,6/19/61,83,69,3,13,0,0,0,0,0
I Told You So,KEITH URBAN,5/26/07,94,48,16,43,0,0,0,4,18
Come On Over,SHANIA TWAIN,10/23/99,74,58,10,44,0,0,0,5,18
Saved,LaVERN BAKER,4/10/61,95,37,7,24,0,0,0,0,0
California Sun,RIVIERAS,1/18/64,123,5,11,35,0,0,0,0,0
Hello Walls,FARON YOUNG,4/10/61,97,12,15,43,1,0,0,0,1
Three Hearts In A Triangle,ROY DRUSKY,4/10/61,98,35,16,-1,0,0,0,0,0
