Song,Artist,Endurance_Score,Predicted_Endurance_Score
Don't Wanna Fall In Love,JANE CHILD,0.45143003737249204,0.4540335285167336
Every Heartbeat,AMY GRANT,0.3403568342387473,0.4644300107428032
Nobody Does It Better,NATE DOGG featuring WARREN G,0.4618023926155424,0.43017893037910515
The Wah Watusi,THE ORLONS,0.2600222946096877,0.3709604373491872
The Spirit Of Radio,RUSH,0.552017492150451,0.2828234085644477
You Lied To Your Daddy,THE TAMS,0.03000432671545102,0.18216618736785534
2 On,TINASHE featuring SCHOOLBOY Q,0.7371324744193456,0.5784938731626468
Keep Ya Head Up,2PAC,0.583476230239337,0.39833779382426837
Five Little Fingers,BILL ANDERSON,0.08002077088573763,0.14595395669855124
"What A Catch, Donnie",FALL OUT BOY,0.5318688019526413,0.40878004330688567
Little Wonders,ROB THOMAS,0.5912814769621901,0.5088054144365524
Say I,CHRISTINA MILIAN featuring YOUNG JEEZY,0.3419901395494613,0.5006545426827589
"Someday, Someway",MARSHALL CRENSHALL,0.3801757997379647,0.2790045044783024
Baby Baby Baby,ANNA KING &amp; BOBBY BYRD,0.4600019263443375,0.2731724088802501
Sand,NANCY SINATRA &amp; LEE HAZELWOOD,0.32016582493997964,0.21919168130885627
Don't Forget Me (When I'm Gone),GLASS TIGER,0.4703679506085758,0.38883534780601203
Get On Your Boots,U2,0.3408827169391083,0.4498501368433082
Lookin' Boy,HOT STYLZ featuring YUNG JOC,0.43176193473257385,0.5332964323635078
Daydream,LOVIN' SPOONFUL,0.5101143944303365,0.2788973651554246
On The Way To The Sky,NEIL DIAMOND,0.07000923445096421,0.290489497900203
Too Hot Ta Trot,THE COMMODORES,2.621986772186984e-05,0.33361672491032324
Heart Skips A Beat,OLLY MURS featuring CHIDDY BANG,0.4348565196879064,0.3592524066661501
"Aw Shucks, Hush Your Mouth",JIMMY REED,0.2400241558276771,0.09395287937774002
Nothin' Like You,DAN + SHAY,0.670851361161061,0.5020256954079018
Makin' Whoopee,RAY CHARLES,4.4241258601602255e-05,0.135235761580623
Tear The Roof Off The Sucker,PARLIAMENT,0.5403240180023452,0.3866366681222004
Spin The Black Circle,PEARL JAM,0.4701619408511012,0.3620877760986927
It's All Coming Back To Me Now,CELINE DION,0.6579154151928509,0.5749332472409462
Stronger Woman,JEWEL,0.2405828108041553,0.4307955123680333
I Can't Get Next To You,TEMPTATIONS,0.473562210974399,0.3413656161580077
Wish It Were Me,THE PLATTERS,0.13000111063682826,0.20297504886790815
I Want To Love You Baby,PEGGY SCOTT &amp; JO JO BENSON,0.0800023124505437,0.23782183920309327
Desert Moon,DENNIS DeYOUNG,0.3107218911441232,0.4626566908619964
If Looks Could Kill,HEART,0.3300781646429205,0.28438311729852767
Crazy In Love,BEYONCE featuring JAY-Z,0.4661366963630169,0.7708300419033041
Jump Around,HOUSE OF PAIN,0.7261476527941643,0.9810827174897437
Pump Up The Jam,TECHNOTRONIC featuring FELLY,0.5754919675091693,0.45434673293520156
Bo$$,FIFTH HARMONY,0.7302211494121209,0.5676003247886098
Bachelor Boy,CLIFF RICHARD AND THE SHADOWS,0.25000988292331544,0.1585924271988686
Take It While It's Hot,SWEET SENSATION,0.2900434792803295,0.2331062581342278
One Light Two Lights,SATISFACTIONS,0.10000272018800127,0.13411220876712213
We Are The Champions / We Will Rock You,QUEEN,0.3106916767053253,0.4674898445851282
I Believe,BLESSED UNION OF SOULS,0.1503509831015639,0.4533982329735165
Little Deuce Coupe,THE BEACH BOYS,0.4209249509106256,0.19482215935804437
I'll Be Gone,POZO-SECO SINGERS,0.040004223676264654,0.10116139139310887
Look At Me,JIMMY GILMER,6.845244367456438e-07,0.12917857807385527
You Don't Have To Be A Tower Of Strength,GLORIA LYNNE,0.1700087271632318,0.18280446768428407
My Lover's Prayer,OTIS REDDING,0.4104788321702177,0.2792966519582803
Peanuts,SUNGLOWS,0.0700217845308261,0.15478951018730475
Dancin' Man,Q,0.07000403341429072,0.3163174641776585
Harlem Shake,BAAUER,0.5894736470362354,0.6926788401963158
The Adventures Of Rain Dance Maggie,RED HOT CHILI PEPPERS,0.6758414801508321,0.636496725772915
Your Love Is My Drug,KE$HA,0.6492621043512399,0.5824324113307613
(She's Got) Skillz,ALL-4-ONE,0.3001600831220233,0.332763663279833
See No More,JOE JONAS,0.3612661985535336,0.41590790712380554
Drowning,A BOOGIE WIT DA HOODIE featuring KODAK BLACK,0.8243538587173163,0.4959971683195584
What You Don't Know,EXPOSE,0.2401892792638507,0.3649951935635558
Backwoods,JUSTIN MOORE,0.572520499221062,0.41783262058805937
Born To Be Alive,PATRICK HERNANDEZ,0.6267448911986914,0.3528973625291598
Hot Boy,BOBBY SHMURDA,0.5520063731778945,0.641652986392475
So Sharp,DYKE AND THE BLAZERS,0.050004895408025885,0.15300046802930353
Shadrack,BROOK BENTON,1.4203358725746767e-05,0.13661888266301306
You Can Cry On My Shoulder,BRENDA HOLLOWAY,0.040001787718253766,0.17666946751119442
Higher Than Hope,DARYL BRAITHWAITE,0.1400016690952627,0.22759087884483736
Young Dumb & Broke,KHALID,0.991767955281996,0.5098345115828005
Boots,THE KILLERS,0.3210941147389129,0.43364075101191857
A Little More Country Than That,EASTON CORBIN,0.5456280999096449,0.47623132810208363
Slippery,MIGOS featuring GUCCI MANE,0.9070740595740632,0.586887252792768
Rollin',LIMP BIZKIT,0.6718925514802924,0.5524688519978044
Don't Let The Rain Fall Down On Me,THE CRITTERS,0.11003115342118018,0.2532758990132938
Anyone Who Knows What Love Is,IRMA THOMAS,0.5606136902294856,0.2589270932537824
Jack And Diane,JOHN COUGAR,0.6535334876963772,0.46238521080352785
The Other Side Of Life,MOODY BLUES,0.26032003180465674,0.2825960438891587
Don't Know What You Got (Till It's Gone),CINDERELLA,0.5545466950636742,0.43062087022420525
Norman,SUE THOMPSON,0.2701134680080356,0.27904084630788023
Don't Call Me Baby,MADISON AVENUE,0.511244526830846,0.5370970350154632
"Gonna Fly Now (Theme From ""Rocky"")",BILL CONTI,0.5449524038145646,0.31152544235797663
My Thang,JAMES BROWN,0.26002235229302456,0.3604127023503801
Give Me Just One Night,98 DEGREES,0.3704949258211954,0.6217400109349598
Going By The River (Part 2),JIMMY REED,0.030002207085416337,0.1366513674700343
"Steady, As She Goes",THE RACONTEURS,0.6103329321712334,0.5468976132636914
Gentleman,PSY,0.7829105209954774,0.6929579795091358
5 O'Clock,T-PAIN featuring WIZ KHALIFA &amp; LILY ALLEN,0.6181885985916374,0.671840006385548
Don't Go Away,FUN FACTORY,0.1903664992213909,0.2291505258858452
New York,JA RULE,0.4515506602076424,0.5724135254121554
Y.M.C.A.,THE VILLAGE PEOPLE,0.0007346493957046765,0.5561846851963996
All Kinds Of People,BURT BACHARACH,0.050000035819491424,0.1559037542066194
Cecilia,SIMON &amp; GARFUNKEL,0.6544041499810569,0.36893278757707404
Diced Pineapples,RICK ROSS featuring WALE &amp; DRAKE,0.5700504282825991,0.5309385904013483
Private Eyes,DARYL HALL &amp; JOHN OATES,0.5818308651571242,0.5144497925661
So Much More,FAT JOE,0.4200190094506172,0.4256788382557819
Holdin' On To Yesterday,AMBROSIA,0.4102663009393631,0.323590804708814
Reelin' & Rockin',DAVE CLARK FIVE,0.020011264532270333,0.2868802113288704
Moonlighting,AL JARREAU,0.43057434484409796,0.3391051707256884
Here Come Those Tears Again,JACKSON BROWNE,0.3700382977815605,0.34738737054383395
Let's Give Adam And Eve Another Chance,GARY PUCKETT AND THE UNION GAP,0.2300088462514111,0.17454012108275205
Follow Me,UNCLE KRACKER,0.7123334763735103,0.7499165267148995
Would I Lie To You?,CHARLES &amp; EDDIE,0.4547200604508531,0.38039298737518823
Back Street,EDWIN STARR,0.15000639750072467,0.17492706296526403
Sail,AWOLNATION,0.8087597046884917,0.7956962738811284
Time Passages,AL STEWART,0.4217645904920094,0.41239085019547017
Either Way I Lose,GLADYS KNIGHT AND THE PIPS,1.96518755217939e-06,0.12160615892622778
The Other Guy,LITTLE RIVER BAND,0.4600496895428036,0.38299061882560165
Mother's Pride,GEORGE MICHAEL,0.16016994045998775,0.0661604709195211
Don't Take The Girl,TIM McGRAW,0.5565832101342666,0.42228669831355914
Georgia Pines,THE CANDYMEN,5.11055756852711e-06,0.13838286718332016
Girl I Need You,THE ARTISTICS,0.08001602015124203,0.17225828294147918
Don't Answer Me,ALAN PARSONS PROJECT,0.3610419452778135,0.36421985510755067
If You've Got A Heart,BOBBY GOLDSBORO,0.08000487331158637,0.24810207317048977
Talk Talk,TALK TALK,0.4204084382635892,0.2595731126184764
Suffocate,J. HOLLIDAY,0.6287620770017789,0.5485841264349844
Enough Of No Love,KEYSHIA COLE featuring LIL WAYNE,0.4680326835349554,0.47297957560935694
A Different World,BUCKY COVINGTON,0.470466003675218,0.5943775520498016
Pretty World,SERGIO MENDES &amp; BRASIL '66,0.1902464992732408,0.16500927403333146
Restless Heart,PETER CETERA,0.3801600082267231,0.3255447476596659
(It's A) Long Lonely Highway,ELVIS PRESLEY,0.2100755886632613,0.031208176611490668
Domino Dancing,PET SHOP BOYS,0.3868927165907032,0.3825095088519244
She Only Smokes When She Drinks,JOE NICHOLS,0.4311388702630699,0.47973191181154096
Better Be Home Soon,CROWDED HOUSE,0.3507185876101187,0.27529255585820755
We're Ready,BOSTON,0.39005212015115015,0.30462312257691804
Ain't It The Truth,MARY WELLS,0.010002113349993976,0.19481522048119781
You Know It Ain't Right,JOE HINTON,0.010003306790321851,0.16375738466099418
Crooklyn,CROOKLYN DODGERS featuring SPECIAL ED,0.2904924575326046,0.28928820344261913
King Of The Surf Guitar,DICK DALE AND THE DEL-TONES,0.08004537143333422,0.07256276454563759
18,ONE DIRECTION,0.6790242959146844,0.42471576780494
Sunday Sunrise,ANNE MURRAY,0.13000270065009684,0.23688687918808032
It's A Love Thing,WHISPERS,0.3207088647115442,0.36341591093280196
Baby Doll,CARLO,1.1659942240590936e-06,0.14507844599368724
I Don't Want To Know Your Name,GLEN CAMPBELL,0.02000217405705412,0.2667683209504254
Apologize,TIMBALAND featuring ONEREPUBLIC,0.6450787166829207,0.7707336244399634
Black Horse & The Cherry Tree,KT TUNSTALL,0.5919309738904235,0.5888106848790353
If I Had A Reason,THE BUBBLE PUPPY,0.05005807897940191,0.043539753562177264
Lucy,CRABBY APPLETON,0.010001211350073591,0.15296958391454274
My Little Red Book,LOVE,0.33014206731340195,0.3051431227409859
Overprotected,BRITNEY SPEARS,0.5991612754856731,0.47443997703049157
Ours,TAYLOR SWIFT,0.5862197793151782,0.6951544667361216
Reason To Be,KANSAS,0.18006065100496138,0.28546180879250604
Happy Heart,PETULA CLARK,0.1700501933416245,0.20709995825574032
Time Seller,THE SPENCER DAVIS GROUP,0.12004598873807605,0.17845287962354103
What About Love,HEART,0.5343732072901315,0.4169520466552751
She's The One,THE CHARTBUSTERS,1.3201110748194279e-05,0.3163138814285817
I Confess,NEW COLONY SIX,0.08000046518820031,0.2661641530830481
I Can't Live In A Dream,THE OSMONDS,0.0200268792719958,0.2697553003372071
Wonderful Summer,ROBIN WARD,0.11006930327289292,0.16083382401412508
We're Rolling On (Part 1),THE IMPRESSIONS,0.09000128112830362,0.25425742619953945
Violet Hill,COLDPLAY,0.6436965789788313,0.6083296795924217
X Gon' Give It To Ya,DMX,0.7378299503724365,0.5358366990460014
Frankie's Man Johnny,JOHNNY CASH,0.25001342602924304,0.29158941151336965
Put Away Your Love,ALESSI,0.12001241029080767,0.16806052283175868
"Hush, Hush, Sweet Charlotte",PATTI PAGE,0.3800649128266584,0.21978908011115636
Chills And Fever,RONNIE LOVE AND HIS ORCHESTRA,0.08000333679496077,0.2037479120124407
Easy Way Out,ROY ORBISON,0.12000167863162077,0.18194473682517545
Count On Me,JEFFERSON STARSHIP,0.4510591893392106,0.3673931499829002
I Gotta Get Drunk,WILLIE NELSON,0.4201499736520543,0.19567006560838618
Boogie Child,THE BEE GEES,0.3200312471566025,0.3562766937121546
Absolute,THE FRAY,0.4602249310549278,0.41380715838353493
Whatever It Is,ZAC BROWN BAND,0.6250510655799668,0.49120577696227863
Stronger Than Before,CAROLE BAYER SAGER,0.12000882136384232,0.30511084434675295
Let Her Go,PASSENGER,1.116020347628206,0.6849829159278953
Stardust Bossa Nova,ELLA FITZGERALD,0.05001361582602877,0.14198874461878144
Say You'll Be Mine,CHRISTOPHER CROSS,0.4200419409029511,0.33452122323894595
