Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Big Hunk O'Love,ELVIS PRESLEY,1959-06-29,102,1,15
Lonely Boy,PAUL ANKA,1959-06-01,52,1,15
My Heart Is An Open Book,CARL DOBKINS JNR.,1959-04-27,83,3,23
There Goes My Baby,DRIFTERS,1959-06-01,98,2,19
Lavender Blue,SAMMY TURNER,1959-06-22,60,3,18
Tiger,FABIAN,1959-06-08,115,3,14
Battle Of New Orleans,JOHNNY HORTON,1959-04-27,93,1,21
What A Difference A Day Makes,DINAH WASHINGTON,1959-05-25,77,8,20
What'd I Say,RAY CHARLES,1959-06-29,113,6,16
Waterloo,STONEWALL JACKSON,1959-05-25,98,4,16
Forthy Miles Of Bad Road,DUANE EDDY,1959-06-15,96,9,15
Sweeter Than You,RICKY NELSON,1959-07-06,53,9,12
Just A Little Too Much,RICKY NELSON,1959-06-29,63,9,13
My Wish Came True,ELVIS PRESLEY,1959-07-13,39,12,11
Sea Of Love,PHIL PHILLIPS,1959-07-06,85,2,18
Three Bells,THE BROWNS,1959-07-20,112,1,18
It Was I,SKIP &amp; FLIP,1959-06-22,98,11,16
Here Comes Summer,JERRY KELLER,1959-06-22,107,14,14
Ragtime Cowboy Joe,DAVID SEVILLE &amp; THE CHIPMUNKS,1959-06-29,101,16,10
Small World,JOHNNY MATHIS,1959-06-15,97,20,15
What Is Love,PLAYMATES,1959-07-06,89,15,13
I Only Have Eyes For You,FLAMINGOS,1959-06-01,60,11,13
Thank You Pretty Baby,BROOK BENTON,1959-07-13,76,16,14
Ciao Ciao Bambina,JACKY NOGUEZ ORCHESTRA,1959-06-08,104,24,14
Mona Lisa,CARL MANN,1959-06-01,82,25,16
Lipstick On Your Collar,CONNIE FRANCIS,1959-05-18,57,5,17
Personality,LLOYD PRICE,1959-04-27,65,2,19
Robbin' The Cradle,TONY BELLUS,1959-04-27,87,25,26
You're So Fine,FALCONS,1959-04-20,88,17,20
I'll Be Satisfied,JACKIE WILSON,1959-06-15,106,20,13
Till There Was You,ANITA BRYANT,1959-06-22,102,30,14
Hushabye,MYSTICS,1959-05-25,81,20,15
A Boy Without A Girl,FRANKIE AVALON,1959-05-25,63,10,14
Frankie,CONNIE FRANCIS,1959-05-18,66,9,15
See You In September,TEMPOS,1959-06-29,90,23,14
The Way I Walk,JACK SCOTT,1959-06-15,104,35,16
Kissin' Time,BOBBY RYDELL,1959-06-29,93,11,17
I'm Gonna Be A Wheel Someday,FATS DOMINO,1959-07-20,113,17,14
Makin' Love,FLOYD ROBINSON,1959-07-20,98,20,18
Baby Talk,JAN &amp; DEAN,1959-08-03,65,10,12
M.T.A.,KINGSTON TRIO,1959-06-15,74,15,11
My Own True Love,JIMMY CLANTON,1959-07-27,105,33,13
Twixt Twelve & Twenty,PAT BOONE,1959-06-15,61,17,16
Bobby Sox To Stockings,FRANKIE AVALON,1959-05-25,60,8,13
Broken-Hearted Melody,SARAH VAUGHAN,1959-07-13,113,7,20
I Want To Walk You Home,FATS DOMINO,1959-08-10,46,8,13
Since You've Been Gone,CLYDE McPHATTER,1959-06-15,62,38,13
High Hopes,FRANK SINATRA,1959-06-15,98,30,17
Angel Face,JIMMY DARREN,1959-07-20,115,47,10
Red River Rock,JOHNNY AND THE HURRICANES,1959-08-03,66,5,17
The Wonder Of You,RAY PETERSON,1959-05-18,94,25,16
Ten Thousand Drums,CARL SMITH,1959-07-06,84,43,9
Tennessee Stud,EDDY ARNOLD,1959-07-13,88,48,10
Cry,KNIGHTBRIDGE STRINGS,1959-07-13,110,53,8
Sleep Walk,SANTO &amp; JOHNNY,1959-07-27,95,1,18
Dream Lover,BOBBY DARIN,1959-04-20,90,2,17
Mona Lisa,CONWAY TWITTY,1959-07-13,104,29,13
Like Young,ANDRE PREVIN &amp; DAVID ROSE,1959-06-22,83,46,11
This I Swear,SKYLINERS,1959-06-01,87,26,12
There Is Something On Your Mind,BIG JAY NEELEY BAND,1959-05-25,89,44,16
On An Evening In Roma,DEAN MARTIN,1959-07-13,100,59,13
With Open Arms,JANE MORGAN,1959-07-27,97,39,11
Bongo Rock,PRESTON EPPS,1959-05-18,80,14,13
To A Soldier Boy,TASSELS,1959-07-13,93,55,7
I'm Gonna Get Married,LLOYD PRICE,1959-08-03,109,3,15
Katy Too,JOHNNY CASH AND THE TENNESSEE TWO,1959-06-29,108,66,10
So High So Low,LAVERN BAKER,1959-07-20,114,52,11
Caribbean,MITCHELL TOROK,1959-07-27,114,27,15
Leave My Kitten Alone,LITTLE WILLIE JOHN,1959-08-03,70,60,9
Half Breed,MARVIN RAINWATER,1959-07-27,98,66,7
I Still Get Jealous,JONI JAMES,1959-07-06,109,63,7
Just Keep It Up,DEE CLARK,1959-05-04,81,18,15
The Quiet Three,DUANE EDDY,1959-06-29,67,46,8
Remember When,PLATTERS,1959-06-08,114,41,11
Lonely Guitar,ANNETTE,1959-06-29,110,50,12
Beach Time,ROGER SMITH,1959-06-29,94,64,8
Tallahassie Lassie,FREDDY CANNON,1959-05-11,96,6,15
I Love You Porgy,NINA SIMONE,1959-08-03,91,18,15
Only Sixteen,SAM COOKE,1959-06-01,113,28,11
Gee,GEORGE HAMILTON IV,1959-08-03,99,73,7
Linda Lu,RAY SHARPE,1959-07-20,95,46,13
Like I Love You,ED BYRNES,1959-08-10,82,42,9
