Song,Artist,count
'Introduccion' from Suite Punta Del Este,Astor-Piazzolla,1
'Lethal Weapon 3' Trailer Score,John-Eric-Alexander,1
'Rondo' from 'Cirque du Soleil - Mystere',Rene-Dupere,1
'Round Midnight,Bettye-LaVette,1
'Round Midnight,Miles-Davis,1
'S Wonderful,Audrey-Hepburn-and-Fred-Astaire,1
'S Wonderful,Joao-Gilberto,1
'Til Dawn,Drew-Sidora,1
'Til I Get It Right,Tammy-Wynette,2
'Til You're Mine,Moonlight-Crush,1
'Till I Collapse (feat. Nate Dogg),Eminem,1
'Tomorrow' from 'Annie',Martin-Charnin-and-Charles-Strouse,1
"'Zat You, Santa Claus?",Louis-Armstrong-ft-The-Commanders,1
'Ãœlili E,Dennis-Kamakahi,1
(Aftermath),Vancouver-Sleep-Clinic,1
(All Along the) Watchtower,Devlin,2
(Almost) Alone At Last,Harry-Gregson-Williams,1
(Are You Ready) Do the Bus Stop,The-Fatback-Band-Sarah-Ruba,1
(Baby) You've Got What It Takes,Alfred-Molina-John-Lithgow-and-Martin-Wind,1
(Banana Splits) Tra La La Song,The-Dickies,1
(Bang Your Head) Metal Health,Quiet-Riot,1
(Can't You) Trip Like I Do,Filter-and-The-Crystal-Method,1
(Do the) Push and Pull,Rufus-Thomas,1
(Don't Fear) The Reaper,Blue-Oeyster-Cult,6
(Don't Fear) The Reaper,Blue-Oyster-Cult,2
(Don't Worry) If There's a Hell Below We're All Going to Go,Curtis-Mayfield,1
(Don't You) Forget About Me,Alpha-Rev,1
(Don't You) Forget About Me,Simple-Minds,1
(Don't) Tremble,The-Low-Anthem,1
(Drawing) Rings Around the World,Super-Furry-Animals,1
(Everybody Wanna Get Rich) Rite Away,Dr-John,1
(Everything Is) Debatable,Hellogoodbye,1
(Everytime I Hear) That Mellow Saxophone,Steve-Lucky-and-The-Rhumba-Bums,1
(Get Off Your) High Horse Lady,Oasis,1
(Ghost) Riders In the Sky,Johnny-Cash,1
(Gonna) Shine Up My Boots,Corb-Lund,1
(Have Some) Fun With The Funk,Aaron-Carter,1
(Have You Heard the News) Dewey Cox Died,John-C-Reilly,2
(He's) The Great Imposter,The-Fleetwoods,1
(Hey Baby) Que Paso,Texas-Tornados,1
(Hey You) Free Up Your Mind,Emma-Bunton,1
"(Hey, Won’t You Play) Another Somebody Done Somebody Wrong Song",B-J-Thomas,1
(Holy Matrimony) Letter to the Firm,Foxy-Brown,1
(I Can't Believe) She Gives It All to Me,Conway-Twitty,1
(I Can't Get No) Satisfaction,Aretha-Franklin,1
(I Can't Get No) Satisfaction,The-Rolling-Stones,2
(I Can't Help) Falling In Love With You,UB40,1
(I Could Only) Whisper Your Name,Harry-Connick-Jr,1
(I Don't Think I'll) Love Anymore,The-Young-Dubliners-ft-Kenny-Wayne-Shepard,1
(I Hate You) Big Daddy,John-C-Reilly,1
(I Just) Died In Your Arms,Cutting-Crew,4
(I Just) Died in Your Arms,Cutting-Crew,1
(I Just) Died in Your Arms Tonight,Cutting-Crew,1
(I Keep On) Rising Up,Mike-Doughty,1
(I Know I Got) Skillz,Shaquille-O-Neal,1
(I Know) I'm Losing You,Faces,1
(I Know) I'm Losing You,Rod-Stewart,1
